Otract,Dtract,EST
02013000100,02013000100,860.0
02013000100,02020002301,4.0
02016000100,02016000100,90.0
02016000100,02016000200,4.0
02016000200,02016000200,0.0
02016000200,02282000100,4.0
02016000200,53033024400,4.0
02016000200,53033032330,4.0
02020000101,02020000101,240.0
02020000101,02020000102,30.0
02020000101,02020000201,70.0
02020000101,02020000202,55.0
02020000101,02020000205,10.0
02020000101,02020000601,115.0
02020000101,02020000602,50.0
02020000101,02020000703,35.0
02020000101,02020000801,25.0
02020000101,02020000802,15.0
02020000101,02020000901,45.0
02020000101,02020001000,30.0
02020000101,02020001100,135.0
02020000101,02020001401,225.0
02020000101,02020001500,75.0
02020000101,02020001602,75.0
02020000101,02020001701,30.0
02020000101,02020001801,4.0
02020000101,02020001900,120.0
02020000101,02020002000,15.0
02020000101,02020002301,45.0
02020000101,02020002305,15.0
02020000101,02020002501,120.0
02020000101,02020002502,105.0
02020000101,02020002601,85.0
02020000101,02020980000,35.0
02020000101,02020980100,105.0
02020000101,02020980200,50.0
02020000101,02170001004,40.0
02020000101,02170001201,10.0
02020000101,04003001402,100.0
02020000102,02020000101,50.0
02020000102,02020000102,390.0
02020000102,02020000201,65.0
02020000102,02020000202,180.0
02020000102,02020000601,40.0
02020000102,02020000702,115.0
02020000102,02020000901,55.0
02020000102,02020001100,105.0
02020000102,02020001200,20.0
02020000102,02020001401,35.0
02020000102,02020001602,120.0
02020000102,02020001732,15.0
02020000102,02020001900,150.0
02020000102,02020002000,40.0
02020000102,02020002201,4.0
02020000102,02020002301,45.0
02020000102,02020002302,15.0
02020000102,02020002400,75.0
02020000102,02020002501,4.0
02020000102,02020002502,260.0
02020000102,02020002601,45.0
02020000102,02020002712,20.0
02020000102,02020002713,15.0
02020000102,02020002811,55.0
02020000102,02020980100,45.0
02020000102,02020980200,95.0
02020000102,02170000800,115.0
02020000102,02170000900,10.0
02020000201,02020000101,20.0
02020000201,02020000102,90.0
02020000201,02020000201,445.0
02020000201,02020000202,50.0
02020000201,02020000204,10.0
02020000201,02020000205,35.0
02020000201,02020000601,35.0
02020000201,02020000701,10.0
02020000201,02020000702,95.0
02020000201,02020000801,4.0
02020000201,02020000802,50.0
02020000201,02020000901,40.0
02020000201,02020001100,115.0
02020000201,02020001200,15.0
02020000201,02020001401,25.0
02020000201,02020001500,4.0
02020000201,02020001601,10.0
02020000201,02020001602,105.0
02020000201,02020001701,15.0
02020000201,02020001702,4.0
02020000201,02020001732,10.0
02020000201,02020001801,15.0
02020000201,02020001802,4.0
02020000201,02020001900,65.0
02020000201,02020002000,10.0
02020000201,02020002201,10.0
02020000201,02020002301,75.0
02020000201,02020002501,10.0
02020000201,02020002502,105.0
02020000201,02020002601,15.0
02020000201,02020002712,10.0
02020000201,02020002713,50.0
02020000201,02020002812,25.0
02020000201,02020980000,20.0
02020000201,02020980100,485.0
02020000201,02020980200,145.0
02020000201,02170000705,10.0
02020000201,02170000800,10.0
02020000201,02170000900,20.0
02020000201,02170001004,4.0
02020000201,02170001100,25.0
02020000201,02170001201,10.0
02020000201,02170001202,10.0
02020000201,22055001425,25.0
02020000202,02020000102,130.0
02020000202,02020000201,215.0
02020000202,02020000202,640.0
02020000202,02020000204,60.0
02020000202,02020000205,45.0
02020000202,02020000500,100.0
02020000202,02020000702,55.0
02020000202,02020000802,15.0
02020000202,02020000901,130.0
02020000202,02020001000,20.0
02020000202,02020001100,175.0
02020000202,02020001200,45.0
02020000202,02020001401,90.0
02020000202,02020001402,4.0
02020000202,02020001500,25.0
02020000202,02020001602,400.0
02020000202,02020001701,4.0
02020000202,02020001702,4.0
02020000202,02020001900,195.0
02020000202,02020002100,70.0
02020000202,02020002301,165.0
02020000202,02020002400,50.0
02020000202,02020002501,10.0
02020000202,02020002502,230.0
02020000202,02020002602,10.0
02020000202,02020002712,50.0
02020000202,02020002713,35.0
02020000202,02020002812,15.0
02020000202,02020002821,15.0
02020000202,02020980000,20.0
02020000202,02020980100,555.0
02020000202,02020980200,10.0
02020000202,02170001004,50.0
02020000202,02170001100,65.0
02020000202,02170001300,45.0
02020000204,02020000101,10.0
02020000204,02020000102,15.0
02020000204,02020000201,175.0
02020000204,02020000202,50.0
02020000204,02020000204,235.0
02020000204,02020000601,20.0
02020000204,02020000701,4.0
02020000204,02020000702,15.0
02020000204,02020000802,4.0
02020000204,02020000901,120.0
02020000204,02020001000,15.0
02020000204,02020001100,150.0
02020000204,02020001500,20.0
02020000204,02020001602,165.0
02020000204,02020001802,15.0
02020000204,02020001900,100.0
02020000204,02020002000,65.0
02020000204,02020002100,20.0
02020000204,02020002201,15.0
02020000204,02020002301,45.0
02020000204,02020002502,10.0
02020000204,02020002712,25.0
02020000204,02020002713,25.0
02020000204,02020980000,10.0
02020000204,02020980100,150.0
02020000204,02020980200,35.0
02020000204,02068000100,10.0
02020000204,02110000100,15.0
02020000204,02170000502,35.0
02020000204,02170000800,10.0
02020000204,02170001100,4.0
02020000204,02170001201,4.0
02020000204,02185000300,4.0
02020000204,47157980100,4.0
02020000205,02020000101,30.0
02020000205,02020000102,80.0
02020000205,02020000201,60.0
02020000205,02020000202,130.0
02020000205,02020000205,495.0
02020000205,02020000206,15.0
02020000205,02020000500,30.0
02020000205,02020000601,15.0
02020000205,02020000701,4.0
02020000205,02020000702,90.0
02020000205,02020000901,110.0
02020000205,02020001000,15.0
02020000205,02020001100,220.0
02020000205,02020001200,50.0
02020000205,02020001401,55.0
02020000205,02020001500,35.0
02020000205,02020001602,150.0
02020000205,02020001701,35.0
02020000205,02020001731,35.0
02020000205,02020001802,60.0
02020000205,02020001900,225.0
02020000205,02020002000,10.0
02020000205,02020002100,35.0
02020000205,02020002301,25.0
02020000205,02020002501,85.0
02020000205,02020002502,50.0
02020000205,02020002601,45.0
02020000205,02020002602,45.0
02020000205,02020002712,20.0
02020000205,02020980100,745.0
02020000205,02020980200,370.0
02020000205,02063000300,20.0
02020000205,02170000603,15.0
02020000205,02170001004,15.0
02020000205,17031833100,15.0
02020000206,02020000101,4.0
02020000206,02020000102,15.0
02020000206,02020000201,20.0
02020000206,02020000202,155.0
02020000206,02020000205,65.0
02020000206,02020000206,135.0
02020000206,02020000601,15.0
02020000206,02020000703,20.0
02020000206,02020000901,35.0
02020000206,02020001000,15.0
02020000206,02020001100,85.0
02020000206,02020001401,10.0
02020000206,02020001402,40.0
02020000206,02020001500,15.0
02020000206,02020001602,170.0
02020000206,02020001802,15.0
02020000206,02020001900,80.0
02020000206,02020002000,15.0
02020000206,02020002100,10.0
02020000206,02020002501,60.0
02020000206,02020002502,45.0
02020000206,02020002602,10.0
02020000206,02020002713,45.0
02020000206,02020980100,85.0
02020000206,02020980200,115.0
02020000500,02020000201,10.0
02020000500,02020000500,70.0
02020000500,02020000601,25.0
02020000500,02020000702,25.0
02020000500,02020000802,10.0
02020000500,02020000901,35.0
02020000500,02020000902,4.0
02020000500,02020001000,30.0
02020000500,02020001100,85.0
02020000500,02020001401,20.0
02020000500,02020001500,15.0
02020000500,02020001602,150.0
02020000500,02020001900,65.0
02020000500,02020002100,15.0
02020000500,02020002301,80.0
02020000500,02020002302,55.0
02020000500,02020002501,10.0
02020000500,02020002502,35.0
02020000500,02020002601,55.0
02020000500,02020002712,20.0
