Otract,Dtract,EST
01001020100,01001020100,30.0
01001020100,01001020200,90.0
01001020100,01001020300,25.0
01001020100,01001020400,10.0
01001020100,01001020501,25.0
01001020100,01001020502,90.0
01001020100,01001020503,15.0
01001020100,01001020600,4.0
01001020100,01001020700,80.0
01001020100,01001020804,10.0
01001020100,01001020901,10.0
01001020100,01001021100,4.0
01001020100,01021060101,4.0
01001020100,01021060103,4.0
01001020100,01051030103,4.0
01001020100,01051031002,10.0
01001020100,01051031100,4.0
01001020100,01051031300,4.0
01001020100,01081040700,4.0
01001020100,01101000100,4.0
01001020100,01101000200,4.0
01001020100,01101000300,4.0
01001020100,01101000700,15.0
01001020100,01101000900,40.0
01001020100,01101001400,4.0
01001020100,01101002500,4.0
01001020100,01101002700,4.0
01001020100,01101002901,4.0
01001020100,01101003200,10.0
01001020100,01101003301,10.0
01001020100,01101003303,4.0
01001020100,01101003304,10.0
01001020100,01101005101,4.0
01001020100,01101005302,4.0
01001020100,01101005402,10.0
01001020100,01101005407,10.0
01001020100,01101005409,4.0
01001020100,01101005410,10.0
01001020100,01101005412,25.0
01001020100,01101005413,20.0
01001020100,01101005610,10.0
01001020100,01101005902,4.0
01001020100,01101005904,20.0
01001020100,01101006000,20.0
01001020200,01001020200,90.0
01001020200,01001020300,20.0
01001020200,01001020400,4.0
01001020200,01001020501,15.0
01001020200,01001020503,25.0
01001020200,01001020600,25.0
01001020200,01001020700,35.0
01001020200,01001020803,4.0
01001020200,01001020804,10.0
01001020200,01001020805,4.0
01001020200,01001021100,15.0
01001020200,01047956702,10.0
01001020200,01051030103,4.0
01001020200,01051030701,10.0
01001020200,01051030702,4.0
01001020200,01051030801,15.0
01001020200,01051031300,45.0
01001020200,01085780800,15.0
01001020200,01087231500,10.0
01001020200,01101000100,205.0
01001020200,01101000200,4.0
01001020200,01101000900,55.0
01001020200,01101001000,20.0
01001020200,01101001700,10.0
01001020200,01101001800,15.0
01001020200,01101002000,4.0
01001020200,01101002500,10.0
01001020200,01101002700,4.0
01001020200,01101003000,4.0
01001020200,01101003200,20.0
01001020200,01101003301,4.0
01001020200,01101003304,10.0
01001020200,01101005302,10.0
01001020200,01101005412,30.0
01001020200,01101005414,10.0
01001020200,01101005904,25.0
01001020200,01101006000,4.0
01001020200,01117030314,4.0
01001020200,51107610604,4.0
01001020300,01001020100,35.0
01001020300,01001020200,30.0
01001020300,01001020300,135.0
01001020300,01001020400,10.0
01001020300,01001020501,145.0
01001020300,01001020502,100.0
01001020300,01001020503,70.0
01001020300,01001020600,10.0
01001020300,01001020700,160.0
01001020300,01001020801,20.0
01001020300,01001020803,15.0
01001020300,01047956101,10.0
01001020300,01051031300,80.0
01001020300,01101000100,75.0
01001020300,01101000200,15.0
01001020300,01101000400,10.0
01001020300,01101000500,30.0
01001020300,01101000600,20.0
01001020300,01101000700,4.0
01001020300,01101000900,140.0
01001020300,01101001000,15.0
01001020300,01101001600,35.0
01001020300,01101001700,20.0
01001020300,01101001800,40.0
01001020300,01101002000,20.0
01001020300,01101002100,20.0
01001020300,01101002500,10.0
01001020300,01101002600,10.0
01001020300,01101002800,10.0
01001020300,01101003303,25.0
01001020300,01101003304,15.0
01001020300,01101005102,15.0
01001020300,01101005301,25.0
01001020300,01101005302,20.0
01001020300,01101005402,10.0
01001020300,01101005403,15.0
01001020300,01101005407,30.0
01001020300,01101005412,10.0
01001020300,01101005413,15.0
01001020300,01101005414,20.0
01001020300,01101005501,10.0
01001020300,01101005502,10.0
01001020300,01101005503,35.0
01001020300,01101005610,4.0
01001020300,01101005904,25.0
01001020300,01101006000,20.0
01001020300,01101006100,20.0
01001020300,05145070801,10.0
01001020300,19139050300,10.0
01001020400,01001020100,35.0
01001020400,01001020200,60.0
01001020400,01001020400,150.0
01001020400,01001020501,120.0
01001020400,01001020502,35.0
01001020400,01001020503,10.0
01001020400,01001020600,35.0
01001020400,01001020700,20.0
01001020400,01001020804,30.0
01001020400,01001020901,70.0
01001020400,01021060101,4.0
01001020400,01047956101,10.0
01001020400,01051030101,15.0
01001020400,01051030102,10.0
01001020400,01051030600,10.0
01001020400,01051031200,35.0
01001020400,01051031300,80.0
01001020400,01101000100,65.0
01001020400,01101000200,100.0
01001020400,01101000300,20.0
01001020400,01101000500,20.0
01001020400,01101000600,40.0
01001020400,01101000700,15.0
01001020400,01101000900,50.0
01001020400,01101001000,15.0
01001020400,01101001600,4.0
01001020400,01101002000,15.0
01001020400,01101002400,20.0
01001020400,01101002500,55.0
01001020400,01101002700,25.0
01001020400,01101003000,60.0
01001020400,01101003200,50.0
01001020400,01101003303,4.0
01001020400,01101003304,55.0
01001020400,01101005101,10.0
01001020400,01101005301,35.0
01001020400,01101005402,15.0
01001020400,01101005407,4.0
01001020400,01101005412,45.0
01001020400,01101005501,15.0
01001020400,01101005503,4.0
01001020400,01101005604,10.0
01001020400,01101005606,4.0
01001020400,01101005609,15.0
01001020400,01101005610,10.0
01001020400,01101005613,15.0
01001020400,01101005904,25.0
01001020400,01101006000,20.0
01001020400,01101006100,4.0
01001020400,01109188700,10.0
01001020400,01117030212,15.0
01001020501,01001020100,35.0
01001020501,01001020200,95.0
01001020501,01001020300,120.0
01001020501,01001020501,300.0
01001020501,01001020502,15.0
01001020501,01001020600,110.0
01001020501,01001020700,115.0
01001020501,01047956101,20.0
01001020501,01051031001,15.0
01001020501,01051031300,35.0
01001020501,01101000100,105.0
01001020501,01101000200,150.0
01001020501,01101000300,95.0
01001020501,01101000600,25.0
01001020501,01101000700,25.0
01001020501,01101000900,130.0
01001020501,01101001000,35.0
01001020501,01101001400,30.0
01001020501,01101002000,70.0
01001020501,01101002700,10.0
01001020501,01101003000,55.0
01001020501,01101003301,50.0
01001020501,01101003303,25.0
01001020501,01101003304,75.0
01001020501,01101005301,20.0
01001020501,01101005302,70.0
01001020501,01101005413,15.0
01001020501,01101005414,80.0
01001020501,01101005904,100.0
01001020501,01103005109,4.0
01001020501,01113030200,35.0
01001020501,37051003409,45.0
01001020502,01001020400,15.0
01001020502,01001020501,100.0
01001020502,01001020502,65.0
01001020502,01001020503,25.0
01001020502,01001020600,80.0
01001020502,01001020804,20.0
01001020502,01001021100,30.0
01001020502,01021060702,25.0
01001020502,01047957301,50.0
01001020502,01051030600,35.0
01001020502,01051031300,45.0
01001020502,01101000100,50.0
01001020502,01101000200,140.0
01001020502,01101000600,20.0
01001020502,01101000900,240.0
01001020502,01101001700,15.0
01001020502,01101002600,180.0
01001020502,01101002700,155.0
01001020502,01101005301,190.0
01001020502,01101005407,115.0
01001020503,01001020200,25.0
01001020503,01001020300,10.0
01001020503,01001020501,20.0
01001020503,01001020503,200.0
01001020503,01001020700,230.0
01001020503,01001020801,45.0
01001020503,01001020804,25.0
01001020503,01001020805,10.0
01001020503,01051030401,10.0
01001020503,01051030902,10.0
01001020503,01051031300,30.0
01001020503,01101000100,75.0
01001020503,01101000300,25.0
01001020503,01101000900,270.0
01001020503,01101001000,10.0
01001020503,01101002000,15.0
01001020503,01101003200,4.0
01001020503,01101003304,25.0
01001020503,01101005301,35.0
01001020503,01101005403,4.0
01001020503,01101005412,30.0
01001020503,01101005501,130.0
01001020503,01101005904,45.0
01001020503,01113030500,15.0
01001020600,01001020100,10.0
01001020600,01001020200,40.0
01001020600,01001020300,25.0
01001020600,01001020400,120.0
01001020600,01001020501,35.0
01001020600,01001020502,50.0
01001020600,01001020503,15.0
01001020600,01001020600,145.0
01001020600,01001020700,70.0
01001020600,01001020804,30.0
01001020600,01021060101,10.0
01001020600,01021060600,10.0
01001020600,01047956101,15.0
01001020600,01047956800,4.0
01001020600,01051030101,20.0
01001020600,01051030702,4.0
01001020600,01051030801,10.0
01001020600,01051031100,4.0
01001020600,01051031300,100.0
01001020600,01073004902,10.0
01001020600,01073005600,15.0
01001020600,01081040502,15.0
01001020600,01101000100,10.0
01001020600,01101000200,10.0
01001020600,01101000300,35.0
01001020600,01101000900,60.0
01001020600,01101001000,10.0
01001020600,01101001300,25.0
01001020600,01101002000,45.0
01001020600,01101002500,4.0
