Otract,Dtract,EST
05001480100,05001480100,75.0
05001480100,05001480300,10.0
05001480100,05001480400,25.0
05001480100,05001480500,55.0
05001480100,05001480600,40.0
05001480100,05001480700,55.0
05001480100,05069000303,4.0
05001480100,05069002300,4.0
05001480100,05069002400,4.0
05001480100,05095950300,4.0
05001480100,05119003800,4.0
05001480100,05119004400,4.0
05001480100,47157022600,4.0
05001480200,05001480100,4.0
05001480200,05001480200,80.0
05001480200,05001480300,105.0
05001480200,05001480400,25.0
05001480200,05001480500,150.0
05001480200,05001480600,4.0
05001480200,05001480700,15.0
05001480200,05001480800,4.0
05001480200,05043490300,10.0
05001480200,05069001000,4.0
05001480200,05069002103,4.0
05001480200,05119002409,10.0
05001480200,05119004107,4.0
05001480200,05119004307,4.0
05001480200,05119980200,15.0
05001480300,05001480100,4.0
05001480300,05001480200,20.0
05001480300,05001480300,185.0
05001480300,05001480400,70.0
05001480300,05001480500,445.0
05001480300,05001480600,20.0
05001480300,05001480800,15.0
05001480300,05043490300,25.0
05001480300,05069000302,4.0
05001480300,05069002000,10.0
05001480300,05095950200,10.0
05001480300,05117460200,4.0
05001480300,05119003800,20.0
05001480400,05001480100,10.0
05001480400,05001480300,35.0
05001480400,05001480400,35.0
05001480400,05001480500,250.0
05001480400,05001480600,25.0
05001480400,05001480700,25.0
05001480400,05069001000,10.0
05001480400,05119002600,10.0
05001480400,05119004103,4.0
05001480400,47157021341,4.0
05001480500,05001480200,10.0
05001480500,05001480300,275.0
05001480500,05001480400,155.0
05001480500,05001480500,525.0
05001480500,05001480600,45.0
05001480500,05001480700,10.0
05001480500,05069001800,35.0
05001480500,05085020800,10.0
05001480500,05107480300,10.0
05001480500,05119001900,4.0
05001480500,05119002407,10.0
05001480500,05119004400,10.0
05001480500,05119004500,10.0
05001480500,05119980400,4.0
05001480600,05001480100,35.0
05001480600,05001480300,20.0
05001480600,05001480400,4.0
05001480600,05001480500,40.0
05001480600,05001480600,290.0
05001480600,05001480700,220.0
05001480600,05001480800,30.0
05001480600,05069001800,4.0
05001480600,05085020700,4.0
05001480600,05107480201,4.0
05001480700,05001480200,30.0
05001480700,05001480300,20.0
05001480700,05001480500,55.0
05001480700,05001480600,105.0
05001480700,05001480700,240.0
05001480700,05001480800,10.0
05001480700,05043490300,10.0
05001480800,05001480100,10.0
05001480800,05001480300,10.0
05001480800,05001480400,20.0
05001480800,05001480500,55.0
05001480800,05001480600,65.0
05001480800,05001480700,55.0
05001480800,05001480800,85.0
05001480800,05043490300,4.0
05001480800,05069001402,4.0
05001480800,05085020700,10.0
05003960100,05003960100,100.0
05003960100,05003960200,4.0
05003960100,05003960300,25.0
05003960100,05003960500,4.0
05003960100,05003960600,10.0
05003960100,05017080100,4.0
05003960100,05017080200,4.0
05003960100,05017080300,30.0
05003960100,05017080400,4.0
05003960100,05041950400,20.0
05003960100,05043490100,4.0
05003960100,05043490300,25.0
05003960100,05045030404,4.0
05003960100,05119004103,4.0
05003960100,05139950502,10.0
05003960100,22051024202,4.0
05003960100,22051030300,4.0
05003960100,22073010700,4.0
05003960100,29037060309,4.0
05003960200,05003960100,70.0
05003960200,05003960200,65.0
05003960200,05003960300,40.0
05003960200,05003960500,40.0
05003960200,05003960600,150.0
05003960200,05003960700,25.0
05003960200,05017080300,4.0
05003960200,05043490200,10.0
05003960200,05043490300,25.0
05003960200,05043490400,20.0
05003960200,05069001901,10.0
05003960200,05139950501,10.0
05003960200,31153010629,4.0
05003960200,48201521701,20.0
05003960300,05003960100,35.0
05003960300,05003960200,30.0
05003960300,05003960300,390.0
05003960300,05003960500,40.0
05003960300,05003960600,130.0
05003960300,05003960700,15.0
05003960300,05017080200,30.0
05003960300,05041950400,15.0
05003960300,05043490300,45.0
05003960300,05043490400,4.0
05003960300,05119002002,15.0
05003960300,22035000100,15.0
05003960300,22067950400,10.0
05003960300,28049001400,15.0
05003960300,28049001600,10.0
05003960400,05003960100,15.0
05003960400,05003960300,25.0
05003960400,05003960400,35.0
05003960400,05003960500,45.0
05003960400,05003960600,75.0
05003960400,05003960700,30.0
05003960400,05017080200,4.0
05003960400,05043490300,10.0
05003960400,05139950800,4.0
05003960400,45023020200,10.0
05003960400,48041002100,4.0
05003960500,05003960300,4.0
05003960500,05003960500,90.0
05003960500,05003960600,160.0
05003960500,05043490200,35.0
05003960500,05043490300,40.0
05003960500,05043490400,40.0
05003960500,05051011300,10.0
05003960500,05103950301,4.0
05003960500,05139950200,75.0
05003960600,05003960300,40.0
05003960600,05003960500,250.0
