Otract,Dtract,EST
04001942600,04001942600,75.0
04001942600,04001944202,4.0
04001942600,04001944902,4.0
04001942600,04017942500,4.0
04001942600,04017965301,4.0
04001942600,08083969600,4.0
04001942600,35045000206,4.0
04001942600,35045000504,4.0
04001942700,04001942700,115.0
04001942700,04001944202,10.0
04001942700,04001944301,4.0
04001942700,04009961700,4.0
04001942700,04013811000,4.0
04001942700,04013980400,10.0
04001942700,08067971100,10.0
04001942700,08083941100,4.0
04001942700,08083969000,4.0
04001942700,08083969400,15.0
04001942700,35031943500,4.0
04001942700,35045000100,35.0
04001942700,35045000201,4.0
04001942700,35045000204,4.0
04001942700,35045000206,15.0
04001942700,35045000207,10.0
04001942700,35045000401,10.0
04001942700,35045000402,25.0
04001942700,35045000503,15.0
04001942700,35045000609,10.0
04001942700,35045000610,10.0
04001942700,35045942801,4.0
04001942700,35045942802,45.0
04001942700,35045942803,50.0
04001942700,35045943000,4.0
04001942700,35045943201,20.0
04001942700,49037978100,4.0
04001942700,49037978200,20.0
04001944000,04001944000,165.0
04001944000,04001945001,15.0
04001944000,04013422401,10.0
04001944000,06095250103,10.0
04001944000,35031943907,45.0
04001944000,35031945201,45.0
04001944000,35031945300,20.0
04001944000,35031945400,10.0
04001944000,35031945501,10.0
04001944000,35045000202,4.0
04001944000,35045943100,10.0
04001944000,35045943201,4.0
04001944100,04001944100,330.0
04001944100,04001944201,15.0
04001944100,04005001301,4.0
04001944100,04005944900,10.0
04001944100,04013112512,4.0
04001944100,04013319403,4.0
04001944100,35031943803,4.0
04001944100,35031945400,4.0
04001944100,35045000207,15.0
04001944100,35045942803,15.0
04001944201,04001944201,110.0
04001944201,04001944202,15.0
04001944201,04021000903,4.0
04001944202,04001944201,50.0
04001944202,04001944202,95.0
04001944301,04001944100,4.0
04001944301,04001944202,4.0
04001944301,04001944301,25.0
04001944301,04001945001,4.0
04001944302,04001944201,4.0
04001944302,04001944202,15.0
04001944302,04001944302,70.0
04001944302,04001945001,4.0
04001944302,04001970502,4.0
04001944302,35031945400,10.0
04001944302,35045942803,10.0
04001944302,56021000200,10.0
04001944901,04001944901,100.0
04001944901,04001944902,10.0
04001944901,04001945001,30.0
04001944901,04001945002,4.0
04001944901,04005000800,4.0
04001944901,04013723306,4.0
04001944901,04017963300,4.0
04001944901,08077000900,4.0
04001944901,08083969400,4.0
04001944901,22033003506,15.0
04001944901,35031945300,4.0
04001944901,35031945501,4.0
04001944901,35045942803,4.0
04001944901,35061980300,10.0
04001944902,04001944000,4.0
04001944902,04001944901,10.0
04001944902,04001944902,135.0
04001944902,04001945001,35.0
04001944902,04001970300,4.0
04001944902,04005001000,4.0
04001944902,04013105501,10.0
04001944902,04013108501,4.0
04001944902,04013114500,4.0
04001944902,04013115200,4.0
04001944902,04013116000,4.0
04001944902,04013116900,4.0
04001944902,04013117200,4.0
04001944902,04017940014,10.0
04001944902,04017960400,4.0
04001944902,04017960600,4.0
04001944902,04017962501,4.0
04001944902,08031001403,4.0
04001944902,08031015600,10.0
04001944902,08067940400,4.0
04001944902,11001010100,4.0
04001944902,16067970400,10.0
04001944902,35031945201,4.0
04001944902,35031945400,10.0
04001944902,35045942803,4.0
04001944902,41051007300,4.0
04001945001,04001944000,15.0
04001945001,04001944902,10.0
04001945001,04001945001,245.0
04001945001,04001970300,10.0
04001945001,04005001000,4.0
04001945001,32003004703,25.0
04001945001,35031943602,10.0
04001945001,35031945201,10.0
04001945001,35031945400,20.0
04001945001,35031945501,4.0
04001945001,35045942803,10.0
04001945002,04001944000,4.0
04001945002,04001944902,4.0
04001945002,04001945001,30.0
04001945002,04001945002,60.0
04001945002,04001945100,4.0
04001945002,04005000800,4.0
04001945002,04005001500,10.0
04001945002,04013319710,4.0
04001945002,04017960600,4.0
04001945002,20091980001,4.0
04001945002,35001001500,4.0
04001945002,35031943906,4.0
04001945002,35031945201,20.0
04001945002,35031945202,4.0
04001945002,35031945300,10.0
04001945002,35031945400,30.0
04001945002,35031945501,35.0
04001945002,35031945502,4.0
04001945002,35031945503,4.0
04001945002,35031945601,4.0
04001945002,35031945602,4.0
04001945002,35045000607,4.0
04001945002,35045943100,4.0
04001945002,49035114700,4.0
04001945100,04001944000,4.0
04001945100,04001944201,4.0
04001945100,04001944901,4.0
04001945100,04001945100,90.0
04001945100,04005000200,10.0
04001945100,04013111201,4.0
04001945100,04017960100,4.0
04001945100,08067970701,4.0
04001945100,31055001800,4.0
04001945100,35045943201,4.0
04001945100,48201421401,10.0
04001945100,48201551502,10.0
04001970201,04001945001,15.0
04001970201,04001970201,90.0
04001970201,04001970300,140.0
04001970201,04001970501,10.0
04001970201,04001970502,50.0
04001970201,04017961701,20.0
04001970201,04017963300,15.0
04001970201,04017965202,15.0
04001970201,04017965301,10.0
04001970202,04001970201,15.0
04001970202,04001970202,40.0
04001970202,04017960600,15.0
04001970202,04017961300,30.0
04001970202,04017961701,45.0
04001970202,04017961702,10.0
04001970202,04017963800,15.0
04001970300,04001945001,10.0
04001970300,04001970300,205.0
04001970300,04001970501,25.0
04001970300,04013104402,35.0
04001970300,04017961701,10.0
04001970300,35003976402,15.0
04001970501,04001945001,4.0
04001970501,04001970300,85.0
04001970501,04001970501,460.0
04001970501,04001970502,30.0
04001970501,04011960200,15.0
04001970501,04013614602,15.0
04001970501,04017960600,10.0
04001970501,04017961300,60.0
04001970501,04017961701,20.0
04001970501,04017963300,30.0
04001970501,04017964901,45.0
04001970501,04017965202,10.0
04001970501,04017965302,10.0
04001970501,04025000302,10.0
04001970501,35031945300,15.0
04001970502,04001944902,4.0
04001970502,04001970201,20.0
04001970502,04001970300,10.0
04001970502,04001970501,130.0
04001970502,04001970502,185.0
04001970502,04013216816,4.0
04001970502,04017940100,4.0
04001970502,04017940301,4.0
04001970502,04017940302,4.0
04001970502,04017960400,4.0
04001970502,04017961300,20.0
04001970502,04017961701,30.0
04001970502,04017962501,25.0
04001970502,04017962502,4.0
04001970502,04017963300,40.0
04001970502,04017964901,4.0
04001970502,04017965201,15.0
04001970502,04017965202,15.0
04001970502,04017965301,20.0
04001970502,04021002200,4.0
04001970502,35031945300,4.0
04003000101,04003000101,185.0
04003000101,04003000201,4.0
04003000101,04003000202,25.0
04003000101,04003000501,4.0
04003000101,04003001402,4.0
04003000101,04003001501,4.0
04003000101,04003001602,4.0
04003000101,04003001802,4.0
04003000101,04009961700,4.0
04003000101,04013115200,4.0
04003000101,04019004616,4.0
04003000101,04019004725,4.0
04003000101,48113009701,4.0
04003000102,04003000102,90.0
04003000102,04003000202,25.0
04003000102,04003000203,35.0
04003000102,04003000301,4.0
04003000102,04003000305,20.0
04003000102,04003000501,4.0
04003000102,04003000502,4.0
04003000102,04003000503,10.0
04003000102,04003001000,4.0
04003000102,04003001703,4.0
04003000102,04019004323,4.0
04003000102,32031002622,4.0
04003000102,48113980000,15.0
04003000201,04003000101,4.0
04003000201,04003000201,175.0
04003000201,04003000202,610.0
04003000201,04003000203,55.0
04003000201,04003000301,40.0
04003000201,04003000304,10.0
04003000201,04003000305,20.0
04003000201,04003000400,10.0
04003000201,04003000800,20.0
04003000201,04003001000,4.0
04003000201,04003001302,30.0
04003000201,04003001402,4.0
04003000201,04003001602,20.0
04003000201,04003001702,10.0
04003000201,04003001703,30.0
04003000201,04009961202,10.0
04003000201,04013116203,10.0
04003000201,04019980001,4.0
04003000201,17163502404,10.0
04003000202,04003000101,25.0
04003000202,04003000201,15.0
04003000202,04003000202,625.0
04003000202,04003000203,25.0
04003000202,04003000301,20.0
04003000202,04003000303,15.0
04003000202,04003000400,15.0
04003000202,04003000800,40.0
04003000202,04003000902,15.0
04003000202,04003001401,25.0
04003000202,04003001701,15.0
04003000202,04003001703,25.0
04003000202,04009961300,55.0
04003000202,04009961600,45.0
04003000202,04009961700,4.0
04003000202,04019000800,10.0
04003000202,04019004510,15.0
04003000202,04019980002,4.0
04003000203,04003000101,4.0
04003000203,04003000102,4.0
04003000203,04003000202,60.0
04003000203,04003000203,360.0
04003000203,04003000301,45.0
04003000203,04003000303,30.0
04003000203,04003000304,4.0
04003000203,04003000305,10.0
04003000203,04003000400,20.0
04003000203,04003000503,4.0
04003000203,04003000600,4.0
04003000203,04003001000,10.0
04003000203,04003001302,4.0
04003000203,04003001401,10.0
04003000203,04003001602,4.0
04003000203,04003001702,4.0
04003000203,04003001703,35.0
04003000203,04003002100,45.0
04003000203,04013114000,20.0
04003000203,04013216860,4.0
04003000203,04019002702,4.0
04003000203,04019004062,4.0
04003000203,04019004115,30.0
04003000203,04019004415,4.0
04003000203,04019004426,20.0
04003000203,04019980001,4.0
04003000203,04019980100,10.0
04003000203,48201100001,4.0
04003000301,04003000101,10.0
04003000301,04003000202,25.0
04003000301,04003000301,720.0
04003000301,04003000304,195.0
04003000301,04003000305,40.0
04003000301,04003000400,95.0
04003000301,04003000800,10.0
04003000301,04003001000,35.0
04003000301,04003001401,15.0
04003000301,04003001501,35.0
04003000301,04003001602,15.0
04003000301,04003001702,20.0
04003000301,04003001801,10.0
04003000301,04019000800,15.0
04003000301,04019001302,10.0
04003000301,04019001600,35.0
04003000301,04019004073,10.0
04003000301,04019004081,15.0
04003000301,04019004118,20.0
04003000301,04019004713,20.0
04003000301,04019980300,20.0
04003000301,06019001500,20.0
04003000301,53033007302,4.0
04003000303,04003000202,40.0
04003000303,04003000301,180.0
04003000303,04003000303,330.0
04003000303,04003000304,20.0
04003000303,04003000305,25.0
04003000303,04003001000,4.0
04003000303,04003001100,4.0
04003000303,04003001401,20.0
04003000303,04003001402,10.0
04003000303,04003001602,95.0
04003000303,04003001702,25.0
04003000303,04019000200,10.0
04003000303,04019000700,15.0
04003000303,04019000800,40.0
04003000303,04019002100,20.0
04003000303,04019002400,10.0
04003000303,04019002509,25.0
04003000303,04019002801,10.0
04003000303,04019003104,20.0
04003000303,04019003706,10.0
04003000303,04019004062,25.0
04003000303,04019004075,15.0
04003000303,04019004115,50.0
04003000303,04019004118,65.0
04003000303,04019004515,4.0
04003000303,04019980001,4.0
04003000303,31153010622,10.0
04003000304,04003000202,25.0
04003000304,04003000301,105.0
04003000304,04003000304,90.0
04003000304,04003000305,45.0
04003000304,04003000600,20.0
04003000304,04003001401,50.0
04003000304,04003001602,30.0
04003000304,04003001702,15.0
04003000304,04003001703,20.0
04003000304,04003001801,20.0
04003000304,04011960200,20.0
04003000304,04019001500,20.0
04003000304,04019003004,15.0
04003000304,04019003903,10.0
04003000304,04019004010,15.0
04003000304,04019004026,25.0
04003000304,04019004062,20.0
04003000304,04019004069,50.0
04003000304,04019004071,10.0
04003000304,04019004122,15.0
04003000304,04019004426,15.0
04003000304,04019004713,20.0
04003000304,04019980002,10.0
04003000305,04003000203,15.0
04003000305,04003000301,65.0
04003000305,04003000304,35.0
04003000305,04003000305,35.0
04003000305,04003000600,25.0
04003000305,04003001401,40.0
04003000305,04003001402,40.0
04003000305,04003001703,45.0
04003000305,04009961600,25.0
04003000305,04013083000,10.0
04003000305,04019000800,20.0
04003000305,04019002201,4.0
04003000305,04019003004,4.0
04003000305,04019003104,70.0
04003000305,04019003506,4.0
04003000305,04019004062,4.0
04003000305,04019940900,10.0
04003000305,04019980002,4.0
04003000400,04003000301,35.0
04003000400,04003000304,10.0
04003000400,04003000305,10.0
04003000400,04003000400,305.0
04003000400,04003001000,4.0
04003000400,04003001200,10.0
04003000400,04003001401,55.0
04003000400,04003001402,15.0
04003000400,04003001501,25.0
04003000400,04003001602,45.0
04003000400,04003001702,30.0
04003000400,04003001703,30.0
04003000400,04003002001,4.0
04003000400,04005944900,4.0
04003000400,04019004515,4.0
04003000400,06037480901,10.0
04003000501,04003000202,15.0
04003000501,04003000203,20.0
04003000501,04003000301,20.0
04003000501,04003000501,185.0
04003000501,04003000503,20.0
04003000501,04003000600,15.0
04003000501,04003000800,25.0
04003000501,04003000902,4.0
04003000501,04003001000,15.0
04003000501,04003001200,15.0
04003000501,04003001402,4.0
04003000501,04003001602,10.0
04003000501,04003001702,15.0
04003000501,04003001703,4.0
04003000501,04003002100,4.0
04003000501,04005000800,20.0
04003000501,04009961202,10.0
04003000501,04009961700,4.0
04003000501,04013319001,4.0
04003000501,04019000502,4.0
04003000501,04019002904,4.0
04003000501,04019004115,4.0
04003000501,04019004515,4.0
04003000501,04019004625,4.0
04003000501,06065040902,4.0
04003000501,35023970000,4.0
04003000501,35023970200,4.0
04003000502,04003000301,4.0
04003000502,04003000400,10.0
04003000502,04003000502,15.0
04003000502,04003000503,30.0
04003000502,04003000600,10.0
04003000502,04003000800,10.0
04003000502,04003000901,4.0
04003000502,04003001000,20.0
04003000502,04003001100,15.0
04003000502,04003001200,40.0
04003000502,04003001401,25.0
04003000502,04003001501,4.0
04003000502,04003001602,4.0
04003000502,04003001702,4.0
04003000502,04003001703,4.0
04003000502,04005000200,10.0
04003000502,04013083000,4.0
04003000502,04013217600,4.0
04003000502,04019980002,4.0
04003000503,04003000202,15.0
04003000503,04003000501,15.0
04003000503,04003000503,4.0
04003000503,04003000902,4.0
04003000503,04003001402,4.0
04003000503,45085001902,4.0
04003000600,04003000202,4.0
04003000600,04003000301,4.0
04003000600,04003000501,60.0
04003000600,04003000503,65.0
04003000600,04003000600,210.0
04003000600,04003000800,155.0
04003000600,04003000901,60.0
04003000600,04003000902,45.0
04003000600,04003001000,35.0
04003000600,04003001100,10.0
04003000600,04003001200,15.0
04003000600,04003001402,105.0
04003000600,04003001602,55.0
04003000600,04003001702,10.0
04003000600,04003001703,60.0
04003000600,04003002001,20.0
04003000600,04019003304,4.0
04003000700,04003000202,85.0
04003000700,04003000400,20.0
04003000700,04003000501,10.0
04003000700,04003000502,4.0
04003000700,04003000503,105.0
04003000700,04003000600,330.0
04003000700,04003000700,125.0
04003000700,04003000800,130.0
04003000700,04003000901,110.0
04003000700,04003000902,215.0
04003000700,04003001000,10.0
04003000700,04003001200,10.0
04003000700,04003001401,10.0
04003000700,04003001402,80.0
04003000700,04003001602,30.0
04003000700,04003001702,40.0
04003000700,04003001703,50.0
04003000700,04003001801,25.0
04003000700,04003002001,10.0
04003000700,04003002100,10.0
04003000700,04011960200,20.0
04003000700,04019002904,10.0
04003000700,04019004073,4.0
04003000800,04003000202,20.0
04003000800,04003000203,4.0
04003000800,04003000305,10.0
04003000800,04003000503,255.0
04003000800,04003000600,100.0
04003000800,04003000800,275.0
04003000800,04003000901,100.0
04003000800,04003000902,160.0
04003000800,04003001501,65.0
04003000800,04003001502,10.0
04003000800,04003001702,95.0
04003000800,04003001703,35.0
04003000800,04003002001,20.0
04003000800,04009961600,20.0
04003000800,04013614700,4.0
04003000800,04019004068,25.0
04003000901,04003000101,10.0
04003000901,04003000202,10.0
04003000901,04003000301,30.0
04003000901,04003000502,20.0
04003000901,04003000503,65.0
04003000901,04003000600,220.0
04003000901,04003000800,65.0
04003000901,04003000901,145.0
04003000901,04003000902,85.0
04003000901,04003001100,10.0
04003000901,04003001402,10.0
04003000901,04003001602,20.0
04003000901,04003001701,10.0
04003000901,04003001702,4.0
04003000901,04003001801,10.0
04003000901,04019002702,15.0
04003000902,04003000502,30.0
04003000902,04003000503,45.0
04003000902,04003000600,175.0
04003000902,04003000800,65.0
04003000902,04003000901,105.0
04003000902,04003000902,110.0
04003000902,04003001100,25.0
04003000902,04003001200,4.0
04003000902,04003001402,75.0
04003000902,04003001501,20.0
04003000902,04003001602,30.0
04003000902,04003001702,20.0
04003000902,04003001703,15.0
04003000902,04003002100,4.0
04003000902,04019000100,4.0
04003000902,04019002100,10.0
04003000902,04019004033,4.0
04003000902,04019004112,10.0
04003001000,04003000400,20.0
04003001000,04003000503,10.0
04003001000,04003000901,20.0
04003001000,04003000902,10.0
04003001000,04003001000,300.0
04003001000,04003001100,30.0
04003001000,04003001200,10.0
04003001000,04003001702,10.0
04003001000,04003001703,15.0
04003001000,04003001801,15.0
04003001000,04003002002,20.0
04003001100,04003000101,4.0
04003001100,04003000202,10.0
04003001100,04003000304,30.0
04003001100,04003000400,4.0
04003001100,04003000501,4.0
04003001100,04003000502,10.0
04003001100,04003000600,35.0
04003001100,04003000800,15.0
04003001100,04003000901,30.0
04003001100,04003001000,340.0
04003001100,04003001100,105.0
04003001100,04003001200,200.0
04003001100,04003001401,10.0
04003001100,04003001402,15.0
04003001100,04003001601,10.0
04003001100,04003001602,15.0
04003001100,04003001701,10.0
04003001100,04003001702,4.0
04003001100,04003001703,20.0
04003001100,04003001801,10.0
04003001100,04003001900,10.0
04003001100,04003002100,20.0
04003001100,04019000800,15.0
04003001100,04019004642,4.0
04003001200,04003000202,25.0
04003001200,04003000203,20.0
04003001200,04003000301,10.0
04003001200,04003000304,20.0
04003001200,04003000400,4.0
04003001200,04003000503,15.0
04003001200,04003000600,60.0
04003001200,04003000800,10.0
04003001200,04003001000,165.0
04003001200,04003001100,125.0
04003001200,04003001200,185.0
04003001200,04003001401,80.0
04003001200,04003001502,15.0
