Otract,Dtract,EST
06001400100,06001400100,565.0
06001400100,06001400700,20.0
06001400100,06001401300,15.0
06001400100,06001401800,10.0
06001400100,06001402900,35.0
06001400100,06001403100,10.0
06001400100,06001403501,10.0
06001400100,06001404101,10.0
06001400100,06001404502,70.0
06001400100,06001407300,15.0
06001400100,06001409000,15.0
06001400100,06001410500,10.0
06001400100,06001420600,15.0
06001400100,06001421700,10.0
06001400100,06001422000,25.0
06001400100,06001422500,25.0
06001400100,06001422902,10.0
06001400100,06001423500,10.0
06001400100,06001423800,20.0
06001400100,06001425102,4.0
06001400100,06001425103,4.0
06001400100,06001425104,35.0
06001400100,06001426100,10.0
06001400100,06001427300,4.0
06001400100,06001428700,30.0
06001400100,06001436403,4.0
06001400100,06001437101,10.0
06001400100,06001437200,15.0
06001400100,06001442000,10.0
06001400100,06001442200,20.0
06001400100,06001444301,10.0
06001400100,06001982100,25.0
06001400100,06013319001,4.0
06001400100,06013339003,4.0
06001400100,06013339004,10.0
06001400100,06013345115,10.0
06001400100,06013345118,25.0
06001400100,06041101200,10.0
06001400100,06075010402,10.0
06001400100,06075010500,20.0
06001400100,06075011700,105.0
06001400100,06075011800,10.0
06001400100,06075012001,10.0
06001400100,06075016102,4.0
06001400100,06075017602,15.0
06001400100,06075017604,4.0
06001400100,06075018000,15.0
06001400100,06075022600,10.0
06001400100,06075022802,4.0
06001400100,06075060702,15.0
06001400100,06075061501,45.0
06001400100,06075061507,25.0
06001400100,06075061508,10.0
06001400100,06081606000,15.0
06001400100,06081610202,10.0
06001400100,06081610304,10.0
06001400100,06085504601,35.0
06001400100,06085505011,10.0
06001400100,06085508708,10.0
06001400100,06085512058,35.0
06001400100,06095251300,4.0
06001400100,06095252501,15.0
06001400100,06099000202,10.0
06001400100,06113010501,20.0
06001400100,06113010513,15.0
06001400200,06001400200,385.0
06001400200,06001400800,15.0
06001400200,06001401000,4.0
06001400200,06001401200,4.0
06001400200,06001401300,4.0
06001400200,06001402801,4.0
06001400200,06001402900,25.0
06001400200,06001403000,15.0
06001400200,06001403100,15.0
06001400200,06001404000,10.0
06001400200,06001404502,4.0
06001400200,06001406000,10.0
06001400200,06001410000,10.0
06001400200,06001422000,4.0
06001400200,06001422400,15.0
06001400200,06001422800,10.0
06001400200,06001422902,20.0
06001400200,06001423800,4.0
06001400200,06001425101,4.0
06001400200,06001425102,20.0
06001400200,06001427700,4.0
06001400200,06001428000,4.0
06001400200,06001428301,10.0
06001400200,06001428302,4.0
06001400200,06001432400,4.0
06001400200,06001432501,4.0
06001400200,06001433300,4.0
06001400200,06001441503,4.0
06001400200,06001443104,4.0
06001400200,06001983200,4.0
06001400200,06013324003,4.0
06001400200,06013338201,4.0
06001400200,06013338203,4.0
06001400200,06013345204,10.0
06001400200,06041121200,4.0
06001400200,06075010500,35.0
06001400200,06075011700,65.0
06001400200,06075012405,4.0
06001400200,06075015500,4.0
06001400200,06075015702,10.0
06001400200,06075016602,10.0
06001400200,06075016802,20.0
06001400200,06075017603,4.0
06001400200,06075017700,4.0
06001400200,06075018000,25.0
06001400200,06075022600,15.0
06001400200,06075022802,10.0
06001400200,06075060100,4.0
06001400200,06075060701,35.0
06001400200,06075061101,4.0
06001400200,06075061501,40.0
06001400200,06075061502,4.0
06001400200,06075061503,10.0
06001400200,06075061507,35.0
06001400200,06081600200,4.0
06001400200,06081602300,25.0
06001400200,06085503601,4.0
06001400200,06085505010,10.0
06001400200,06085511705,4.0
06001400200,06085512039,4.0
06001400300,06001400200,20.0
06001400300,06001400300,0.0
06001400300,06001401000,30.0
06001400300,06001402700,15.0
06001400300,06001402801,15.0
06001400300,06001402802,70.0
06001400300,06001402900,110.0
06001400300,06001403000,15.0
06001400300,06001403100,20.0
06001400300,06001403501,25.0
06001400300,06001403701,25.0
06001400300,06001404300,20.0
06001400300,06001406000,15.0
06001400300,06001407200,15.0
06001400300,06001421200,15.0
06001400300,06001422000,65.0
06001400300,06001422500,15.0
06001400300,06001422800,15.0
06001400300,06001422901,15.0
06001400300,06001422902,35.0
06001400300,06001423500,15.0
06001400300,06001425101,20.0
06001400300,06001425102,15.0
06001400300,06001425104,150.0
06001400300,06001426200,10.0
06001400300,06001427300,10.0
06001400300,06001433200,10.0
06001400300,06001437101,30.0
06001400300,06001440333,15.0
06001400300,06001441928,20.0
06001400300,06001450607,15.0
06001400300,06001450743,25.0
06001400300,06001450750,80.0
06001400300,06001982100,30.0
06001400300,06013322000,15.0
06001400300,06013327001,15.0
06001400300,06013338201,15.0
06001400300,06013338302,15.0
06001400300,06013339004,15.0
06001400300,06013345116,15.0
06001400300,06013348000,65.0
06001400300,06013350000,4.0
06001400300,06013354001,30.0
06001400300,06013359103,20.0
06001400300,06013376000,15.0
06001400300,06075010500,30.0
06001400300,06075011700,180.0
06001400300,06075017602,15.0
06001400300,06075017603,80.0
06001400300,06075017604,4.0
06001400300,06075017803,4.0
06001400300,06075017804,20.0
06001400300,06075022600,15.0
06001400300,06075022801,15.0
06001400300,06075061501,100.0
06001400300,06075061503,15.0
06001400300,06075061507,120.0
06001400300,06081602300,150.0
06001400300,06081605100,20.0
06001400300,06081607600,20.0
06001400300,06081611700,25.0
06001400300,06085500800,20.0
06001400300,06085505015,15.0
06001400300,06085511609,45.0
06001400300,06085511705,15.0
06001400300,06095252102,20.0
06001400400,06001400200,15.0
06001400400,06001400400,630.0
06001400400,06001400500,10.0
06001400400,06001401000,20.0
06001400400,06001401200,15.0
06001400400,06001401300,35.0
06001400400,06001401700,10.0
06001400400,06001402801,20.0
06001400400,06001402900,25.0
06001400400,06001403100,30.0
06001400400,06001403301,25.0
06001400400,06001403302,4.0
06001400400,06001403701,15.0
06001400400,06001403900,10.0
06001400400,06001404000,10.0
06001400400,06001404200,25.0
06001400400,06001404502,10.0
06001400400,06001405200,10.0
06001400400,06001405402,4.0
06001400400,06001406100,15.0
06001400400,06001406202,10.0
06001400400,06001408400,15.0
06001400400,06001409000,4.0
06001400400,06001421600,10.0
06001400400,06001421900,15.0
06001400400,06001422000,25.0
06001400400,06001422400,25.0
06001400400,06001422500,35.0
06001400400,06001422700,20.0
06001400400,06001422800,25.0
06001400400,06001422902,10.0
06001400400,06001423500,4.0
06001400400,06001423601,10.0
06001400400,06001423800,35.0
06001400400,06001425103,70.0
06001400400,06001425104,20.0
06001400400,06001427200,10.0
06001400400,06001427300,25.0
06001400400,06001428100,30.0
06001400400,06001428301,30.0
06001400400,06001432602,20.0
06001400400,06001433600,4.0
06001400400,06001436100,15.0
06001400400,06001437101,10.0
06001400400,06001441923,15.0
06001400400,06001441928,10.0
06001400400,06001444301,10.0
06001400400,06001444500,10.0
06001400400,06001450101,30.0
06001400400,06001450751,10.0
06001400400,06001982100,15.0
06001400400,06013320001,15.0
06001400400,06013345111,4.0
06001400400,06013346102,35.0
06001400400,06013350000,4.0
06001400400,06013354001,15.0
06001400400,06013354002,10.0
06001400400,06013364002,15.0
06001400400,06013369001,15.0
06001400400,06013382000,10.0
06001400400,06075010202,10.0
06001400400,06075010500,45.0
06001400400,06075011700,120.0
06001400400,06075012502,4.0
06001400400,06075016200,20.0
06001400400,06075016400,4.0
06001400400,06075016601,4.0
06001400400,06075017602,4.0
06001400400,06075017603,20.0
06001400400,06075017700,10.0
06001400400,06075017801,10.0
06001400400,06075017803,40.0
06001400400,06075017903,10.0
06001400400,06075018000,10.0
06001400400,06075020101,10.0
06001400400,06075022600,15.0
06001400400,06075022802,10.0
06001400400,06075026003,50.0
06001400400,06075035300,10.0
06001400400,06075047802,25.0
06001400400,06075060702,25.0
06001400400,06075061101,20.0
06001400400,06075061501,45.0
06001400400,06075061502,10.0
06001400400,06075061503,20.0
06001400400,06075061506,30.0
06001400400,06075061507,60.0
06001400400,06075980900,45.0
06001400400,06081602300,10.0
06001400400,06081610201,35.0
06001400400,06085500800,4.0
06001400400,06085500901,4.0
06001400400,06085503504,10.0
06001400400,06095250900,25.0
06001400400,06095251901,15.0
06001400400,06095253000,10.0
06001400500,06001400100,25.0
06001400500,06001400300,4.0
06001400500,06001400500,545.0
06001400500,06001401000,4.0
06001400500,06001401300,60.0
06001400500,06001401600,10.0
06001400500,06001402802,25.0
06001400500,06001402900,40.0
06001400500,06001403000,4.0
06001400500,06001403100,45.0
06001400500,06001403900,55.0
06001400500,06001404101,10.0
06001400500,06001404300,4.0
06001400500,06001404600,10.0
06001400500,06001405700,4.0
06001400500,06001406000,10.0
06001400500,06001406700,10.0
06001400500,06001407800,20.0
06001400500,06001409800,20.0
06001400500,06001410000,20.0
06001400500,06001421600,4.0
06001400500,06001421700,55.0
06001400500,06001422000,55.0
06001400500,06001422400,30.0
06001400500,06001422500,10.0
06001400500,06001422800,40.0
06001400500,06001422901,10.0
06001400500,06001422902,40.0
06001400500,06001423100,10.0
06001400500,06001423500,15.0
06001400500,06001423901,20.0
06001400500,06001425101,10.0
06001400500,06001425103,30.0
06001400500,06001427200,10.0
06001400500,06001427900,15.0
06001400500,06001428301,10.0
06001400500,06001428302,4.0
06001400500,06001428500,20.0
06001400500,06001428700,20.0
06001400500,06001430500,10.0
06001400500,06001432400,40.0
06001400500,06001433104,10.0
06001400500,06001441100,10.0
06001400500,06001441602,10.0
06001400500,06001450300,10.0
06001400500,06001450607,4.0
06001400500,06001450609,20.0
06001400500,06001450743,10.0
06001400500,06001450750,25.0
06001400500,06001451401,20.0
06001400500,06001982100,45.0
06001400500,06001983200,25.0
06001400500,06013305000,10.0
06001400500,06013333200,20.0
06001400500,06013340004,30.0
06001400500,06013345118,15.0
06001400500,06013354001,4.0
06001400500,06013354002,4.0
06001400500,06013367200,10.0
06001400500,06013380002,20.0
06001400500,06013386000,4.0
06001400500,06041106002,10.0
06001400500,06041126200,15.0
06001400500,06075010101,4.0
06001400500,06075010500,4.0
06001400500,06075011700,60.0
06001400500,06075012405,10.0
06001400500,06075016200,15.0
06001400500,06075017602,20.0
06001400500,06075017603,10.0
06001400500,06075017700,25.0
06001400500,06075017803,10.0
06001400500,06075017804,10.0
06001400500,06075018000,10.0
06001400500,06075020101,4.0
06001400500,06075020201,10.0
06001400500,06075020802,4.0
06001400500,06075030101,4.0
06001400500,06075031202,25.0
06001400500,06075060702,20.0
06001400500,06075061101,10.0
06001400500,06075061501,50.0
06001400500,06075061503,4.0
06001400500,06075061507,20.0
06001400500,06075980900,25.0
06001400500,06081602300,15.0
06001400500,06081604400,10.0
06001400500,06085500800,4.0
06001400500,06085504601,20.0
06001400500,06085508101,4.0
06001400500,06085511705,20.0
06001400600,06001400600,375.0
06001400600,06001400800,4.0
06001400600,06001401100,15.0
06001400600,06001401300,20.0
06001400600,06001401400,10.0
06001400600,06001402900,45.0
06001400600,06001403000,10.0
06001400600,06001403100,4.0
06001400600,06001403401,4.0
06001400600,06001404101,45.0
06001400600,06001404200,4.0
06001400600,06001406000,10.0
06001400600,06001406601,10.0
06001400600,06001410100,10.0
06001400600,06001421300,15.0
06001400600,06001422000,15.0
06001400600,06001422902,25.0
06001400600,06001423601,4.0
06001400600,06001425103,4.0
06001400600,06001425104,4.0
06001400600,06001428301,20.0
06001400600,06001432400,25.0
06001400600,06001435102,25.0
06001400600,06001438400,4.0
06001400600,06001450102,10.0
06001400600,06001451103,4.0
06001400600,06001982100,20.0
06001400600,06001983200,15.0
06001400600,06013338201,15.0
06001400600,06013338203,4.0
06001400600,06013340004,4.0
06001400600,06013345118,4.0
06001400600,06013363000,4.0
06001400600,06013378000,10.0
06001400600,06013380002,20.0
06001400600,06041112202,10.0
06001400600,06041130204,10.0
06001400600,06075010300,35.0
06001400600,06075011700,35.0
06001400600,06075011800,4.0
06001400600,06075012100,4.0
06001400600,06075012404,20.0
06001400600,06075012902,4.0
06001400600,06075015500,4.0
06001400600,06075017603,4.0
06001400600,06075017700,10.0
06001400600,06075017803,15.0
06001400600,06075018000,4.0
06001400600,06075032902,20.0
06001400600,06075060703,10.0
06001400600,06075061101,4.0
06001400600,06075061501,20.0
06001400600,06075061503,15.0
06001400600,06075061507,10.0
06001400600,06081608025,20.0
06001400600,06085509500,4.0
06001400600,06085511705,4.0
06001400700,06001400700,740.0
06001400700,06001400800,10.0
06001400700,06001401000,10.0
06001400700,06001402801,10.0
06001400700,06001402900,30.0
06001400700,06001403000,10.0
06001400700,06001403100,25.0
06001400700,06001403301,20.0
06001400700,06001403302,10.0
06001400700,06001404000,30.0
06001400700,06001404101,4.0
06001400700,06001404502,20.0
06001400700,06001405402,20.0
06001400700,06001405700,10.0
06001400700,06001406700,25.0
06001400700,06001407000,10.0
06001400700,06001407200,10.0
06001400700,06001407300,35.0
06001400700,06001407800,10.0
06001400700,06001409000,75.0
06001400700,06001409300,10.0
06001400700,06001421300,20.0
06001400700,06001421400,10.0
06001400700,06001421700,10.0
06001400700,06001422000,55.0
06001400700,06001422800,10.0
06001400700,06001422902,40.0
06001400700,06001423000,30.0
06001400700,06001423300,10.0
06001400700,06001423400,10.0
06001400700,06001423500,15.0
06001400700,06001423601,20.0
06001400700,06001424001,15.0
06001400700,06001425102,65.0
06001400700,06001427300,20.0
06001400700,06001428301,70.0
06001400700,06001428600,10.0
06001400700,06001430900,15.0
06001400700,06001432400,10.0
06001400700,06001433700,10.0
06001400700,06001433900,35.0
06001400700,06001436800,10.0
06001400700,06001437101,20.0
06001400700,06001437200,10.0
06001400700,06001441503,25.0
06001400700,06001441525,35.0
06001400700,06001441928,20.0
06001400700,06001443104,10.0
06001400700,06001444601,10.0
06001400700,06001450609,10.0
06001400700,06001450752,10.0
06001400700,06001451104,30.0
06001400700,06001451401,10.0
