Otract,Dtract,EST
08001007801,08001007801,125.0
08001007801,08001008100,25.0
08001007801,08001008309,40.0
08001007801,08001008354,40.0
08001007801,08001008552,15.0
08001007801,08001008709,25.0
08001007801,08001008901,15.0
08001007801,08001009407,45.0
08001007801,08001009751,15.0
08001007801,08001015000,35.0
08001007801,08005005551,25.0
08001007801,08005006864,10.0
08001007801,08005007201,10.0
08001007801,08005007202,20.0
08001007801,08005007301,20.0
08001007801,08005007302,60.0
08001007801,08005080100,15.0
08001007801,08005080300,15.0
08001007801,08005080400,10.0
08001007801,08005080800,20.0
08001007801,08005081001,4.0
08001007801,08005081400,35.0
08001007801,08005082000,4.0
08001007801,08013060700,15.0
08001007801,08014031202,10.0
08001007801,08031000302,4.0
08001007801,08031001302,10.0
08001007801,08031001401,10.0
08001007801,08031001603,10.0
08001007801,08031001704,15.0
08001007801,08031001705,20.0
08001007801,08031001706,10.0
08001007801,08031001707,25.0
08001007801,08031002405,20.0
08001007801,08031002604,35.0
08001007801,08031002709,15.0
08001007801,08031003502,30.0
08001007801,08031003902,10.0
08001007801,08031004101,25.0
08001007801,08031004110,30.0
08001007801,08031004309,25.0
08001007801,08031004406,20.0
08001007801,08031005004,15.0
08001007801,08031015500,20.0
08001007801,08031015600,15.0
08001007801,08031980001,120.0
08001007801,08031980100,30.0
08001007801,08031980200,40.0
08001007801,08035014014,4.0
08001007801,08059010406,20.0
08001007801,08059011602,20.0
08001007801,08059011711,10.0
08001007801,08123000600,25.0
08001007802,08001007802,80.0
08001007802,08001008100,35.0
08001007802,08001008200,20.0
08001007802,08001008308,10.0
08001007802,08001008309,25.0
08001007802,08001008354,30.0
08001007802,08001008552,4.0
08001007802,08001008555,4.0
08001007802,08001008562,4.0
08001007802,08001008709,4.0
08001007802,08001009304,25.0
08001007802,08001009553,95.0
08001007802,08001015000,10.0
08001007802,08005005551,15.0
08001007802,08005005553,25.0
08001007802,08005005614,15.0
08001007802,08005005635,15.0
08001007802,08005006712,15.0
08001007802,08005006864,10.0
08001007802,08005007400,15.0
08001007802,08005007702,15.0
08001007802,08005080100,10.0
08001007802,08005081200,20.0
08001007802,08005083900,20.0
08001007802,08005087100,25.0
08001007802,08005087200,15.0
08001007802,08013012509,15.0
08001007802,08013013307,15.0
08001007802,08013060700,4.0
08001007802,08014031402,20.0
08001007802,08031001102,20.0
08001007802,08031001401,25.0
08001007802,08031001403,10.0
08001007802,08031001704,30.0
08001007802,08031001707,65.0
08001007802,08031002405,15.0
08001007802,08031002602,10.0
08001007802,08031002802,35.0
08001007802,08031002901,20.0
08001007802,08031003202,10.0
08001007802,08031003401,10.0
08001007802,08031003402,20.0
08001007802,08031003501,15.0
08001007802,08031003802,25.0
08001007802,08031003901,15.0
08001007802,08031004101,15.0
08001007802,08031004102,55.0
08001007802,08031004108,25.0
08001007802,08031004110,10.0
08001007802,08031004111,20.0
08001007802,08031004112,25.0
08001007802,08031004113,25.0
08001007802,08031004202,70.0
08001007802,08031004308,50.0
08001007802,08031006817,10.0
08001007802,08031008312,10.0
08001007802,08031980001,85.0
08001007802,08031980100,20.0
08001007802,08035014125,25.0
08001007802,08035014131,25.0
08001007802,08047013802,20.0
08001007802,08059009841,25.0
08001007802,08059011602,4.0
08001007802,08123000600,60.0
08001007900,08001007900,380.0
08001007900,08001008100,125.0
08001007900,08001008200,30.0
08001007900,08001008308,45.0
08001007900,08001008309,35.0
08001007900,08001008354,50.0
08001007900,08001008535,20.0
08001007900,08001008552,15.0
08001007900,08001008605,25.0
08001007900,08001008709,75.0
08001007900,08001009325,10.0
08001007900,08001009553,35.0
08001007900,08005005551,25.0
08001007900,08005006501,35.0
08001007900,08005006712,55.0
08001007900,08005006815,25.0
08001007900,08005006860,10.0
08001007900,08005006864,35.0
08001007900,08005007302,75.0
08001007900,08005007400,15.0
08001007900,08005081001,25.0
08001007900,08005081002,25.0
08001007900,08005081101,30.0
08001007900,08005081500,15.0
08001007900,08013060601,55.0
08001007900,08014030800,20.0
08001007900,08014031101,20.0
08001007900,08014031102,30.0
08001007900,08031000301,15.0
08001007900,08031001000,20.0
08001007900,08031001704,10.0
08001007900,08031001706,25.0
08001007900,08031002102,4.0
08001007900,08031002604,30.0
08001007900,08031002805,10.0
08001007900,08031003102,45.0
08001007900,08031003502,10.0
08001007900,08031003703,25.0
08001007900,08031004101,15.0
08001007900,08031004102,75.0
08001007900,08031004108,10.0
08001007900,08031004110,10.0
08001007900,08031004111,45.0
08001007900,08031004202,20.0
08001007900,08031004310,10.0
08001007900,08031007013,4.0
08001007900,08031007088,10.0
08001007900,08031008387,10.0
08001007900,08031008388,20.0
08001007900,08031008390,40.0
08001007900,08031015800,10.0
08001007900,08031980001,80.0
08001007900,08031980100,25.0
08001007900,08031980200,65.0
08001007900,08035014131,65.0
08001007900,08041002200,35.0
08001007900,08059010901,20.0
08001007900,08059010902,10.0
08001007900,08059011723,25.0
08001007900,08059011733,15.0
08001007900,08059980000,10.0
08001007900,08069000700,20.0
08001007900,08123001905,30.0
08001007900,19153005101,35.0
08001007900,19153010406,20.0
08001008000,08001007801,15.0
08001008000,08001007900,75.0
08001008000,08001008000,205.0
08001008000,08001008100,75.0
08001008000,08001008200,25.0
08001008000,08001008308,10.0
08001008000,08001008309,4.0
08001008000,08001008354,10.0
08001008000,08001008565,4.0
08001008000,08001008709,35.0
08001008000,08001009203,4.0
08001008000,08001009323,10.0
08001008000,08001015000,15.0
08001008000,08001988700,4.0
08001008000,08005004952,15.0
08001008000,08005005619,10.0
08001008000,08005005701,40.0
08001008000,08005006709,90.0
08001008000,08005006712,45.0
08001008000,08005006713,10.0
08001008000,08005006815,4.0
08001008000,08005006854,10.0
08001008000,08005006864,35.0
08001008000,08005007108,20.0
08001008000,08005007600,4.0
08001008000,08005007702,15.0
08001008000,08005080400,4.0
08001008000,08005080700,30.0
08001008000,08005081002,4.0
08001008000,08005081101,60.0
08001008000,08005081102,15.0
08001008000,08005081400,10.0
08001008000,08005082000,15.0
08001008000,08005082200,4.0
08001008000,08005082400,4.0
08001008000,08005083900,30.0
08001008000,08005084100,15.0
08001008000,08013012107,10.0
08001008000,08031000102,4.0
08001008000,08031000600,10.0
08001008000,08031001500,15.0
08001008000,08031001704,45.0
08001008000,08031001705,55.0
08001008000,08031001706,15.0
08001008000,08031001707,4.0
08001008000,08031001800,45.0
08001008000,08031002101,15.0
08001008000,08031002604,4.0
08001008000,08031002705,25.0
08001008000,08031002902,35.0
08001008000,08031003101,25.0
08001008000,08031003102,25.0
08001008000,08031003501,20.0
08001008000,08031003603,4.0
08001008000,08031003703,10.0
08001008000,08031003801,15.0
08001008000,08031004101,20.0
08001008000,08031004102,15.0
08001008000,08031004104,15.0
08001008000,08031004110,90.0
08001008000,08031004112,10.0
08001008000,08031004113,10.0
08001008000,08031005001,15.0
08001008000,08031005102,4.0
08001008000,08031005300,25.0
08001008000,08031006812,10.0
08001008000,08031006815,105.0
08001008000,08031006816,4.0
08001008000,08031008312,10.0
08001008000,08031008388,4.0
08001008000,08031980001,30.0
08001008000,08031980100,15.0
08001008000,08031980200,4.0
08001008000,08035013911,4.0
08001008000,08035014010,70.0
08001008000,08035014011,4.0
08001008000,08035014015,15.0
08001008000,08035014116,90.0
08001008000,08035014503,20.0
08001008000,08035014603,4.0
08001008000,08059009806,10.0
08001008000,08059009845,15.0
08001008000,08059010001,10.0
08001008000,08059010403,10.0
08001008000,08059011552,4.0
08001008000,08059011729,25.0
08001008000,08059015800,4.0
08001008000,08123000701,25.0
08001008000,08123001500,10.0
08001008000,36061025100,4.0
08001008100,08001007900,4.0
08001008100,08001008100,285.0
08001008100,08001008200,20.0
08001008100,08001008309,35.0
08001008100,08001008552,4.0
08001008100,08001008555,4.0
08001008100,08001009607,4.0
08001008100,08001009751,70.0
08001008100,08001015000,10.0
08001008100,08005005611,4.0
08001008100,08005006000,35.0
08001008100,08005007108,40.0
08001008100,08005007400,4.0
08001008100,08005080700,10.0
08001008100,08005081001,4.0
08001008100,08005081002,4.0
08001008100,08005081101,4.0
08001008100,08005081900,4.0
08001008100,08005082000,10.0
08001008100,08005086700,10.0
08001008100,08013012204,4.0
08001008100,08013012208,4.0
08001008100,08014031102,10.0
08001008100,08031001706,4.0
08001008100,08031002405,4.0
08001008100,08031002604,4.0
08001008100,08031003102,4.0
08001008100,08031003801,4.0
08001008100,08031003902,10.0
08001008100,08031004102,15.0
08001008100,08031004110,25.0
08001008100,08031004111,10.0
08001008100,08031004308,25.0
08001008100,08031006804,10.0
08001008100,08031006814,4.0
08001008100,08031006902,4.0
08001008100,08031015400,4.0
08001008100,08031980001,15.0
08001008100,08031980100,15.0
08001008100,08031980200,10.0
08001008100,08041001800,15.0
08001008100,08059009857,10.0
08001008100,08059011733,4.0
08001008100,08059012024,4.0
08001008100,17031980000,4.0
08001008100,31157953600,4.0
08001008200,08001007900,15.0
08001008200,08001008100,55.0
08001008200,08001008200,280.0
08001008200,08001008308,20.0
08001008200,08001008309,65.0
08001008200,08001008535,10.0
08001008200,08001008540,10.0
08001008200,08001008552,10.0
08001008200,08001008605,25.0
08001008200,08001008802,75.0
08001008200,08001008901,10.0
08001008200,08001009325,4.0
08001008200,08001009502,15.0
08001008200,08001009553,10.0
08001008200,08001009751,55.0
08001008200,08001015000,115.0
08001008200,08005005551,4.0
08001008200,08005005634,25.0
08001008200,08005005951,120.0
08001008200,08005006859,4.0
08001008200,08005006860,4.0
08001008200,08005006862,15.0
08001008200,08005006864,30.0
08001008200,08005007106,10.0
08001008200,08005007110,95.0
08001008200,08005007400,30.0
08001008200,08005007600,20.0
08001008200,08005080100,10.0
08001008200,08005080400,20.0
08001008200,08005080500,35.0
08001008200,08005080700,35.0
08001008200,08005080900,15.0
08001008200,08005081002,10.0
08001008200,08005081101,4.0
08001008200,08005081400,20.0
08001008200,08005081800,50.0
08001008200,08005081900,25.0
08001008200,08005082600,10.0
08001008200,08005083300,4.0
08001008200,08005085400,4.0
08001008200,08013060700,15.0
08001008200,08014031101,15.0
08001008200,08014031104,10.0
08001008200,08031000303,4.0
08001008200,08031000504,10.0
08001008200,08031000600,10.0
08001008200,08031000706,45.0
08001008200,08031000800,15.0
08001008200,08031001401,10.0
08001008200,08031001704,30.0
08001008200,08031001706,65.0
08001008200,08031001707,10.0
08001008200,08031002000,30.0
08001008200,08031003002,45.0
08001008200,08031003102,50.0
08001008200,08031003203,4.0
08001008200,08031003603,4.0
08001008200,08031003703,4.0
08001008200,08031004101,10.0
08001008200,08031004104,15.0
08001008200,08031004110,35.0
08001008200,08031004112,95.0
08001008200,08031004306,45.0
08001008200,08031004308,60.0
08001008200,08031004801,20.0
08001008200,08031005300,10.0
08001008200,08031006814,20.0
08001008200,08031006815,30.0
08001008200,08031007013,15.0
08001008200,08031008305,15.0
08001008200,08031008312,4.0
08001008200,08031008388,70.0
08001008200,08031015500,10.0
08001008200,08031015600,4.0
08001008200,08031980001,120.0
08001008200,08031980100,20.0
08001008200,08035014007,20.0
08001008200,08035014014,10.0
08001008200,08059010001,10.0
08001008200,08059011402,15.0
08001008200,08059060400,30.0
08001008308,08001008000,10.0
08001008308,08001008100,95.0
08001008308,08001008200,10.0
08001008308,08001008308,80.0
08001008308,08001008309,135.0
08001008308,08001008354,10.0
08001008308,08001008506,40.0
08001008308,08001008552,10.0
08001008308,08001008709,4.0
08001008308,08001009203,10.0
08001008308,08001009323,25.0
08001008308,08001015000,10.0
08001008308,08001060100,25.0
08001008308,08001060200,4.0
08001008308,08005005551,15.0
08001008308,08005005634,15.0
08001008308,08005005635,30.0
08001008308,08005005951,20.0
08001008308,08005006709,15.0
08001008308,08005006712,20.0
08001008308,08005006860,40.0
08001008308,08005006863,10.0
08001008308,08005006864,15.0
08001008308,08005007301,10.0
08001008308,08005007302,30.0
08001008308,08005007702,10.0
08001008308,08005080700,10.0
08001008308,08005080900,10.0
08001008308,08005081101,10.0
08001008308,08005081800,10.0
08001008308,08005082100,45.0
08001008308,08005082700,35.0
08001008308,08005084900,15.0
08001008308,08005086801,10.0
08001008308,08013012208,10.0
08001008308,08013060700,35.0
08001008308,08014031102,10.0
08001008308,08014031202,40.0
08001008308,08031000201,4.0
08001008308,08031000800,4.0
08001008308,08031001500,15.0
08001008308,08031001705,10.0
08001008308,08031001706,20.0
08001008308,08031001707,10.0
08001008308,08031002604,25.0
08001008308,08031002901,10.0
08001008308,08031003101,30.0
08001008308,08031003402,20.0
08001008308,08031003501,35.0
08001008308,08031004110,20.0
08001008308,08031004111,25.0
08001008308,08031004201,10.0
08001008308,08031004302,35.0
08001008308,08031004308,10.0
08001008308,08031004310,15.0
08001008308,08031004403,35.0
08001008308,08031004603,35.0
08001008308,08031004700,30.0
08001008308,08031006810,10.0
08001008308,08031006814,35.0
08001008308,08031008390,4.0
08001008308,08031008391,10.0
08001008308,08031980001,115.0
08001008308,08031980100,120.0
08001008308,08035014007,15.0
08001008308,08035014015,40.0
08001008308,08059009856,4.0
08001008308,08059010100,4.0
08001008308,08059010210,10.0
08001008308,08059010406,4.0
08001008308,08059011102,30.0
08001008308,08059011803,15.0
08001008308,08059011904,55.0
08001008308,08059012050,25.0
08001008308,08059012054,10.0
08001008308,08069001601,10.0
08001008308,08069001804,10.0
08001008308,37067002002,15.0
08001008309,08001008100,20.0
08001008309,08001008308,20.0
08001008309,08001008309,160.0
08001008309,08001008354,10.0
08001008309,08001008553,10.0
08001008309,08001008557,10.0
