Otract,Dtract,EST
09001010101,09001010101,530.0
09001010101,09001010102,4.0
09001010101,09001010300,165.0
09001010101,09001010400,10.0
09001010101,09001010500,4.0
09001010101,09001010600,150.0
09001010101,09001010800,15.0
09001010101,09001011100,4.0
09001010101,09001011200,10.0
09001010101,09001020800,4.0
09001010101,09001021601,25.0
09001010101,09001021702,10.0
09001010101,09001021900,15.0
09001010101,09001022000,15.0
09001010101,09001022300,40.0
09001010101,09001035102,10.0
09001010101,09001042700,4.0
09001010101,09001043100,4.0
09001010101,09001043500,40.0
09001010101,09001044300,4.0
09001010101,09001045200,25.0
09001010101,09001045400,4.0
09001010101,09001050600,10.0
09001010101,09001060700,4.0
09001010101,09001073800,4.0
09001010101,09001090100,10.0
09001010101,09001090500,10.0
09001010101,09001100100,4.0
09001010101,09001110202,4.0
09001010101,09001200301,4.0
09001010101,09001210300,10.0
09001010101,09001210800,25.0
09001010101,09001230100,10.0
09001010101,09001245100,15.0
09001010101,09001257100,10.0
09001010101,34017007400,10.0
09001010101,36005028600,4.0
09001010101,36047001100,4.0
09001010101,36061001501,15.0
09001010101,36061003700,10.0
09001010101,36061003900,4.0
09001010101,36061005400,20.0
09001010101,36061005800,10.0
09001010101,36061008000,20.0
09001010101,36061008800,10.0
09001010101,36061009200,15.0
09001010101,36061009400,30.0
09001010101,36061009600,10.0
09001010101,36061010000,4.0
09001010101,36061010100,10.0
09001010101,36061010200,30.0
09001010101,36061010400,4.0
09001010101,36061011202,10.0
09001010101,36061011300,20.0
09001010101,36061012400,10.0
09001010101,36061013100,10.0
09001010101,36087010902,4.0
09001010101,36087013003,20.0
09001010101,36119001401,4.0
09001010101,36119008000,40.0
09001010101,36119008100,20.0
09001010101,36119008301,25.0
09001010101,36119008500,20.0
09001010101,36119008602,10.0
09001010101,36119009400,4.0
09001010101,36119010702,4.0
09001010101,36119011000,4.0
09001010101,36119011101,4.0
09001010101,36119012303,60.0
09001010102,06073008312,4.0
09001010102,09001010101,4.0
09001010102,09001010102,550.0
09001010102,09001010202,15.0
09001010102,09001010300,20.0
09001010102,09001010500,85.0
09001010102,09001010600,100.0
09001010102,09001010700,10.0
09001010102,09001010800,4.0
09001010102,09001011200,15.0
09001010102,09001020102,4.0
09001010102,09001020600,10.0
09001010102,09001021401,10.0
09001010102,09001021702,10.0
09001010102,09001022201,20.0
09001010102,09001022202,10.0
09001010102,09001030100,10.0
09001010102,09001030300,30.0
09001010102,09001042700,20.0
09001010102,09001050400,4.0
09001010102,09001050500,10.0
09001010102,09001050600,10.0
09001010102,09001060700,10.0
09001010102,09001070600,4.0
09001010102,09001071100,15.0
09001010102,09001072600,10.0
09001010102,09001200200,15.0
09001010102,09001210402,4.0
09001010102,25025060604,35.0
09001010102,34003054602,4.0
09001010102,36005026400,15.0
09001010102,36005037400,55.0
09001010102,36061000700,30.0
09001010102,36061005600,15.0
09001010102,36061005900,20.0
09001010102,36061006200,10.0
09001010102,36061006600,80.0
09001010102,36061007400,10.0
09001010102,36061008200,40.0
09001010102,36061008800,10.0
09001010102,36061009200,10.0
09001010102,36061009400,110.0
09001010102,36061009903,10.0
09001010102,36061010000,10.0
09001010102,36061010200,10.0
09001010102,36061010400,35.0
09001010102,36061011201,4.0
09001010102,36061011300,4.0
09001010102,36061011900,20.0
09001010102,36061012400,10.0
09001010102,36061012500,45.0
09001010102,36061013700,10.0
09001010102,36061014401,10.0
09001010102,36061015101,15.0
09001010102,36081087100,4.0
09001010102,36081098700,4.0
09001010102,36119000900,20.0
09001010102,36119004600,10.0
09001010102,36119005100,10.0
09001010102,36119008602,10.0
09001010102,36119010200,10.0
09001010102,36119011500,15.0
09001010201,09001010201,380.0
09001010201,09001010300,10.0
09001010201,09001010500,20.0
09001010201,09001010600,55.0
09001010201,09001011000,20.0
09001010201,09001011200,15.0
09001010201,09001020101,10.0
09001010201,09001020102,10.0
09001010201,09001021601,4.0
09001010201,09001022202,20.0
09001010201,09001022300,10.0
09001010201,09001042900,20.0
09001010201,09001044200,4.0
09001010201,09001060700,10.0
09001010201,09001061500,10.0
09001010201,09001080500,10.0
09001010201,09001090500,10.0
09001010201,09001110202,15.0
09001010201,09001210300,10.0
09001010201,09001210402,10.0
09001010201,09001211400,10.0
09001010201,12099002701,10.0
09001010201,12099002703,10.0
09001010201,25025070104,10.0
09001010201,36005011702,65.0
09001010201,36061001501,10.0
