Otract,Dtract,EST
11001000101,11001000101,220.0
11001000101,11001000102,15.0
11001000101,11001000201,35.0
11001000101,11001000202,75.0
11001000101,11001002302,35.0
11001000101,11001005502,25.0
11001000101,11001005602,15.0
11001000101,11001005900,10.0
11001000101,11001010100,10.0
11001000101,11001010601,10.0
11001000101,11001010700,115.0
11001000101,11001010800,4.0
11001000101,24031701219,30.0
11001000101,24033801801,20.0
11001000101,51013101409,35.0
11001000101,51013101603,20.0
11001000101,51013101705,4.0
11001000101,51013103405,20.0
11001000101,51059482505,25.0
11001000101,51510200102,35.0
11001000102,11001000102,0.0
11001000102,11001000202,95.0
11001000102,11001000803,45.0
11001000102,11001001004,45.0
11001000102,11001004002,10.0
11001000102,11001004702,45.0
11001000102,11001005303,60.0
11001000102,11001005502,10.0
11001000102,11001005602,10.0
11001000102,11001005802,15.0
11001000102,11001005900,15.0
11001000102,11001008410,10.0
11001000102,11001010100,30.0
11001000102,11001010700,175.0
11001000102,11001010800,60.0
11001000102,11001980000,60.0
11001000102,24021751201,35.0
11001000102,24031700829,10.0
11001000102,24031701222,10.0
11001000102,25017353600,10.0
11001000102,36061005900,10.0
11001000102,36061007400,10.0
11001000102,36061012500,15.0
11001000102,51013101407,15.0
11001000102,51013101502,35.0
11001000102,51013101603,10.0
11001000102,51013103405,10.0
11001000102,51059480205,40.0
11001000102,51059482205,10.0
11001000102,51059482400,10.0
11001000102,51107610505,40.0
11001000102,51107611006,20.0
11001000102,51510200802,15.0
11001000102,51510201900,10.0
11001000201,11001000102,10.0
11001000201,11001000201,265.0
11001000201,11001000202,400.0
11001000201,11001000300,25.0
11001000201,11001000802,4.0
11001000201,11001000903,50.0
11001000201,11001004600,4.0
11001000201,11001005503,10.0
11001000201,11001005802,20.0
11001000201,11001007000,15.0
11001000201,11001007201,4.0
11001000201,11001007807,4.0
11001000201,11001008803,40.0
11001000201,11001009000,10.0
11001000201,11001009201,25.0
11001000201,11001009301,10.0
11001000201,11001009504,35.0
11001000201,11001009508,10.0
11001000201,11001009511,55.0
11001000201,11001010603,4.0
11001000201,11001010700,25.0
11001000201,11001010800,85.0
11001000201,11001980000,15.0
11001000201,21179930301,4.0
11001000201,24510271101,10.0
11001000201,42045407803,10.0
11001000201,51059471201,4.0
11001000202,11001000102,40.0
11001000202,11001000202,0.0
11001000202,11001000300,20.0
11001000202,11001000400,75.0
11001000202,11001000703,20.0
11001000202,11001000803,15.0
11001000202,11001000903,40.0
11001000202,11001002101,15.0
11001000202,11001003301,55.0
11001000202,11001003400,10.0
11001000202,11001004002,25.0
11001000202,11001004100,10.0
11001000202,11001004300,10.0
11001000202,11001004600,4.0
11001000202,11001005303,50.0
11001000202,11001005601,15.0
11001000202,11001005802,65.0
11001000202,11001005900,60.0
11001000202,11001007304,15.0
11001000202,11001008200,45.0
11001000202,11001008301,45.0
11001000202,11001008803,10.0
11001000202,11001009000,10.0
11001000202,11001009102,20.0
11001000202,11001009201,10.0
11001000202,11001009504,20.0
11001000202,11001009508,4.0
11001000202,11001009511,15.0
11001000202,11001010100,60.0
11001000202,11001010202,15.0
11001000202,11001010603,30.0
11001000202,11001010700,75.0
11001000202,11001010800,115.0
11001000202,11001011100,15.0
11001000202,11001980000,90.0
11001000202,36047033100,60.0
11001000202,36047081600,15.0
