Otract,Dtract,EST
10001040100,10001040100,375.0
10001040100,10001040201,150.0
10001040100,10001040203,105.0
10001040100,10001040204,105.0
10001040100,10001040205,4.0
10001040100,10001040501,50.0
10001040100,10001040900,15.0
10001040100,10001041000,50.0
10001040100,10001041200,60.0
10001040100,10001041300,130.0
10001040100,10001041400,85.0
10001040100,10001041803,4.0
10001040100,10001041900,15.0
10001040100,10001042100,10.0
10001040100,10001042203,4.0
10001040100,10001042500,20.0
10001040100,10001043000,15.0
10001040100,10001043202,120.0
10001040100,10001043300,205.0
10001040100,10001043400,85.0
10001040100,10003001902,4.0
10001040100,10003002800,15.0
10001040100,10003003002,15.0
10001040100,10003011700,20.0
10001040100,10003013505,15.0
10001040100,10003013610,4.0
10001040100,10003013800,40.0
10001040100,10003014705,15.0
10001040100,10003014814,10.0
10001040100,10003014904,15.0
10001040100,10003015000,10.0
10001040100,10003015100,4.0
10001040100,10003015400,4.0
10001040100,10003015502,15.0
10001040100,10003015802,20.0
10001040100,10003016309,15.0
10001040100,10003016401,80.0
10001040100,10003016404,15.0
10001040100,10003016610,140.0
10001040100,10003016613,4.0
10001040100,10003016614,20.0
10001040100,10003016904,45.0
10001040100,10005050104,20.0
10001040100,10005050407,4.0
10001040100,24003740701,4.0
10001040100,24015030503,50.0
10001040100,24015030903,10.0
10001040100,24029950300,50.0
10001040100,24035810100,25.0
10001040100,24035810400,15.0
10001040100,24041960100,60.0
10001040100,24041960300,20.0
10001040100,24041960400,65.0
10001040100,25025020301,10.0
10001040100,25025081001,10.0
10001040100,34005703804,10.0
10001040100,34007611500,4.0
10001040100,42045401502,20.0
10001040100,42101009500,25.0
10001040100,42101024700,15.0
10001040100,42101980901,15.0
10001040100,55025011700,10.0
10001040201,10001040100,15.0
10001040201,10001040201,380.0
10001040201,10001040203,30.0
10001040201,10001040204,120.0
10001040201,10001040206,25.0
10001040201,10001040501,15.0
10001040201,10001040700,70.0
10001040201,10001040900,25.0
10001040201,10001041000,55.0
10001040201,10001041300,115.0
10001040201,10001041400,135.0
10001040201,10001041600,4.0
10001040201,10001041701,10.0
10001040201,10001041802,25.0
10001040201,10001041900,10.0
10001040201,10001042000,4.0
10001040201,10001042100,4.0
10001040201,10001042205,10.0
10001040201,10001042206,4.0
10001040201,10001042500,4.0
10001040201,10001042802,10.0
10001040201,10001043000,10.0
10001040201,10001043202,20.0
10001040201,10001043300,125.0
10001040201,10001980000,30.0
10001040201,10003001300,10.0
10001040201,10003001600,4.0
10001040201,10003002700,4.0
10001040201,10003002800,40.0
10001040201,10003002900,20.0
10001040201,10003010800,15.0
10001040201,10003011201,4.0
10001040201,10003011500,10.0
10001040201,10003011700,10.0
10001040201,10003012700,15.0
10001040201,10003012900,15.0
10001040201,10003013100,25.0
10001040201,10003013615,10.0
10001040201,10003013800,40.0
10001040201,10003013906,10.0
10001040201,10003014200,10.0
10001040201,10003014501,15.0
10001040201,10003014705,30.0
10001040201,10003014803,10.0
10001040201,10003014809,4.0
10001040201,10003015000,15.0
10001040201,10003015200,15.0
10001040201,10003015400,10.0
10001040201,10003015502,4.0
10001040201,10003015802,10.0
10001040201,10003016000,4.0
10001040201,10003016306,15.0
10001040201,10003016307,10.0
10001040201,10003016309,35.0
10001040201,10003016401,25.0
10001040201,10003016404,4.0
10001040201,10003016609,4.0
10001040201,10003016610,295.0
10001040201,10003016611,15.0
10001040201,10003016613,35.0
10001040201,10003016614,35.0
10001040201,10003016806,4.0
10001040201,10003016808,10.0
10001040201,10003016904,4.0
10001040201,10005050406,15.0
10001040201,10005050501,15.0
10001040201,10005050903,20.0
10001040201,10005051202,4.0
10001040201,24015030400,4.0
10001040201,24015031202,30.0
10001040201,24029950300,25.0
10001040201,24029950500,10.0
10001040201,42029302703,4.0
10001040201,42045407202,10.0
10001040201,42045409904,10.0
10001040201,42101000500,10.0
10001040201,42101013402,15.0
10001040203,10001040201,65.0
10001040203,10001040203,170.0
10001040203,10001040204,75.0
10001040203,10001040205,45.0
10001040203,10001040501,100.0
10001040203,10001040900,10.0
10001040203,10001041000,25.0
10001040203,10001041200,110.0
10001040203,10001041300,80.0
10001040203,10001041400,25.0
10001040203,10001041500,25.0
10001040203,10001041701,4.0
10001040203,10001041803,40.0
10001040203,10001041804,20.0
10001040203,10001042500,25.0
10001040203,10001042802,25.0
10001040203,10001043000,55.0
10001040203,10001043300,155.0
10001040203,10001043400,85.0
10001040203,10003002800,80.0
10001040203,10003003002,10.0
10001040203,10003010104,10.0
10001040203,10003011201,25.0
10001040203,10003013508,40.0
10001040203,10003013800,25.0
10001040203,10003014402,35.0
10001040203,10003014501,10.0
10001040203,10003015000,15.0
10001040203,10003015200,4.0
10001040203,10003015802,15.0
10001040203,10003016000,35.0
10001040203,10003016301,40.0
10001040203,10003016309,30.0
10001040203,10003016401,70.0
10001040203,10003016609,50.0
10001040203,10003016610,125.0
10001040203,10003016611,10.0
10001040203,10003016613,90.0
10001040203,10003016614,20.0
10001040203,10003016901,65.0
10001040203,10005051010,50.0
10001040203,24005452400,25.0
10001040203,24035810100,20.0
10001040203,24035810600,20.0
10001040203,34007601300,15.0
10001040203,34007604200,15.0
10001040203,34015500204,20.0
10001040203,42101001002,15.0
10001040204,10001040201,60.0
10001040204,10001040203,195.0
10001040204,10001040204,440.0
10001040204,10001040205,20.0
