Otract,Dtract,EST
12001000201,12001000201,405.0
12001000201,12001000202,40.0
12001000201,12001000301,20.0
12001000201,12001000400,225.0
12001000201,12001000500,35.0
12001000201,12001000700,25.0
12001000201,12001000809,75.0
12001000201,12001000902,445.0
12001000201,12001001000,55.0
12001000201,12001001201,20.0
12001000201,12001001515,75.0
12001000201,12001001519,20.0
12001000201,12001001522,45.0
12001000201,12001001605,60.0
12001000201,12001001702,60.0
12001000201,12001001811,25.0
12001000201,12001001813,155.0
12001000201,12001001902,40.0
12001000201,12001002101,15.0
12001000201,12001002202,115.0
12001000201,12001002204,45.0
12001000201,12001002219,40.0
12001000201,12001002221,45.0
12001000201,12109020705,65.0
12001000202,12001000201,10.0
12001000202,12001000202,180.0
12001000202,12001000301,15.0
12001000202,12001000302,15.0
12001000202,12001000500,200.0
12001000202,12001000700,50.0
12001000202,12001000806,40.0
12001000202,12001000808,30.0
12001000202,12001000809,40.0
12001000202,12001000901,25.0
12001000202,12001000902,235.0
12001000202,12001001000,95.0
12001000202,12001001201,4.0
12001000202,12001001519,4.0
12001000202,12001001522,4.0
12001000202,12001001605,195.0
12001000202,12001001701,35.0
12001000202,12001001902,4.0
12001000202,12001002204,4.0
12001000202,12001002207,10.0
12001000202,12001002210,40.0
12001000202,12001002219,75.0
12001000202,12001002222,4.0
12001000202,12057011008,45.0
12001000202,12095017004,10.0
12001000202,12095017302,4.0
12001000202,12095018500,4.0
12001000202,12109020300,4.0
12001000301,01073002402,10.0
12001000301,12001000201,50.0
12001000301,12001000202,50.0
12001000301,12001000301,625.0
12001000301,12001000400,100.0
12001000301,12001000500,120.0
12001000301,12001000700,95.0
12001000301,12001000809,75.0
12001000301,12001000902,240.0
12001000301,12001001000,85.0
12001000301,12001001100,20.0
12001000301,12001001202,60.0
12001000301,12001001203,4.0
12001000301,12001001514,15.0
12001000301,12001001515,55.0
12001000301,12001001519,15.0
12001000301,12001001522,125.0
12001000301,12001001605,40.0
12001000301,12001001701,85.0
12001000301,12001001702,60.0
12001000301,12001001811,10.0
