Otract,Dtract,EST
13001950100,13001950100,145.0
13001950100,13001950201,10.0
13001950100,13001950202,255.0
13001950100,13001950301,260.0
13001950100,13001950302,40.0
13001950100,13001950400,15.0
13001950100,13001950500,45.0
13001950100,13043950100,15.0
13001950100,13161960101,15.0
13001950100,13161960102,60.0
13001950100,13267950202,20.0
13001950100,13279970101,4.0
13001950100,13279970302,15.0
13001950100,13279970400,25.0
13001950100,13279970500,4.0
13001950100,13305970300,20.0
13001950100,13305970600,10.0
13001950201,13001950100,25.0
13001950201,13001950201,10.0
13001950201,13001950202,190.0
13001950201,13001950301,55.0
13001950201,13001950302,160.0
13001950201,13103030309,4.0
13001950201,13117130601,15.0
13001950201,13161960102,35.0
13001950201,13267950202,10.0
13001950201,13305970202,30.0
13001950201,13305970300,30.0
13001950202,13001950301,125.0
13001950202,13001950302,65.0
13001950202,13001950500,10.0
13001950202,13069010302,20.0
13001950202,13161960101,4.0
13001950202,13161960201,35.0
13001950202,13305970201,20.0
13001950202,13305970300,15.0
13001950301,13001950100,35.0
13001950301,13001950201,20.0
13001950301,13001950202,105.0
13001950301,13001950301,205.0
13001950301,13001950302,10.0
13001950301,13005970202,30.0
13001950301,13069010801,140.0
13001950301,13229960401,30.0
13001950301,13299950500,20.0
13001950302,13001950202,125.0
13001950302,13001950301,80.0
13001950302,13001950302,95.0
13001950302,13001950500,25.0
13001950302,13127000702,20.0
13001950302,13161960201,15.0
13001950302,13185011100,15.0
13001950302,13185011301,10.0
13001950302,13305970202,20.0
13001950302,39113000900,20.0
13001950400,12031010202,4.0
13001950400,13001950100,10.0
13001950400,13001950202,15.0
13001950400,13001950301,4.0
13001950400,13001950302,110.0
13001950400,13001950400,150.0
13001950400,13001950500,40.0
13001950400,13005970100,10.0
13001950400,13031110500,40.0
13001950400,13069010801,10.0
13001950400,13127000601,4.0
13001950400,13179010600,10.0
13001950400,13229960200,25.0
13001950400,13229960401,10.0
13001950400,13299950500,10.0
13001950400,13305970100,4.0
13001950400,13305970202,4.0
13001950400,13305970300,10.0
13001950400,13305970400,15.0
13001950400,13305970600,15.0
13001950500,13001950100,45.0
13001950500,13001950201,45.0
13001950500,13001950202,25.0
13001950500,13001950301,70.0
13001950500,13001950302,210.0
13001950500,13001950500,120.0
13001950500,13025960202,20.0
13001950500,13069010801,10.0
13001950500,13161960102,45.0
13001950500,13161960201,65.0
13001950500,13267950204,4.0
13001950500,13279970400,10.0
13001950500,13299950500,10.0
13001950500,13305970300,4.0
13001950500,13305970500,4.0
13003960100,13003960100,15.0
13003960100,13003960200,10.0
13003960100,13065970100,10.0
13003960100,13069010100,15.0
13003960100,13069010402,10.0
13003960100,13069010500,4.0
13003960100,13069010701,15.0
13003960100,13069010801,165.0
13003960100,13173950201,4.0
13003960100,13185010601,4.0
13003960100,13185011301,10.0
13003960100,13277960302,20.0
13003960100,13277960602,4.0
13003960200,13003960100,20.0
13003960200,13003960200,270.0
13003960200,13019970400,4.0
13003960200,13063040202,45.0
13003960200,13069010302,4.0
13003960200,13069010401,30.0
13003960200,13069010500,95.0
13003960200,13069010701,80.0
13003960200,13069010801,40.0
13003960200,13161960201,25.0
13003960200,13185010301,15.0
13003960200,13185010500,4.0
