Otract,Dtract,EST
15001020100,06013345118,4.0
15001020100,06013345204,10.0
15001020100,15001020100,260.0
15001020100,15001020202,4.0
15001020100,15001020300,275.0
15001020100,15001020400,210.0
15001020100,15001020500,175.0
15001020100,15001020600,80.0
15001020100,15001020701,35.0
15001020100,15001020801,4.0
15001020100,15001020802,30.0
15001020100,15001020900,4.0
15001020100,15001021013,10.0
15001020100,15001021108,4.0
15001020100,15001021204,10.0
15001020100,15001021402,10.0
15001020100,15001021504,15.0
15001020100,15001021510,10.0
15001020100,15001021605,10.0
15001020100,15001021606,4.0
15001020100,15001021705,4.0
15001020100,15001021706,15.0
15001020100,15001021708,10.0
15001020100,15001022102,4.0
15001020100,15003004000,4.0
15001020100,15003007400,30.0
15001020100,15003008802,4.0
15001020100,15003940003,20.0
15001020100,56001963600,10.0
15001020202,15001020202,145.0
15001020202,15001020300,85.0
15001020202,15001020400,115.0
15001020202,15001020500,85.0
15001020202,15001020600,65.0
15001020202,15001020701,10.0
15001020202,15001020801,4.0
15001020202,15001020802,15.0
15001020202,15001021013,10.0
15001020202,15001021402,10.0
15001020202,15001021504,10.0
15001020202,15001021705,4.0
15001020202,15001021706,4.0
15001020202,15001021708,4.0
15001020300,15001020300,570.0
15001020300,15001020400,310.0
15001020300,15001020500,250.0
15001020300,15001020600,120.0
15001020300,15001020802,15.0
15001020300,15001021013,10.0
15001020300,15001021203,15.0
15001020300,15001021502,20.0
15001020300,15001021513,40.0
15001020300,15001021605,20.0
15001020300,15001021706,10.0
15001020400,15001020100,30.0
15001020400,15001020300,75.0
15001020400,15001020400,310.0
15001020400,15001020500,205.0
15001020400,15001020600,270.0
15001020400,15001020801,25.0
15001020400,15001021013,4.0
15001020400,15001021015,10.0
15001020400,15001021605,10.0
15001020400,15003010508,10.0
15001020500,15001020202,10.0
15001020500,15001020300,220.0
15001020500,15001020400,270.0
15001020500,15001020500,420.0
15001020500,15001020600,160.0
15001020500,15001020701,40.0
15001020500,15001020802,15.0
15001020500,15001020900,80.0
15001020500,15001021013,55.0
15001020500,15001021108,20.0
15001020500,15001021402,20.0
15001020500,15001021504,30.0
15001020500,15001021605,25.0
15001020500,15001021800,10.0
15001020600,06081984300,40.0
15001020600,15001020100,4.0
15001020600,15001020300,160.0
15001020600,15001020400,165.0
15001020600,15001020500,405.0
15001020600,15001020600,795.0
15001020600,15001020701,30.0
15001020600,15001020702,30.0
15001020600,15001020801,15.0
15001020600,15001020802,30.0
15001020600,15001021013,75.0
15001020600,15001021107,10.0
15001020600,15001021203,10.0
15001020600,15001021204,4.0
15001020600,15001021504,15.0
15001020600,15001021510,4.0
15001020600,15001021513,10.0
15001020600,15001021605,15.0
15001020600,15001021705,4.0
15001020600,15001021706,10.0
15001020600,15001021708,10.0
15001020600,15001021902,10.0
15001020600,15003002801,4.0
15001020600,15003005900,4.0
15001020600,15003007302,4.0
15001020600,15003007400,4.0
15001020600,15003007507,4.0
15001020600,15003980200,4.0
15001020600,15003981400,15.0
15001020600,15009031900,4.0
15001020701,15001020100,4.0
15001020701,15001020202,10.0
15001020701,15001020300,285.0
15001020701,15001020400,130.0
15001020701,15001020500,445.0
15001020701,15001020600,225.0
15001020701,15001020701,235.0
15001020701,15001020702,40.0
15001020701,15001020801,35.0
15001020701,15001020802,25.0
15001020701,15001020900,10.0
15001020701,15001021402,40.0
15001020701,15001021504,70.0
15001020701,15001021605,10.0
15001020701,15001021705,30.0
15001020701,15001021706,4.0
15001020702,15001020300,225.0
15001020702,15001020400,275.0
15001020702,15001020500,475.0
15001020702,15001020600,260.0
15001020702,15001020701,70.0
15001020702,15001020702,185.0
15001020702,15001020801,35.0
15001020702,15001020802,10.0
15001020702,15001021013,50.0
15001020702,15001021016,10.0
15001020702,15001021107,4.0
15001020702,15001021108,4.0
15001020702,15001021203,4.0
15001020702,15001021502,15.0
15001020702,15001021504,10.0
15001020702,15001021605,4.0
15001020702,15001021706,4.0
15001020702,15001021708,20.0
15001020801,06059052422,4.0
15001020801,15001020202,30.0
15001020801,15001020300,215.0
15001020801,15001020400,200.0
15001020801,15001020500,390.0
15001020801,15001020600,315.0
15001020801,15001020701,95.0
15001020801,15001020702,15.0
15001020801,15001020801,265.0
15001020801,15001020802,50.0
15001020801,15001020900,10.0
15001020801,15001021011,4.0
15001020801,15001021013,40.0
15001020801,15001021015,10.0
15001020801,15001021016,20.0
15001020801,15001021107,4.0
15001020801,15001021203,10.0
15001020801,15001021502,20.0
15001020801,15001021504,10.0
15001020801,15001021605,35.0
15001020801,15001021705,4.0
15001020801,15001021708,40.0
15001020801,15001022102,4.0
15001020801,15003980200,10.0
15001020801,15009031700,10.0
15001020802,15001020100,4.0
15001020802,15001020202,35.0
15001020802,15001020300,340.0
