Otract,Dtract,EST
19001960100,19001960100,310.0
19001960100,19001960200,10.0
19001960100,19001960300,55.0
19001960100,19029190100,15.0
19001960100,19029190400,15.0
19001960100,19029190500,15.0
19001960100,19049050600,20.0
19001960100,19049050700,4.0
19001960100,19049050807,4.0
19001960100,19049050813,35.0
19001960100,19049050814,10.0
19001960100,19049050816,15.0
19001960100,19049050818,4.0
19001960100,19049050902,15.0
19001960100,19077950200,45.0
19001960100,19077950300,75.0
19001960100,19099040500,4.0
19001960100,19121060101,20.0
19001960100,19153001800,10.0
19001960100,19153002100,4.0
19001960100,19153002600,10.0
19001960100,19153002700,20.0
19001960100,19153004004,4.0
19001960100,19153004100,15.0
19001960100,19153004900,4.0
19001960100,19153005101,25.0
19001960100,19153005102,4.0
19001960100,19153010102,4.0
19001960100,19153010212,10.0
19001960100,19153010406,40.0
19001960100,19153010411,4.0
19001960100,19153011026,4.0
19001960100,19153011028,20.0
19001960100,19153011111,10.0
19001960100,19153011114,40.0
19001960100,19153011206,4.0
19001960100,19153011303,4.0
19001960100,19153011406,4.0
19001960100,19165960100,4.0
19001960200,19001960100,15.0
19001960200,19001960200,220.0
19001960200,19001960300,145.0
19001960200,19003950200,15.0
19001960200,19029190100,4.0
19001960200,19029190400,10.0
19001960200,19039960100,4.0
19001960200,19049050200,4.0
19001960200,19077950300,10.0
19001960200,19121060200,25.0
19001960200,19121060300,15.0
19001960200,19145490300,4.0
19001960200,19153000400,4.0
19001960200,19153000703,4.0
19001960200,19153004900,4.0
19001960200,19153005101,10.0
19001960200,19153010212,4.0
19001960200,19153010500,4.0
19001960200,19153010601,15.0
19001960200,19153010602,4.0
19001960200,19153011201,4.0
19001960200,19155021701,4.0
19001960200,19175190100,4.0
19001960200,19175190200,70.0
19001960200,19175190300,4.0
19001960200,19175190400,45.0
19001960200,19181020202,4.0
19001960200,19193003600,4.0
19001960300,19001960100,20.0
19001960300,19001960200,10.0
19001960300,19001960300,700.0
19001960300,19003950200,4.0
19001960300,19049050400,15.0
19001960300,19049050600,4.0
19001960300,19049050700,4.0
19001960300,19049050902,4.0
19001960300,19077950200,4.0
19001960300,19077950300,15.0
19001960300,19099040700,15.0
19001960300,19121060200,4.0
19001960300,19121060300,4.0
19001960300,19153000101,4.0
19001960300,19153000201,10.0
19001960300,19153000300,10.0
19001960300,19153000400,4.0
19001960300,19153000500,4.0
19001960300,19153005102,4.0
19001960300,19153005200,4.0
19001960300,19153010406,15.0
19001960300,19153010500,4.0
19001960300,19153010703,4.0
19001960300,19175190100,4.0
19001960300,19175190200,20.0
19001960300,19175190400,55.0
19003950100,19001960300,20.0
19003950100,19003950100,195.0
19003950100,19003950200,95.0
19003950100,19029190300,15.0
19003950100,19029190400,4.0
19003950100,19039960100,20.0
19003950100,19077950300,4.0
