Otract,Dtract,EST
16001000101,16001000101,70.0
16001000101,16001000102,260.0
16001000101,16001000201,15.0
16001000101,16001000202,115.0
16001000101,16001000602,10.0
16001000101,16001000902,10.0
16001000101,16001001401,25.0
16001000101,16001001702,25.0
16001000101,16001002000,40.0
16001000101,16001002100,10.0
16001000101,16001002225,15.0
16001000101,16001002318,20.0
16001000101,16001010234,25.0
16001000101,16001010368,4.0
16001000101,16027020604,30.0
16001000101,16027021300,15.0
16001000102,16001000101,70.0
16001000102,16001000102,570.0
16001000102,16001000201,45.0
16001000102,16001000202,15.0
16001000102,16001000306,15.0
16001000102,16001000701,20.0
16001000102,16001000803,20.0
16001000102,16001000808,15.0
16001000102,16001000810,35.0
16001000102,16001000902,95.0
16001000102,16001001001,10.0
16001000102,16001001100,35.0
16001000102,16001001201,25.0
16001000102,16001001600,4.0
16001000102,16001002000,40.0
16001000102,16001002100,120.0
16001000102,16001002229,35.0
16001000102,16001002231,115.0
16001000102,16001002313,45.0
16001000102,16001002318,20.0
16001000102,16001002416,20.0
16001000102,16001010234,10.0
16001000102,16001010236,10.0
16001000102,16001010360,50.0
16001000102,16001010369,40.0
16001000102,16001010370,15.0
16001000102,16001010371,4.0
16001000102,16001010503,75.0
16001000102,16027020909,15.0
16001000201,02020002823,25.0
16001000201,16001000101,65.0
16001000201,16001000102,305.0
16001000201,16001000201,280.0
16001000201,16001000202,10.0
16001000201,16001000302,15.0
16001000201,16001000601,10.0
16001000201,16001000602,10.0
16001000201,16001000701,25.0
16001000201,16001000807,10.0
16001000201,16001000808,25.0
16001000201,16001000902,45.0
16001000201,16001001001,10.0
16001000201,16001001003,4.0
16001000201,16001001100,15.0
16001000201,16001001204,25.0
16001000201,16001001500,15.0
16001000201,16001001900,10.0
16001000201,16001002000,40.0
16001000201,16001002100,15.0
16001000201,16001002229,10.0
16001000201,16001002313,15.0
16001000201,16001002319,45.0
16001000201,16001002417,4.0
16001000201,16001002418,20.0
16001000201,16001010233,20.0
16001000201,16001010234,20.0
16001000201,16001010340,15.0
16001000201,16001010343,20.0
16001000201,16001010369,50.0
16001000201,16001010501,25.0
16001000201,16001010503,30.0
16001000201,16019970603,30.0
16001000201,16027020200,10.0
16001000201,16027021008,15.0
16001000201,16027021300,10.0
16001000201,16027021701,4.0
16001000201,32003006800,10.0
16001000201,48201980700,4.0
16001000202,04019000100,10.0
16001000202,04019941000,20.0
16001000202,06073008305,20.0
16001000202,06085502704,15.0
16001000202,16001000101,260.0
16001000202,16001000102,435.0
16001000202,16001000201,100.0
16001000202,16001000202,640.0
16001000202,16001000302,35.0
16001000202,16001000303,30.0
16001000202,16001000401,10.0
16001000202,16001000402,10.0
16001000202,16001000602,115.0
16001000202,16001000701,35.0
16001000202,16001000806,50.0
16001000202,16001000808,45.0
16001000202,16001000902,60.0
16001000202,16001001001,10.0
16001000202,16001001100,15.0
16001000202,16001001203,30.0
16001000202,16001001402,15.0
16001000202,16001001500,20.0
16001000202,16001001701,20.0
16001000202,16001002000,70.0
16001000202,16001002100,45.0
16001000202,16001002223,15.0
16001000202,16001002231,30.0
16001000202,16001002313,10.0
16001000202,16001002319,85.0
16001000202,16001002412,10.0
16001000202,16001010101,4.0
16001000202,16001010234,30.0
16001000202,16001010336,20.0
16001000202,16001010338,15.0
16001000202,16001010343,20.0
16001000202,16001010359,4.0
16001000202,16001010360,10.0
16001000202,16001010363,15.0
