Otract,Dtract,EST
17001000100,17001000100,535.0
17001000100,17001000201,110.0
17001000100,17001000202,15.0
17001000100,17001000400,90.0
17001000100,17001000500,145.0
17001000100,17001000600,160.0
17001000100,17001000700,105.0
17001000100,17001000800,20.0
17001000100,17001000900,10.0
17001000100,17001001001,25.0
17001000100,17001001002,40.0
17001000100,17001001100,185.0
17001000100,17001010100,50.0
17001000100,17001010200,15.0
17001000100,17001010400,25.0
17001000100,17001010500,15.0
17001000100,17001010600,140.0
17001000100,29127960100,15.0
17001000201,17001000100,95.0
17001000201,17001000201,90.0
17001000201,17001000202,4.0
17001000201,17001000400,25.0
17001000201,17001000500,15.0
17001000201,17001000600,20.0
17001000201,17001000700,110.0
17001000201,17001000800,45.0
17001000201,17001000900,25.0
17001000201,17001001002,4.0
17001000201,17001001100,50.0
17001000201,17001010400,40.0
17001000201,17001010500,35.0
17001000201,17001010600,65.0
17001000201,17067954100,4.0
17001000201,17149952700,10.0
17001000201,19111490800,4.0
17001000201,29127960100,15.0
17001000201,29163460100,4.0
17001000201,29163460400,4.0
17001000201,29189215302,10.0
17001000202,02020002301,15.0
17001000202,17001000100,175.0
17001000202,17001000201,60.0
17001000202,17001000202,170.0
17001000202,17001000400,25.0
17001000202,17001000500,40.0
17001000202,17001000600,50.0
17001000202,17001000700,180.0
17001000202,17001000800,30.0
17001000202,17001001100,45.0
17001000202,17001010100,10.0
17001000202,17001010400,100.0
17001000202,17001010500,30.0
17001000202,17001010600,10.0
17001000202,29127960300,15.0
17001000202,29127960500,15.0
17001000400,17001000100,205.0
17001000400,17001000201,50.0
17001000400,17001000202,20.0
17001000400,17001000400,205.0
17001000400,17001000500,55.0
17001000400,17001000600,55.0
17001000400,17001000700,65.0
17001000400,17001000800,15.0
17001000400,17001001001,10.0
17001000400,17001001002,25.0
17001000400,17001001100,40.0
17001000400,17001010400,40.0
17001000400,17001010500,15.0
17001000400,17001010600,30.0
17001000500,17001000100,125.0
17001000500,17001000201,45.0
17001000500,17001000202,25.0
17001000500,17001000400,40.0
