Otract,Dtract,EST
18001030100,18001030100,250.0
18001030100,18001030200,425.0
18001030100,18001030300,435.0
18001030100,18001030500,25.0
18001030100,18001030600,65.0
18001030100,18001030700,10.0
18001030100,18003001100,10.0
18001030100,18003001200,25.0
18001030100,18003001600,4.0
18001030100,18003002100,10.0
18001030100,18003002200,4.0
18001030100,18003002500,4.0
18001030100,18003003304,4.0
18001030100,18003003901,4.0
18001030100,18003004103,4.0
18001030100,18003004300,10.0
18001030100,18003010202,4.0
18001030100,18003010304,40.0
18001030100,18003010601,20.0
18001030100,18003010706,10.0
18001030100,18003010707,15.0
18001030100,18003010804,4.0
18001030100,18003010813,10.0
18001030100,18003010821,10.0
18001030100,18003010900,40.0
18001030100,18003011100,30.0
18001030100,18003011201,4.0
18001030100,18003011302,10.0
18001030100,18003011303,20.0
18001030100,18003011501,10.0
18001030100,18003011502,10.0
18001030100,18003011605,60.0
18001030100,18003011607,10.0
18001030100,18003011609,10.0
18001030100,18003011701,35.0
18001030100,18003011702,20.0
18001030100,18003011801,4.0
18001030100,18003011900,30.0
18001030100,18003980001,4.0
18001030100,18085962101,10.0
18001030100,18097310201,35.0
18001030100,18179040400,10.0
18001030100,18179040500,30.0
18001030100,18179040600,4.0
18001030100,39003012600,4.0
18001030100,39011040900,10.0
18001030100,39107968000,10.0
18001030100,39161020300,15.0
18001030100,39161020700,45.0
18001030200,18001030100,65.0
18001030200,18001030200,825.0
18001030200,18001030300,275.0
18001030200,18001030400,10.0
18001030200,18001030500,110.0
18001030200,18001030600,90.0
18001030200,18003000400,25.0
18001030200,18003003304,80.0
18001030200,18003010304,20.0
18001030200,18003010601,15.0
18001030200,18003010706,20.0
18001030200,18003010707,10.0
18001030200,18003010900,55.0
18001030200,18003011000,35.0
18001030200,18003011201,15.0
18001030200,18003011801,4.0
18001030200,18003011900,35.0
18001030200,18179040400,45.0
18001030200,18179040500,10.0
18001030200,24021750701,4.0
18001030200,39107967200,35.0
18001030200,39161020200,25.0
18001030300,18001030100,60.0
18001030300,18001030200,915.0
18001030300,18001030300,370.0
18001030300,18001030400,85.0
18001030300,18001030500,110.0
18001030300,18001030600,185.0
18001030300,18001030700,15.0
18001030300,18003001200,60.0
18001030300,18003002200,15.0
18001030300,18003003500,15.0
18001030300,18003003600,25.0
18001030300,18003003901,20.0
18001030300,18003010900,70.0
18001030300,18003011000,10.0
18001030300,18003011202,20.0
18001030300,18003011303,20.0
18001030300,18003011501,20.0
18001030300,18003011502,40.0
18001030300,18003011605,40.0
