Otract,Dtract,EST
20001952600,20001952600,135.0
20001952600,20001952700,10.0
20001952600,20001952800,85.0
20001952600,20001952900,80.0
20001952600,20001953000,90.0
20001952600,20003953600,4.0
20001952600,20011955700,4.0
20001952600,20011955900,4.0
20001952600,20011956000,4.0
20001952600,20031966100,4.0
20001952600,20037957000,4.0
20001952600,20045000202,4.0
20001952600,20091053301,4.0
20001952600,20091053711,4.0
20001952600,20099950200,10.0
20001952600,20099950300,4.0
20001952600,20133951600,4.0
20001952600,20133951800,25.0
20001952600,20133951900,35.0
20001952600,22005030215,30.0
20001952600,22119032101,4.0
20001952600,29097012100,4.0
20001952600,29217950300,4.0
20001952600,31055001800,4.0
20001952700,20001952600,15.0
20001952700,20001952700,120.0
20001952700,20001952800,135.0
20001952700,20001952900,165.0
20001952700,20001953000,50.0
20001952700,20003953700,20.0
20001952700,20031966100,4.0
20001952700,20125951000,4.0
20001952700,20133951700,4.0
20001952700,20133951800,10.0
20001952700,20133951900,4.0
20001952700,20173004301,25.0
20001952700,22005030215,4.0
20001952700,29077002300,4.0
20001952700,31055001800,4.0
20001952800,20001952600,10.0
20001952800,20001952700,35.0
20001952800,20001952800,550.0
20001952800,20001952900,210.0
20001952800,20001953000,65.0
20001952800,20003953600,45.0
20001952800,20059954200,10.0
20001952800,20133951700,15.0
20001952800,20133951800,45.0
20001952800,20133951900,120.0
20001952800,20207096700,10.0
20001952800,29077004805,4.0
20001952800,31055004500,4.0
20001952900,20001952600,15.0
20001952900,20001952800,170.0
20001952900,20001952900,220.0
20001952900,20001953000,40.0
20001952900,20011955700,20.0
20001952900,20133951800,15.0
20001952900,20133952000,20.0
20001952900,20207096700,45.0
20001952900,31055000500,50.0
20001953000,20001952600,15.0
20001953000,20001952700,15.0
20001953000,20001952800,85.0
20001953000,20001952900,175.0
20001953000,20001953000,365.0
20001953000,20003953600,15.0
20001953000,20031966100,15.0
20001953000,20059954500,4.0
20001953000,20091050900,4.0
20001953000,20091052422,4.0
20001953000,20133951600,30.0
20001953000,20133951700,50.0
20001953000,20133951800,80.0
