Otract,Dtract,EST
21001970100,21001970100,75.0
21001970100,21001970401,60.0
21001970100,21001970402,10.0
21001970100,21045950200,10.0
21001970100,21045950302,25.0
21001970100,21045950500,4.0
21001970100,21067003702,10.0
21001970100,21099970400,4.0
21001970100,21123960103,15.0
21001970100,21209040400,4.0
21001970100,21217920300,25.0
21001970100,21217920401,45.0
21001970100,21217920402,10.0
21001970100,21217920501,25.0
21001970100,21217920502,30.0
21001970200,06081984300,4.0
21001970200,21001970200,105.0
21001970200,21001970300,60.0
21001970200,21001970401,155.0
21001970200,21001970402,110.0
21001970200,21029021102,10.0
21001970200,21073070601,4.0
21001970200,21087930200,20.0
21001970200,21087930400,4.0
21001970200,21179930304,30.0
21001970200,21179930400,4.0
21001970200,21207960200,4.0
21001970200,21217920401,110.0
21001970200,21217920402,25.0
21001970200,21217920501,30.0
21001970200,21217920502,10.0
21001970300,21001970300,180.0
21001970300,21001970401,240.0
21001970300,21001970402,200.0
21001970300,21021930400,25.0
21001970300,21045950302,10.0
21001970300,21045950500,15.0
21001970300,21073070404,15.0
21001970300,21087930200,20.0
21001970300,21087930400,15.0
21001970300,21099970400,40.0
21001970300,21199930401,15.0
21001970300,21199930506,15.0
21001970300,21207960102,15.0
21001970300,21207960300,15.0
21001970300,21217920402,45.0
21001970300,21217920501,15.0
21001970300,21227011200,4.0
21001970300,47093005401,15.0
21001970401,21001970300,4.0
21001970401,21001970401,660.0
21001970401,21001970402,210.0
21001970401,21001970500,10.0
21001970401,21001970600,15.0
21001970401,21009950702,30.0
21001970401,21021930300,10.0
21001970401,21045950500,25.0
21001970401,21057950100,4.0
21001970401,21073070706,4.0
21001970401,21087930200,10.0
21001970401,21093001100,10.0
21001970401,21113060402,10.0
21001970401,21169960300,25.0
21001970401,21199930200,10.0
21001970401,21207960300,10.0
21001970401,21217920401,55.0
21001970401,21217920402,40.0
21001970401,21217920501,60.0
21001970401,21217920502,105.0
21001970402,21001970300,30.0
21001970402,21001970401,485.0
21001970402,21001970402,630.0
21001970402,21001970500,25.0
21001970402,21009950401,25.0
21001970402,21009950500,10.0
21001970402,21021930700,25.0
21001970402,21053970202,4.0
21001970402,21057950100,25.0
21001970402,21111003800,10.0
21001970402,21111008700,30.0
21001970402,21111010701,15.0
21001970402,21155970200,35.0
21001970402,21169960300,20.0
21001970402,21185030401,20.0
21001970402,21199930700,20.0
21001970402,21207960101,35.0
21001970402,21207960102,20.0
21001970402,21207960300,10.0
21001970402,21217920300,10.0
21001970402,21217920401,30.0
21001970402,21217920402,35.0
21001970402,21217920501,15.0
21001970402,21217920502,35.0
21001970402,21227010801,4.0
21001970402,21227011200,10.0
21001970500,21001970200,10.0
21001970500,21001970401,170.0
21001970500,21001970402,30.0
21001970500,21001970500,85.0
21001970500,21001970600,10.0
21001970500,21009950402,10.0
21001970500,21009950500,25.0
21001970500,21009950602,4.0
21001970500,21087930200,20.0
21001970500,21087930300,20.0
21001970500,21169960300,30.0
21001970500,21207960102,15.0
21001970500,21217920300,10.0
21001970500,21217920401,55.0
21001970500,21217920402,20.0
21001970500,21217920501,30.0
21001970500,21227011002,20.0
21001970500,47093006002,25.0
21001970500,51169030200,15.0
21001970500,51169030300,4.0
21001970600,21001970200,20.0
21001970600,21001970401,105.0
21001970600,21001970402,60.0
21001970600,21001970600,105.0
21001970600,21009950500,4.0
21001970600,21045950301,4.0
21001970600,21169960300,4.0
21001970600,21207960101,15.0
21001970600,21217920401,25.0
21001970600,21217920402,10.0
21001970600,21217920501,25.0
21001970600,21227010500,30.0
21001970600,21227011401,15.0
21003920100,21003920100,120.0
21003920100,21003920200,45.0
21003920100,21003920300,355.0
21003920100,21003920400,50.0
21003920100,21009950401,15.0
21003920100,21009950402,4.0
21003920100,21009950500,20.0
21003920100,21099970400,15.0
21003920100,21111008100,4.0
21003920100,21111011301,10.0
21003920100,21111980100,10.0
21003920100,21213970100,50.0
21003920100,21213970200,10.0
21003920100,21213970300,10.0
21003920100,21213970401,25.0
21003920100,21213970402,15.0
21003920100,21227010100,20.0
21003920100,21227010200,50.0
21003920100,21227010300,4.0
21003920100,21227010400,20.0
21003920100,21227010500,10.0
21003920100,21227010600,20.0
21003920100,21227010701,10.0
21003920100,21227010900,4.0
21003920100,21227011002,10.0
21003920100,21227011100,60.0
21003920100,21227011200,20.0
21003920100,21227011300,40.0
21003920100,21227011401,45.0
21003920100,21227011402,10.0
21003920100,21227011600,10.0
21003920100,21227011701,10.0
21003920100,47037016500,30.0
21003920100,47037017901,10.0
21003920100,47111970100,10.0
21003920100,47111970301,4.0
21003920100,47111970302,10.0
21003920100,47165021204,10.0
21003920200,21003920100,4.0
21003920200,21003920200,420.0
21003920200,21003920300,165.0
21003920200,21003920400,50.0
21003920200,21009950402,15.0
21003920200,21009950500,35.0
21003920200,21009950601,15.0
21003920200,21009950702,10.0
