Otract,Dtract,EST
22001960101,22001960101,360.0
22001960101,22001960102,15.0
22001960101,22001960602,45.0
22001960101,22001960700,40.0
22001960101,22001960801,55.0
22001960101,22001960901,15.0
22001960101,22001961000,15.0
22001960101,22039950401,45.0
22001960101,22039950600,35.0
22001960101,22055000100,20.0
22001960101,22055001001,45.0
22001960101,22055001408,55.0
22001960101,22055001425,65.0
22001960101,22055001801,20.0
22001960101,22055001908,15.0
22001960101,22055002003,10.0
22001960101,22055002102,15.0
22001960101,22055002200,15.0
22001960101,22075050700,30.0
22001960101,22097961000,30.0
22001960101,22099020601,85.0
22001960101,22113950700,15.0
22001960102,22001960101,290.0
22001960102,22001960102,150.0
22001960102,22001960202,55.0
22001960102,22001960601,55.0
22001960102,22001960700,35.0
22001960102,22055000700,80.0
22001960102,22055001420,35.0
22001960102,22097960800,10.0
22001960102,22097960901,35.0
22001960102,22099020301,40.0
22001960102,48157671800,55.0
22001960102,48201342700,30.0
22001960102,48201980700,50.0
22001960201,22001960101,45.0
22001960201,22001960201,100.0
22001960201,22001960402,15.0
22001960201,22001960503,25.0
22001960201,22001960801,25.0
22001960201,22001961000,35.0
22001960201,22005030208,20.0
22001960201,22017024207,20.0
22001960201,22019001908,15.0
22001960201,22019003000,20.0
22001960201,22055001302,30.0
22001960201,22055001408,45.0
22001960201,22055001420,35.0
22001960201,22055001904,20.0
22001960201,22055001907,10.0
22001960201,22055002102,30.0
22001960201,22055002200,30.0
22001960201,22097960800,60.0
22001960201,22097960901,20.0
22001960201,22097960902,40.0
22001960201,22097961000,245.0
22001960201,22097961100,105.0
22001960201,22097961302,20.0
22001960201,22097961900,20.0
22001960202,22001960101,20.0
22001960202,22001960201,20.0
22001960202,22001960202,15.0
22001960202,22001960402,40.0
22001960202,22001960403,20.0
22001960202,22001960602,25.0
22001960202,22001960801,25.0
22001960202,22019000400,10.0
22001960202,22045030303,10.0
22001960202,22047953102,20.0
22001960202,22053000401,10.0
22001960202,22055000700,25.0
22001960202,22055000800,25.0
22001960202,22055001403,10.0
22001960202,22055001408,20.0
22001960202,22055001425,20.0
22001960202,22055001904,4.0
22001960202,22055002003,20.0
22001960202,22055002103,10.0
22001960202,22097960800,35.0
22001960202,22097961000,50.0
22001960202,22097961100,95.0
