Otract,Dtract,EST
25001010100,06037701402,10.0
25001010100,09001110302,25.0
25001010100,09009352000,10.0
25001010100,25001010100,0.0
25001010100,25001010208,35.0
25001010100,25001010400,4.0
25001010100,25001010700,10.0
25001010100,25001010800,20.0
25001010100,25001011200,10.0
25001010100,25001012002,20.0
25001010100,25001012102,10.0
25001010100,25001012200,15.0
25001010100,25001014100,10.0
25001010100,25001014900,10.0
25001010100,25001015001,10.0
25001010100,25001015300,15.0
25001010100,25007200100,20.0
25001010100,25017338200,10.0
25001010100,25017339500,10.0
25001010100,25017339600,10.0
25001010100,25017369100,10.0
25001010100,25017370103,10.0
25001010100,25021412300,10.0
25001010100,25023502200,10.0
25001010100,25023545300,30.0
25001010100,25025010600,10.0
25001010100,25025061204,10.0
25001010100,25025070104,15.0
25001010100,25025070600,10.0
25001010100,25025070902,10.0
25001010100,25025071101,10.0
25001010100,25025081001,35.0
25001010100,25025120700,10.0
25001010100,25025160300,10.0
25001010100,33015107400,15.0
25001010100,34013980200,20.0
25001010100,36061003900,15.0
25001010100,36061012500,25.0
25001010100,44007010501,10.0
25001010206,09003460100,35.0
25001010206,25001010100,105.0
25001010206,25001010206,825.0
25001010206,25001010208,15.0
25001010206,25001010306,35.0
25001010206,25001010400,85.0
25001010206,25001010500,15.0
25001010206,25001010600,30.0
25001010206,25001011002,35.0
25001010206,25001011100,25.0
25001010206,25001011200,15.0
25001010206,25001011700,25.0
25001010206,25001012101,15.0
25001010206,25001012200,30.0
25001010206,25001012601,4.0
25001010206,25001012700,40.0
25001010206,25001013500,15.0
25001010206,25001014002,35.0
25001010206,25001014700,15.0
25001010206,25001014900,15.0
25001010206,25001015100,105.0
25001010206,25001015300,40.0
25001010206,25017382300,15.0
25001010206,25025070102,30.0
25001010206,33011200400,15.0
25001010208,25001010100,100.0
25001010208,25001010208,410.0
25001010208,25001010400,60.0
25001010208,25001012200,10.0
25001010208,25001015300,30.0
25001010208,25005652200,55.0
25001010208,36061006200,30.0
25001010208,36061020500,15.0
25001010304,25001010100,40.0
25001010304,25001010206,60.0
25001010304,25001010208,10.0
25001010304,25001010304,335.0
25001010304,25001010306,50.0
25001010304,25001010400,195.0
25001010304,25001010500,45.0
25001010304,25001010600,10.0
25001010304,25001010700,10.0
25001010304,25001010800,35.0
25001010304,25001010900,20.0
25001010304,25001011002,30.0
25001010304,25001011200,25.0
25001010304,25001011500,10.0
25001010304,25001011801,10.0
25001010304,25001012002,10.0
25001010304,25001012101,30.0
25001010304,25001012502,25.0
25001010304,25001012601,25.0
25001010304,25001014402,35.0
25001010304,25001015002,15.0
25001010304,25001015100,10.0
25001010304,25001015300,60.0
25001010304,25005652200,10.0
25001010304,25025070202,10.0
25001010304,36059518300,10.0
25001010304,36061009200,10.0
25001010304,36061009600,10.0
25001010304,36061016800,10.0
25001010304,36061020300,15.0
25001010304,36119008301,10.0
25001010306,25001010100,110.0
25001010306,25001010206,45.0
25001010306,25001010208,15.0
25001010306,25001010304,25.0
25001010306,25001010306,170.0
25001010306,25001010400,75.0
25001010306,25001010600,10.0
25001010306,25001010700,15.0
25001010306,25001010800,20.0
25001010306,25001010900,45.0
25001010306,25001011002,15.0
25001010306,25001011100,20.0
25001010306,25001011500,10.0
25001010306,25001012102,30.0
25001010306,25001012200,10.0
25001010306,25001012601,10.0
25001010306,25001013300,10.0
25001010306,25001013400,15.0
25001010306,25001014800,10.0
25001010306,25001014900,10.0
25001010306,25001015300,35.0
25001010306,25017388100,15.0
25001010306,25021402500,10.0
25001010306,25025070104,10.0
25001010306,25027732201,10.0
25001010306,25027739102,15.0
25001010306,51161030203,15.0
25001010400,25001010100,20.0
25001010400,25001010206,70.0
25001010400,25001010304,10.0
25001010400,25001010306,15.0
25001010400,25001010400,455.0
25001010400,25001010500,40.0
25001010400,25001010600,10.0
25001010400,25001010800,55.0
25001010400,25001010900,40.0
25001010400,25001011002,55.0
25001010400,25001011200,10.0
25001010400,25001011500,10.0
25001010400,25001011802,10.0
25001010400,25001012001,45.0
25001010400,25001012101,10.0
25001010400,25001012102,15.0
25001010400,25001012602,10.0
