Otract,Dtract,EST
24001000100,24001000100,280.0
24001000100,24001000200,125.0
24001000100,24001000500,160.0
24001000100,24001000600,10.0
24001000100,24001000700,4.0
24001000100,24001000800,4.0
24001000100,24001001000,55.0
24001000100,24001001200,45.0
24001000100,24001001300,15.0
24001000100,24001001401,105.0
24001000100,24001001402,10.0
24001000100,24001001800,15.0
24001000100,24001001900,10.0
24001000100,24001002000,25.0
24001000100,24001002100,10.0
24001000100,24001002200,10.0
24001000100,24001002300,25.0
24001000100,24021740200,10.0
24001000100,24023000100,4.0
24001000100,24043000900,10.0
24001000100,24043010300,4.0
24001000100,24043010401,4.0
24001000100,24043010402,4.0
24001000100,24043010700,10.0
24001000100,24043010901,10.0
24001000100,24043011000,60.0
24001000100,24043011700,4.0
24001000100,42009961001,4.0
24001000100,42057960100,4.0
24001000100,51059422201,10.0
24001000100,51069050100,10.0
24001000100,51069050801,10.0
24001000100,51107980100,10.0
24001000100,51840000101,10.0
24001000100,51840000102,15.0
24001000100,51840000201,35.0
24001000100,54027968500,10.0
24001000200,24001000100,4.0
24001000200,24001000200,245.0
24001000200,24001000500,130.0
24001000200,24001000600,75.0
24001000200,24001000700,65.0
24001000200,24001000800,85.0
24001000200,24001001000,85.0
24001000200,24001001100,15.0
24001000200,24001001200,50.0
24001000200,24001001300,35.0
24001000200,24001001401,150.0
24001000200,24001001700,25.0
24001000200,24001001800,4.0
24001000200,24001002000,10.0
24001000200,24001002300,25.0
24001000200,24043001001,15.0
24001000200,24043010402,10.0
24001000200,24510040100,25.0
24001000200,24510260102,15.0
24001000200,42007602602,15.0
24001000200,54003971902,10.0
24001000200,54057010100,40.0
24001000500,24001000500,170.0
24001000500,24001000600,10.0
24001000500,24001000700,25.0
24001000500,24001000800,60.0
24001000500,24001001000,40.0
24001000500,24001001100,15.0
24001000500,24001001200,4.0
24001000500,24001001401,70.0
24001000500,24001001502,10.0
24001000500,24001001700,15.0
24001000500,24001001800,55.0
24001000500,24001001900,20.0
24001000500,24001002200,35.0
24001000500,24001002300,10.0
24001000500,24003751102,4.0
24001000500,42013011300,4.0
24001000600,24001000200,75.0
24001000600,24001000500,155.0
24001000600,24001000600,30.0
24001000600,24001000700,30.0
24001000600,24001000800,60.0
24001000600,24001001000,135.0
24001000600,24001001100,15.0
24001000600,24001001200,25.0
24001000600,24001001300,30.0
24001000600,24001001401,20.0
24001000600,24001001402,15.0
24001000600,24001001502,15.0
24001000600,24001001700,30.0
24001000600,24001001800,35.0
24001000600,24001001900,10.0
24001000600,24001002200,25.0
24001000600,24001002300,40.0
24001000600,24023000100,65.0
24001000600,24023000300,10.0
24001000600,24023000502,10.0
24001000700,24001000200,55.0
24001000700,24001000500,140.0
24001000700,24001000600,80.0
24001000700,24001000700,310.0
24001000700,24001000800,30.0
24001000700,24001001000,50.0
24001000700,24001001100,65.0
24001000700,24001001200,45.0
24001000700,24001001300,35.0
24001000700,24001001401,175.0
24001000700,24001001600,4.0
24001000700,24001002000,85.0
24001000700,24001002100,30.0
24001000700,24001002300,55.0
24001000700,24043001001,10.0
24001000700,51069050900,20.0
24001000700,51840000201,15.0
24001000700,54057010100,4.0
24001000700,54061010204,4.0
24001000800,24001000200,65.0
24001000800,24001000500,20.0
24001000800,24001000600,20.0
24001000800,24001000700,40.0
24001000800,24001000800,135.0
24001000800,24001001000,90.0
24001000800,24001001100,55.0
24001000800,24001001200,30.0
24001000800,24001001300,20.0
24001000800,24001001401,130.0
24001000800,24001001402,15.0
24001000800,24001001502,15.0
24001000800,24001001700,4.0
24001000800,24001002000,30.0
24001000800,24001002300,15.0
24001000800,24023000700,4.0
24001000800,24043010300,4.0
24001000800,51840000201,4.0
24001000800,54057010200,4.0
24001001000,24001000200,60.0
24001001000,24001000500,60.0
24001001000,24001000600,4.0
24001001000,24001000700,15.0
24001001000,24001000800,15.0
24001001000,24001001000,80.0
24001001000,24001001100,4.0
24001001000,24001001200,50.0
24001001000,24001001300,30.0
24001001000,24001001401,130.0
24001001000,24001001402,15.0
24001001000,24001001700,10.0
24001001000,24001001800,10.0
24001001000,24001002000,10.0
24001001000,24001002200,10.0
24001001000,24001002300,10.0
24001001000,24023000300,45.0
24001001000,24043010300,25.0
24001001000,54003971301,4.0
24001001000,54057010500,15.0
24001001100,24001000100,15.0
24001001100,24001000200,10.0
24001001100,24001000500,70.0
