Otract,Dtract,EST
23001010100,12011050208,25.0
23001010100,23001010100,70.0
23001010100,23001010200,80.0
23001010100,23001010400,10.0
23001010100,23001010700,70.0
23001010100,23001020301,25.0
23001010100,23001020402,25.0
23001010100,23001020600,25.0
23001010100,23001020801,4.0
23001010100,23001020802,4.0
23001010100,23001020900,10.0
23001010100,23001030100,10.0
23001010100,23001030200,4.0
23001010100,23001041500,10.0
23001010100,23001046500,4.0
23001010100,23005001300,10.0
23001010100,23005002001,4.0
23001010100,23005002102,10.0
23001010100,23005002902,10.0
23001010100,23005004501,4.0
23001010100,23005011205,10.0
23001010100,23005011500,10.0
23001010100,23011010200,15.0
23001010100,23011010400,10.0
23001010100,23011010500,15.0
23001010100,23023970301,4.0
23001010200,23001010100,90.0
23001010200,23001010200,605.0
23001010200,23001010300,15.0
23001010200,23001010400,45.0
23001010200,23001010500,4.0
23001010200,23001010700,100.0
23001010200,23001020100,115.0
23001010200,23001020200,35.0
23001010200,23001020301,100.0
23001010200,23001020402,75.0
23001010200,23001020500,50.0
23001010200,23001020600,60.0
23001010200,23001020700,110.0
23001010200,23001020801,40.0
23001010200,23001020802,4.0
23001010200,23001020900,95.0
23001010200,23001041000,20.0
23001010200,23001045000,10.0
23001010200,23005001300,85.0
23001010200,23005001500,10.0
23001010200,23005002102,15.0
23001010200,23005003002,30.0
23001010200,23005004502,15.0
23001010200,23005004702,75.0
23001010200,23005004803,60.0
23001010200,23005011100,20.0
23001010200,23005011205,30.0
23001010200,23007971201,30.0
23001010200,23011010200,15.0
23001010200,23011012000,15.0
23001010200,23013970401,4.0
23001010200,23017966200,35.0
23001010200,23023970600,35.0
23001010200,25017355000,30.0
23001010300,23001010100,30.0
23001010300,23001010200,375.0
23001010300,23001010300,145.0
23001010300,23001010400,10.0
23001010300,23001010600,35.0
23001010300,23001010700,20.0
23001010300,23001020100,75.0
23001010300,23001020200,30.0
23001010300,23001020301,30.0
23001010300,23001020402,15.0
23001010300,23001020500,10.0
23001010300,23001020600,50.0
23001010300,23001020801,30.0
23001010300,23001020900,45.0
23001010300,23001030200,15.0
23001010300,23005001100,10.0
23001010300,23005002501,35.0
23001010300,23005002800,15.0
23001010300,23005004401,30.0
23001010300,23005004402,10.0
23001010300,23005004501,30.0
23001010300,23005004702,10.0
23001010300,23005011500,10.0
23001010300,23005017305,15.0
23001010300,23011010400,25.0
23001010300,42069112400,10.0
23001010400,23001010100,10.0
23001010400,23001010200,75.0
23001010400,23001010300,20.0
23001010400,23001010400,130.0
23001010400,23001010500,20.0
23001010400,23001010600,70.0
23001010400,23001010700,90.0
23001010400,23001010800,4.0
23001010400,23001020100,35.0
23001010400,23001020200,20.0
23001010400,23001020301,15.0
23001010400,23001020402,30.0
23001010400,23001020600,105.0
23001010400,23001020700,25.0
23001010400,23001020802,25.0
23001010400,23001020900,110.0
23001010400,23001041000,25.0
23001010400,23001041500,10.0
23001010400,23001042000,15.0
23001010400,23001045000,4.0
23001010400,23001046500,4.0
23001010400,23005000300,25.0
23001010400,23005000600,20.0
23001010400,23005001300,4.0
23001010400,23005001500,20.0
23001010400,23005002200,4.0
23001010400,23005002501,15.0
23001010400,23005002901,15.0
23001010400,23005003002,25.0
23001010400,23005003300,20.0
23001010400,23005004001,4.0
23001010400,23005004401,10.0
23001010400,23005004501,10.0
23001010400,23005004502,15.0
23001010400,23005004805,4.0
23001010400,23005011100,10.0
23001010400,23005011204,15.0
23001010400,23005014001,15.0
23001010400,23009966300,4.0
23001010400,23011010200,15.0
23001010400,23019000700,15.0
23001010400,23023970500,4.0
23001010400,23023970600,10.0
23001010400,23031005200,10.0
23001010400,23031033000,10.0
23001010400,33017084500,20.0
23001010500,23001010100,70.0
23001010500,23001010200,100.0
23001010500,23001010400,15.0
23001010500,23001010500,120.0
23001010500,23001010700,45.0
23001010500,23001010800,10.0
23001010500,23001020100,75.0
23001010500,23001020200,40.0
23001010500,23001020301,4.0
23001010500,23001020401,4.0
23001010500,23001020500,20.0
23001010500,23001020600,20.0
23001010500,23001020700,15.0
23001010500,23001020802,40.0
23001010500,23001020900,4.0
23001010500,23001030100,4.0
23001010500,23001040000,20.0
23001010500,23001041000,45.0
23001010500,23001042000,25.0
23001010500,23001046500,10.0
23001010500,23005000600,25.0
23001010500,23005001300,4.0
23001010500,23005001800,4.0
23001010500,23005002503,4.0
23001010500,23005002901,4.0
23001010500,23005003002,40.0
23001010500,23005004401,10.0
23001010500,23005004803,10.0
23001010500,23005011500,4.0
23001010500,23005017305,4.0
23001010500,23005017308,4.0
23001010500,23017966500,4.0
23001010500,23023970302,10.0
23001010500,23023970600,4.0
23001010500,23031006106,4.0
23001010500,25027732600,10.0
23001010600,23001010100,55.0
23001010600,23001010200,165.0
23001010600,23001010300,25.0
23001010600,23001010400,10.0
23001010600,23001010600,415.0
23001010600,23001010700,140.0
23001010600,23001020100,45.0
23001010600,23001020200,85.0
23001010600,23001020301,35.0
23001010600,23001020302,30.0
23001010600,23001020303,10.0
23001010600,23001020402,50.0
23001010600,23001020500,10.0
23001010600,23001020700,30.0
23001010600,23001020802,30.0
23001010600,23001020900,90.0
23001010600,23001030100,10.0
23001010600,23001042000,10.0
23001010600,23001046000,10.0
23001010600,23001046500,10.0
23001010600,23005002504,10.0
23001010600,23005003002,10.0
23001010600,23005003100,10.0
23001010600,23005003500,10.0
23001010600,23005004202,10.0
23001010600,23005004502,30.0
23001010600,23005004805,20.0
23001010600,23005011100,10.0
23001010600,23023970600,45.0
23001010600,23031005200,15.0
23001010600,23031020002,15.0
23001010700,23001010100,25.0
23001010700,23001010200,115.0
23001010700,23001010400,30.0
23001010700,23001010500,10.0
23001010700,23001010600,40.0
23001010700,23001010700,325.0
23001010700,23001010800,40.0
23001010700,23001020100,110.0
23001010700,23001020200,190.0
23001010700,23001020301,75.0
23001010700,23001020303,15.0
23001010700,23001020402,50.0
23001010700,23001020500,10.0
23001010700,23001020600,75.0
23001010700,23001020700,15.0
23001010700,23001020801,15.0
23001010700,23001020802,70.0
23001010700,23001020900,50.0
23001010700,23001030100,20.0
23001010700,23001040000,20.0
23001010700,23001041000,110.0
23001010700,23001041500,4.0
23001010700,23001046000,10.0
23001010700,23001046500,65.0
23001010700,23005000300,25.0
23001010700,23005002503,10.0
23001010700,23005002800,4.0
23001010700,23005003002,15.0
23001010700,23005004502,75.0
23001010700,23005014001,15.0
23001010700,23005017002,35.0
23001010700,23005017305,15.0
23001010700,23011010200,35.0
23001010700,23011010801,4.0
23001010700,23011024202,60.0
23001010700,23023970500,4.0
23001010700,23025966602,4.0
23001010800,23001010100,70.0
23001010800,23001010200,170.0
23001010800,23001010300,50.0
23001010800,23001010400,20.0
23001010800,23001010700,115.0
23001010800,23001010800,400.0
23001010800,23001020100,105.0
23001010800,23001020200,35.0
23001010800,23001020301,50.0
23001010800,23001020402,105.0
23001010800,23001020600,70.0
23001010800,23001020700,4.0
23001010800,23001020802,50.0
23001010800,23001020900,100.0
23001010800,23001041000,10.0
23001010800,23001041500,15.0
23001010800,23001043000,15.0
23001010800,23001046500,10.0
23001010800,23005000200,10.0
23001010800,23005000300,10.0
23001010800,23005001300,15.0
23001010800,23005002501,55.0
23001010800,23005002901,4.0
23001010800,23005003002,85.0
23001010800,23005003300,25.0
23001010800,23005004202,10.0
23001010800,23005011206,20.0
23001010800,23005017303,10.0
23001010800,23005017305,10.0
23001010800,23011010300,4.0
23001010800,23011010400,10.0
23001010800,23011013000,20.0
23001010800,23017966200,10.0
23001010800,23017966300,20.0
23001010800,23017966401,25.0
23001020100,23001010100,4.0
23001020100,23001010200,4.0
23001020100,23001010300,4.0
23001020100,23001010600,10.0
23001020100,23001020100,15.0
23001020100,23001020200,15.0
23001020100,23001020301,20.0
23001020100,23001020402,30.0
23001020100,23001020500,25.0
23001020100,23001020600,4.0
23001020100,23001020802,65.0
23001020100,23001046500,4.0
23001020100,23005000300,4.0
