Otract,Dtract,EST
26001000100,26001000100,75.0
26001000100,26001970100,20.0
26001000100,26001970400,10.0
26001000100,26001970500,4.0
26001000100,26007000102,10.0
26001000100,26007000200,10.0
26001000100,26007000300,15.0
26001000100,26007000400,20.0
26001000100,26007000500,10.0
26001000100,26007000600,10.0
26001000100,26007000700,35.0
26001000100,26007000800,4.0
26001000100,26007000900,20.0
26001000100,26065980200,4.0
26001000100,26069000101,4.0
26001000100,26069000600,4.0
26001000100,26125130500,4.0
26001000100,26125181001,4.0
26001000100,26145001800,4.0
26001000100,26145013100,4.0
26001000100,26161407000,10.0
26001000100,39113110202,4.0
26001000100,47093002600,4.0
26001000100,47093006901,4.0
26001970100,01089010704,4.0
26001970100,17031081403,4.0
26001970100,19163010201,4.0
26001970100,26001000100,4.0
26001970100,26001970100,225.0
26001970100,26001970400,55.0
26001970100,26001970500,4.0
26001970100,26001970600,10.0
26001970100,26007000102,4.0
26001970100,26007000300,40.0
26001970100,26007000400,10.0
26001970100,26007000500,10.0
26001970100,26007000600,4.0
26001970100,26007000800,4.0
26001970100,26007000900,10.0
26001970100,26049013302,4.0
26001970100,26057000500,4.0
26001970100,26069000101,45.0
26001970100,26069000201,4.0
26001970100,26069000202,35.0
26001970100,26069000400,35.0
26001970100,26069000500,10.0
26001970100,26069000700,4.0
26001970100,26073940300,4.0
26001970100,26093725000,4.0
26001970100,26093741100,4.0
26001970100,26093743800,4.0
26001970100,26099230602,4.0
26001970100,26125150600,15.0
26001970100,26125981400,4.0
26001970100,26161984000,4.0
26001970400,26001000100,20.0
26001970400,26001970100,175.0
26001970400,26001970400,170.0
26001970400,26001970500,15.0
26001970400,26001970600,4.0
26001970400,26007000101,4.0
26001970400,26007000300,10.0
26001970400,26007000400,4.0
26001970400,26007000500,10.0
26001970400,26007000700,15.0
26001970400,26007000900,10.0
26001970400,26069000101,55.0
26001970400,26069000201,4.0
26001970400,26069000202,10.0
26001970400,26069000300,10.0
26001970400,26069000400,35.0
26001970400,26069000500,10.0
26001970400,26069000900,4.0
26001970400,26099225200,4.0
26001970400,26099226400,4.0
26001970400,26099226700,4.0
26001970400,26099251200,4.0
26001970400,26099255400,4.0
26001970400,26099262500,4.0
26001970400,26115833000,4.0
26001970400,26125168400,4.0
26001970400,26125168500,4.0
26001970400,26125171600,4.0
26001970400,26125183000,4.0
26001970400,26125198100,4.0
