Otract,Dtract,EST
27001770100,27001770100,210.0
27001770100,27001770200,10.0
27001770100,27001770300,150.0
27001770100,27001770401,70.0
27001770100,27001770402,50.0
27001770100,27001790501,4.0
27001770100,27017070501,4.0
27001770100,27017940000,4.0
27001770100,27021940001,4.0
27001770100,27021960100,4.0
27001770100,27035950701,4.0
27001770100,27035950702,10.0
27001770100,27035950801,4.0
27001770100,27035951000,4.0
27001770100,27035951200,4.0
27001770100,27035951303,4.0
27001770100,27053000101,4.0
27001770100,27053003802,4.0
27001770100,27053025100,4.0
27001770100,27053026007,4.0
27001770100,27053026027,4.0
27001770100,27053026514,4.0
27001770100,27053026617,4.0
27001770100,27053026907,4.0
27001770100,27053026911,4.0
27001770100,27053100500,4.0
27001770100,27053980000,4.0
27001770100,27061480600,4.0
27001770100,27061480801,4.0
27001770100,27061480803,25.0
27001770100,27061480805,4.0
27001770100,27061480901,4.0
27001770100,27061480902,4.0
27001770100,27065480300,4.0
27001770100,27083360100,4.0
27001770100,27095170400,4.0
27001770100,27095970200,10.0
27001770100,27109000400,4.0
27001770100,27115950300,4.0
27001770100,27115950402,4.0
27001770100,27123031900,4.0
27001770100,27131070400,4.0
27001770100,27137000301,4.0
27001770100,27137000302,4.0
27001770100,27137001100,4.0
27001770100,27137010100,4.0
27001770100,27137011102,4.0
27001770100,27137011200,4.0
27001770100,27137012400,4.0
27001770100,27137015600,4.0
27001770100,27137015700,4.0
27001770100,27137015800,10.0
27001770100,27139080305,10.0
27001770100,27163070910,4.0
27001770100,47037015700,4.0
27001770100,55109120100,4.0
27001770200,27001770200,150.0
27001770200,27001770300,70.0
27001770200,27001770401,15.0
27001770200,27001770402,10.0
27001770200,27003050226,4.0
27001770200,27003050829,4.0
27001770200,27003050901,4.0
27001770200,27007450201,4.0
27001770200,27021960100,10.0
27001770200,27021960700,4.0
27001770200,27035950502,10.0
27001770200,27035950702,4.0
27001770200,27035950902,4.0
27001770200,27053021400,4.0
27001770200,27053021800,4.0
27001770200,27053026206,4.0
27001770200,27053026514,4.0
27001770200,27053027002,4.0
27001770200,27053105204,4.0
27001770200,27061480102,4.0
27001770200,27061480600,4.0
27001770200,27061480701,4.0
27001770200,27061480702,20.0
27001770200,27061480801,4.0
27001770200,27061480803,40.0
27001770200,27061480804,20.0
27001770200,27061480805,15.0
27001770200,27061480902,30.0
27001770200,27061481001,4.0
27001770200,27065480300,4.0
27001770200,27095970100,4.0
27001770200,27095970200,10.0
27001770200,27123033200,4.0
27001770200,27137010301,4.0
27001770200,27137012100,10.0
27001770200,27137012300,4.0
27001770200,27137015100,4.0
27001770200,27137015700,4.0
27001770200,38059020200,4.0
27001770200,55031020300,4.0
27001770200,55031020800,4.0
27001770200,55031021100,10.0
27001770300,27001770100,10.0
27001770300,27001770200,15.0
27001770300,27001770300,610.0
27001770300,27001770402,30.0
27001770300,27001790501,4.0
27001770300,27001790503,10.0
27001770300,27017070401,4.0
27001770300,27035950502,4.0
27001770300,27035950701,20.0
27001770300,27035950702,55.0
27001770300,27035950801,4.0
27001770300,27035951000,4.0
27001770300,27035951100,35.0
27001770300,27035951200,15.0
27001770300,27035951301,4.0
27001770300,27035951303,4.0
27001770300,27035951304,4.0
27001770300,27035951600,4.0
27001770300,27053000102,4.0
27001770300,27053026006,4.0
27001770300,27053026007,4.0
27001770300,27053026507,4.0
27001770300,27053026912,4.0
27001770300,27053027204,4.0
27001770300,27095970200,10.0
27001770300,27137012400,4.0
27001770300,27171100101,4.0
27001770401,08035014014,4.0
27001770401,27001770100,40.0
27001770401,27001770300,45.0
27001770401,27001770401,110.0
27001770401,27001770402,85.0
27001770401,27003050208,4.0
27001770401,27003051101,4.0
27001770401,27009021102,4.0
27001770401,27009021104,4.0
27001770401,27017070100,10.0
27001770401,27017070300,4.0
27001770401,27017070401,20.0
27001770401,27017070402,4.0
27001770401,27017070501,4.0
27001770401,27017070600,4.0
27001770401,27021960600,4.0
27001770401,27037060726,4.0
27001770401,27053025100,4.0
27001770401,27053026514,4.0
27001770401,27053104901,4.0
27001770401,27061480803,4.0
27001770401,27065480300,10.0
27001770401,27115950401,4.0
27001770401,27137000302,10.0
27001770401,27137001900,4.0
27001770401,27137010200,4.0
27001770401,27137011102,4.0
27001770401,27141030505,4.0
27001770401,27163070910,4.0
27001770401,55109120905,4.0
27001770402,06057001205,4.0
27001770402,27001770100,30.0
27001770402,27001770200,4.0
27001770402,27001770300,20.0
27001770402,27001770401,40.0
27001770402,27001770402,140.0
27001770402,27001790501,4.0
27001770402,27001790503,4.0
27001770402,27001790504,4.0
27001770402,27003050108,4.0
27001770402,27003050829,4.0
27001770402,27017070200,4.0
27001770402,27017070300,4.0
27001770402,27017070401,4.0
27001770402,27017070501,4.0
27001770402,27017070502,4.0
27001770402,27017070600,4.0
27001770402,27019090703,4.0
27001770402,27025110302,4.0
27001770402,27035951100,4.0
27001770402,27037060605,4.0
27001770402,27037060717,4.0
27001770402,27053003802,4.0
27001770402,27053006800,4.0
27001770402,27053026006,4.0
27001770402,27059130502,4.0
27001770402,27061480805,4.0
27001770402,27065480300,4.0
27001770402,27065480400,4.0
27001770402,27095970200,4.0
27001770402,27115950200,4.0
27001770402,27115950300,10.0
27001770402,27115950402,4.0
27001770402,27115950500,35.0
27001770402,27123037100,4.0
27001770402,27123042002,4.0
27001770402,27137000301,4.0
27001770402,27137001700,4.0
27001770402,27137012100,4.0
27001770402,27137012400,4.0
27001770402,55031020800,4.0
27001770402,55031021100,4.0
27001790501,27001770100,4.0
27001790501,27001770300,100.0
27001790501,27001770402,10.0
27001790501,27001790501,170.0
27001790501,27003050816,4.0
27001790501,27009021201,4.0
27001790501,27017070501,4.0
27001790501,27027020300,4.0
27001790501,27035950702,4.0
27001790501,27035950802,4.0
27001790501,27035951000,4.0
27001790501,27035951100,4.0
27001790501,27035951200,4.0
27001790501,27035951303,4.0
27001790501,27035951400,4.0
27001790501,27037060605,4.0
27001790501,27037060728,4.0
27001790501,27037060823,4.0
27001790501,27037060828,4.0
27001790501,27037060836,4.0
27001790501,27037061106,4.0
27001790501,27053021800,4.0
27001790501,27053026104,4.0
27001790501,27053026514,4.0
27001790501,27053026812,4.0
27001790501,27053126102,4.0
27001790501,27053126201,4.0
27001790501,27053980000,4.0
27001790501,27061480702,4.0
27001790501,27065480100,4.0
27001790501,27065480200,4.0
27001790501,27095170500,4.0
27001790501,27095970100,55.0
27001790501,27095970200,30.0
27001790501,27095970300,4.0
27001790501,27109000100,4.0
27001790501,27115950402,4.0
27001790501,27115950500,4.0
27001790501,27115950700,4.0
27001790501,27123034201,4.0
27001790501,27123034900,4.0
27001790501,27123035900,4.0
27001790501,27123040402,4.0
27001790501,27123042101,4.0
27001790501,27137000301,4.0
27001790501,27137015600,4.0
27001790501,27141030302,4.0
27001790501,27141030505,4.0
27001790501,27145000402,4.0
27001790501,27163070502,4.0
27001790501,27163070602,4.0
27001790501,27171100803,4.0
27001790501,27171100807,4.0
27001790501,55059002605,4.0
27001790503,27001770100,10.0
27001790503,27001770200,4.0
27001790503,27001770300,165.0
27001790503,27001770402,4.0
27001790503,27001790503,70.0
27001790503,27001790504,10.0
27001790503,27003050829,4.0
27001790503,27003051103,4.0
27001790503,27035950502,4.0
27001790503,27035950701,4.0
27001790503,27035950702,10.0
27001790503,27035950902,4.0
27001790503,27035951000,4.0
27001790503,27035951100,4.0
27001790503,27035951600,4.0
27001790503,27037060835,10.0
27001790503,27053023700,4.0
27001790503,27053025905,4.0
27001790503,27053026301,4.0
27001790503,27053026514,4.0
27001790503,27053026617,4.0
27001790503,27053026911,4.0
27001790503,27053980000,4.0
27001790503,27095170500,4.0
27001790503,27095970100,4.0
27001790503,27095970200,4.0
27001790503,27137012300,4.0
27001790503,27141030407,4.0
27001790503,27141030503,4.0
27001790504,27001770300,130.0
27001790504,27001770402,4.0
27001790504,27001790503,4.0
27001790504,27001790504,85.0
27001790504,27003050829,4.0
27001790504,27007450704,4.0
27001790504,27035950701,15.0
27001790504,27035950702,10.0
27001790504,27035950801,4.0
27001790504,27035950901,4.0
27001790504,27035951301,20.0
27001790504,27035951600,4.0
27001790504,27053026202,4.0
27001790504,27053026807,10.0
27001790504,27053126102,4.0
27001790504,27095970100,20.0
27001790504,27095970200,30.0
27001790504,27095970300,25.0
27001790504,27123042800,4.0
27001790504,27123980000,4.0
27001790504,27171100203,4.0
27001790504,27171100205,4.0
27003050107,27003050107,205.0
27003050107,27003050108,55.0
27003050107,27003050111,10.0
27003050107,27003050114,4.0
27003050107,27003050115,10.0
27003050107,27003050210,4.0
27003050107,27003050216,40.0
27003050107,27003050227,35.0
27003050107,27003050228,15.0
27003050107,27003050229,10.0
27003050107,27003050234,10.0
27003050107,27003050401,25.0
27003050107,27003050501,15.0
27003050107,27003050504,25.0
27003050107,27003050505,45.0
27003050107,27003050602,4.0
27003050107,27003050605,30.0
27003050107,27003050609,10.0
27003050107,27003050709,15.0
27003050107,27003050710,65.0
27003050107,27003050712,15.0
27003050107,27003050816,4.0
27003050107,27003050827,10.0
27003050107,27003050828,15.0
27003050107,27003050829,55.0
27003050107,27003051001,15.0
27003050107,27003051102,20.0
27003050107,27003051206,20.0
27003050107,27053020400,15.0
27003050107,27053021505,10.0
27003050107,27053021601,10.0
27003050107,27053023300,4.0
27003050107,27053026019,20.0
27003050107,27053026403,10.0
27003050107,27053026507,4.0
27003050107,27053026508,10.0
27003050107,27053026605,15.0
27003050107,27053026718,15.0
27003050107,27053026724,4.0
27003050107,27053026807,4.0
27003050107,27053026812,10.0
27003050107,27053026816,4.0
27003050107,27053026907,4.0
27003050107,27053026911,10.0
27003050107,27053100500,15.0
27003050107,27053104002,25.0
27003050107,27053126102,4.0
27003050107,27053126201,15.0
27003050107,27053980000,4.0
27003050107,27059130502,15.0
27003050107,27123040503,20.0
27003050107,27123040606,10.0
27003050107,27123040705,15.0
27003050107,27123040804,20.0
27003050107,27123041001,20.0
27003050107,27123041200,20.0
27003050107,27123042002,25.0
27003050107,27141030105,10.0
27003050107,27141030503,4.0
27003050107,27141030505,4.0
27003050107,27141030506,25.0
27003050107,27171100101,4.0
27003050107,27171100203,50.0
27003050107,27171100206,10.0
27003050107,27171101300,4.0
27003050107,27173970100,10.0
27003050108,08069002602,10.0
