Otract,Dtract,EST
29001950100,17001000100,15.0
29001950100,19179960500,25.0
29001950100,29001950100,250.0
29001950100,29001950200,55.0
29001950100,29001950300,215.0
29001950100,29001950400,110.0
29001950100,29001950501,60.0
29001950100,29001950502,70.0
29001950100,29001950900,40.0
29001950100,29001951000,55.0
29001950100,29019001003,4.0
29001950100,29019002200,4.0
29001950100,29051010500,35.0
29001950100,29051010701,20.0
29001950100,29111970100,4.0
29001950100,29121960100,15.0
29001950100,29121960300,4.0
29001950100,29121960400,10.0
29001950100,29175490300,20.0
29001950100,29197470100,4.0
29001950100,29197470200,4.0
29001950100,29199480200,10.0
29001950100,29211480300,4.0
29001950200,19101090200,4.0
29001950200,29001950100,60.0
29001950200,29001950200,215.0
29001950200,29001950300,110.0
29001950200,29001950400,150.0
29001950200,29001950501,55.0
29001950200,29001950502,65.0
29001950200,29001950900,45.0
29001950200,29001951000,30.0
29001950200,29019000900,4.0
29001950200,29019001506,4.0
29001950200,29051010600,10.0
29001950200,29051020700,15.0
29001950200,29079960400,10.0
29001950200,29121960100,4.0
29001950200,29197470200,4.0
29001950200,29211480100,25.0
29001950200,29211480200,10.0
29001950200,29211480300,20.0
29001950300,19153011028,15.0
29001950300,29001950100,10.0
29001950300,29001950200,15.0
29001950300,29001950300,465.0
29001950300,29001950400,120.0
29001950300,29001950501,75.0
29001950300,29001950502,110.0
29001950300,29001950900,75.0
29001950300,29001951000,45.0
29001950300,29111970100,20.0
29001950300,29113810203,10.0
29001950300,29113810205,25.0
29001950300,29121960400,10.0
29001950300,29211480300,30.0
29001950400,29001950300,190.0
29001950400,29001950400,330.0
29001950400,29001950501,175.0
29001950400,29001950502,250.0
29001950400,29001950900,115.0
29001950400,29001951000,165.0
29001950400,29019000300,10.0
29001950400,29019002200,10.0
29001950400,29121960100,40.0
29001950400,29121960400,15.0
29001950400,29175490300,4.0
29001950400,29189211402,20.0
29001950501,29001950300,230.0
29001950501,29001950400,105.0
29001950501,29001950501,300.0
29001950501,29001950502,150.0
29001950501,29001950900,105.0
29001950501,29001951000,105.0
29001950501,29019001300,4.0
29001950501,29121960100,25.0
29001950501,29121960400,30.0
29001950502,29001950300,90.0
29001950502,29001950400,60.0
29001950502,29001950501,245.0
29001950502,29001950502,275.0
29001950502,29001950900,190.0
29001950502,29001951000,170.0
29001950502,29211480300,10.0
29001950900,29001950100,10.0
29001950900,29001950300,85.0
29001950900,29001950400,175.0
29001950900,29001950501,25.0
29001950900,29001950502,195.0
29001950900,29001950900,165.0
29001950900,29001951000,35.0
29001950900,29197470200,10.0
29001950900,29211480300,4.0
29001951000,29001950300,10.0
29001951000,29001950502,50.0
29001951000,29001950900,30.0
29001951000,29001951000,120.0
29001951000,29019001001,10.0
29001951000,29019001300,4.0
29003010100,05119001501,45.0
29003010100,20005081702,4.0
29003010100,20005081800,10.0
29003010100,20043020300,4.0
