Otract,Dtract,EST
28001000101,22103040304,15.0
28001000101,28001000101,80.0
28001000101,28001000400,10.0
28001000101,28001000500,65.0
28001000101,28001000600,90.0
28001000101,28001000700,210.0
28001000101,28001000800,25.0
28001000101,28001000900,30.0
28001000101,28005950100,15.0
28001000101,28157950100,45.0
28001000102,22029000300,40.0
28001000102,22029000400,15.0
28001000102,22071013400,15.0
28001000102,28001000101,65.0
28001000102,28001000102,35.0
28001000102,28001000200,50.0
28001000102,28001000500,55.0
28001000102,28001000600,50.0
28001000102,28001000700,105.0
28001000102,28001000800,50.0
28001000102,28001000900,95.0
28001000102,48201450900,10.0
28001000200,22029000400,15.0
28001000200,22041950200,4.0
28001000200,22041950300,25.0
28001000200,22101040400,4.0
28001000200,28001000101,30.0
28001000200,28001000102,15.0
28001000200,28001000200,120.0
28001000200,28001000300,115.0
28001000200,28001000400,55.0
28001000200,28001000600,80.0
28001000200,28001000700,160.0
28001000200,28001000800,145.0
28001000200,28001000900,155.0
28001000300,22029000300,10.0
28001000300,28001000200,15.0
28001000300,28001000300,65.0
28001000300,28001000400,4.0
28001000300,28001000600,10.0
28001000300,28001000700,140.0
28001000300,28001000800,85.0
28001000300,28001000900,60.0
28001000300,28157950201,4.0
28001000400,28001000101,4.0
28001000400,28001000200,4.0
28001000400,28001000400,50.0
28001000400,28001000500,160.0
28001000400,28001000600,120.0
28001000400,28001000700,95.0
28001000400,28001000800,45.0
28001000400,28001000900,80.0
28001000400,28063950102,20.0
28001000500,22029000300,35.0
28001000500,28001000101,130.0
28001000500,28001000200,4.0
28001000500,28001000400,55.0
28001000500,28001000500,155.0
28001000500,28001000600,120.0
28001000500,28001000700,300.0
28001000500,28001000800,90.0
28001000500,28001000900,130.0
28001000500,28149950901,35.0
28001000500,28157950202,15.0
28001000500,47157021311,25.0
28001000500,48329010123,25.0
28001000600,22029000201,10.0
28001000600,22029000400,80.0
28001000600,22071011100,10.0
28001000600,28001000101,70.0
28001000600,28001000200,4.0
28001000600,28001000300,25.0
28001000600,28001000600,110.0
28001000600,28001000700,210.0
28001000600,28001000800,45.0
28001000600,28001000900,70.0
28001000600,28113950400,25.0
28001000700,22029000201,4.0
28001000700,22029000400,10.0
28001000700,22033003506,15.0
28001000700,22041950300,25.0
28001000700,28001000101,4.0
28001000700,28001000300,20.0
28001000700,28001000400,20.0
28001000700,28001000600,65.0
28001000700,28001000700,120.0
28001000700,28001000800,15.0
28001000700,28001000900,95.0
28001000700,28021950300,4.0
28001000700,28149950200,4.0
28001000700,28149950901,4.0
28001000800,22029000400,15.0
28001000800,28001000101,4.0
28001000800,28001000200,20.0
28001000800,28001000400,60.0
28001000800,28001000500,25.0
28001000800,28001000600,100.0
28001000800,28001000700,155.0
28001000800,28001000800,220.0
28001000800,28001000900,190.0
28001000800,28005950302,10.0
28001000800,28021950300,20.0
28001000800,28063950101,15.0
28001000800,28085950601,45.0
28001000900,22029000400,15.0
28001000900,22033003804,10.0
28001000900,22055001417,20.0
28001000900,22059970200,10.0
28001000900,22079012600,10.0
28001000900,22079013100,4.0
28001000900,28001000102,30.0
28001000900,28001000200,4.0
28001000900,28001000300,10.0
28001000900,28001000400,50.0
28001000900,28001000500,15.0
28001000900,28001000600,135.0
28001000900,28001000700,350.0
28001000900,28001000800,90.0
28001000900,28001000900,405.0
28001000900,28021950300,35.0
28001000900,28113950502,4.0
28003950100,01079979201,4.0
28003950100,01089001404,15.0
28003950100,22071000200,10.0
28003950100,28003950100,165.0
28003950100,28003950201,25.0
28003950100,28003950202,30.0
28003950100,28003950300,340.0
28003950100,28003950401,50.0
28003950100,28003950501,120.0
28003950100,28003950502,280.0
28003950100,28003950600,10.0
28003950100,28009950102,4.0
28003950100,28057950500,4.0
28003950100,28081950202,4.0
28003950100,28081950401,20.0
28003950100,28081950700,15.0
28003950100,28081950901,25.0
28003950100,28081951101,20.0
28003950100,28115950300,15.0
28003950100,28117950101,20.0
28003950100,28117950301,85.0
28003950100,28139950100,10.0
28003950100,28141950101,40.0
28003950100,28141950200,4.0
28003950100,28141950302,105.0
28003950100,28145950500,4.0
28003950100,29189213701,20.0
28003950100,47065011444,20.0
28003950100,47071920402,20.0
28003950100,47071920600,4.0
28003950100,47109930502,50.0
28003950100,47113000300,4.0
28003950100,47113001609,4.0
28003950100,47113001900,20.0
28003950100,47157021341,4.0
28003950100,51179010103,70.0
28003950201,28003950201,50.0
28003950201,28003950300,85.0
28003950201,28003950501,315.0
28003950201,28003950502,30.0
28003950201,28081950700,65.0
28003950201,28117950101,30.0
28003950201,28117950301,4.0
28003950201,28139950300,50.0
28003950202,01033021000,75.0
28003950202,28003950100,155.0
28003950202,28003950201,55.0
28003950202,28003950202,130.0
28003950202,28003950300,310.0
28003950202,28003950501,110.0
28003950202,28003950502,350.0
28003950202,28081950602,45.0
28003950202,28081950700,20.0
28003950202,28091950500,15.0
28003950202,28139950100,35.0
28003950202,28141950101,20.0
28003950202,28141950302,10.0
28003950202,47071920600,20.0
28003950300,01033020705,4.0
28003950300,25017353101,35.0
28003950300,28003950100,95.0
28003950300,28003950201,170.0
28003950300,28003950202,10.0
28003950300,28003950300,355.0
28003950300,28003950501,70.0
28003950300,28003950502,105.0
28003950300,28003950700,4.0
28003950300,28033070811,4.0
28003950300,28081950204,4.0
28003950300,28081950700,20.0
28003950300,28081950800,10.0
28003950300,28081980000,15.0
28003950300,28117950102,15.0
28003950300,28117950301,15.0
28003950300,28141950101,15.0
28003950300,28141950200,15.0
28003950300,28141950302,4.0
28003950300,47071920600,25.0
28003950300,47109930502,15.0
28003950300,47157011300,15.0
28003950401,28003950100,75.0
28003950401,28003950300,330.0
28003950401,28003950401,90.0
28003950401,28003950501,75.0
28003950401,28003950502,140.0
28003950401,28003950600,25.0
28003950401,28003950700,4.0
28003950401,28033070721,10.0
28003950401,28081950204,4.0
28003950401,28081950401,15.0
28003950401,28081950901,4.0
28003950401,28117950101,4.0
28003950401,28117950302,25.0
28003950401,28139950300,20.0
28003950401,28141950101,60.0
28003950401,28141950200,10.0
28003950401,28145950500,15.0
28003950401,29095001100,10.0
28003950401,47069950500,15.0
28003950401,47109930502,15.0
28003950401,47109930700,15.0
28003950401,47113000800,30.0
28003950402,13063980000,10.0
28003950402,28003950100,25.0
28003950402,28003950201,60.0
28003950402,28003950300,55.0
28003950402,28003950401,10.0
28003950402,28003950402,4.0
28003950402,28003950501,160.0
28003950402,28003950502,115.0
28003950402,28117950101,25.0
28003950402,28117950301,15.0
28003950402,28139950201,10.0
28003950402,47157022500,4.0
28003950501,28003950100,30.0
28003950501,28003950300,175.0
28003950501,28003950501,135.0
28003950501,28003950502,125.0
28003950501,28003950600,15.0
28003950501,28087000600,20.0
28003950501,28117950302,40.0
28003950501,47065003100,40.0
28003950501,47065010412,15.0
28003950501,47069950500,35.0
28003950501,47109930501,15.0
28003950502,28003950100,40.0
28003950502,28003950300,175.0
28003950502,28003950501,135.0
28003950502,28003950502,255.0
28003950502,28117950301,95.0
28003950502,28145950300,35.0
28003950600,01033020706,15.0
28003950600,01125012407,4.0
28003950600,21145030300,4.0
28003950600,28003950100,50.0
28003950600,28003950201,25.0
28003950600,28003950202,4.0
28003950600,28003950300,85.0
28003950600,28003950401,4.0
28003950600,28003950501,180.0
28003950600,28003950502,235.0
28003950600,28003950600,60.0
28003950600,28003950700,4.0
28003950600,28033070811,4.0
28003950600,28081950102,15.0
28003950600,28081950204,25.0
28003950600,28081950401,4.0
28003950600,28081950404,10.0
28003950600,28081950700,10.0
28003950600,28081950902,4.0
28003950600,28081951002,20.0
28003950600,28081980000,15.0
28003950600,28117950101,4.0
28003950600,28117950201,10.0
28003950600,28117950301,25.0
28003950600,28141950101,65.0
28003950600,28141950200,25.0
28003950600,28141950301,4.0
28003950600,28141950302,90.0
28003950600,28141950401,10.0
28003950600,28141950402,4.0
28003950600,47113000200,4.0
28003950700,01033020902,4.0
28003950700,28003950100,15.0
28003950700,28003950201,10.0
28003950700,28003950202,25.0
28003950700,28003950300,50.0
28003950700,28003950401,25.0
28003950700,28003950501,100.0
28003950700,28003950502,135.0
28003950700,28003950700,90.0
28003950700,28081950101,25.0
28003950700,28081950204,15.0
28003950700,28081950401,30.0
28003950700,28081950501,10.0
28003950700,28081950502,10.0
28003950700,28081950700,20.0
28003950700,28081950901,25.0
28003950700,28093950102,4.0
28003950700,28095950400,4.0
28003950700,28117950101,70.0
28003950700,28117950102,30.0
28003950700,28117950301,85.0
28003950700,28117950302,40.0
28003950700,28117950400,15.0
28003950700,28139950300,4.0
28003950700,28139950401,40.0
28003950700,28141950101,15.0
28003950700,28141950302,60.0
28003950700,28145950300,10.0
28003950700,28145950500,25.0
28003950700,47077975400,4.0
28003950700,47109930502,10.0
28003950700,47157003800,10.0
28005950100,12095016802,10.0
28005950100,22033000300,50.0
28005950100,22033003505,15.0
28005950100,22033004204,10.0
28005950100,22033004402,30.0
28005950100,22057021101,15.0
28005950100,22071013400,125.0
28005950100,28001000101,85.0
28005950100,28001000400,4.0
28005950100,28005950100,250.0
28005950100,28005950200,25.0
28005950100,28005950302,30.0
28005950100,28077960100,10.0
28005950100,28085950100,30.0
28005950100,28085950402,15.0
28005950100,28085950500,45.0
28005950100,28113950102,35.0
28005950100,28113950104,10.0
28005950100,28113950200,4.0
28005950100,28113950300,4.0
28005950100,28113950400,135.0
28005950100,28113950501,65.0
28005950100,28113950502,70.0
28005950100,28113950601,55.0
28005950100,28113950602,20.0
28005950100,28121020208,4.0
28005950100,28157950100,4.0
28005950100,28157950201,4.0
28005950100,28157950202,4.0
28005950100,30111940001,10.0
28005950200,22005030405,20.0
28005950200,22033003201,4.0
28005950200,22033003806,15.0
28005950200,22033003809,125.0
28005950200,22033004515,15.0
28005950200,22033004603,15.0
28005950200,22047953200,10.0
28005950200,22103040602,4.0
28005950200,28001000101,60.0
28005950200,28001000700,20.0
28005950200,28005950100,30.0
28005950200,28005950200,45.0
28005950200,28037950101,25.0
28005950200,28037950102,4.0
28005950200,28047003106,4.0
28005950200,28113950400,40.0
28005950200,28113950502,35.0
28005950200,28157950100,100.0
28005950200,28157950201,50.0
28005950200,28157950202,75.0
28005950200,30111000800,60.0
28005950200,48039664200,30.0
28005950301,22033000900,30.0
28005950301,22033004900,4.0
28005950301,22075050201,10.0
28005950301,28001000700,4.0
28005950301,28005950301,10.0
28005950301,28005950302,4.0
28005950301,28049010201,25.0
28005950301,28157950100,10.0
28005950301,28157950202,10.0
28005950302,22103040713,20.0
28005950302,22105953401,4.0
28005950302,28005950302,105.0
28005950302,28085950500,45.0
28005950302,28113950104,60.0
28005950302,28113950400,15.0
28005950302,28113950501,40.0
28005950302,28113950502,45.0
28005950302,28113950601,20.0
28005950302,28157950100,15.0
28005950302,47157022220,15.0
28007060100,22109000601,4.0
28007060100,28007060100,45.0
28007060100,28007060400,35.0
28007060100,28007060500,60.0
28007060100,28007060600,90.0
28007060100,28019950200,4.0
28007060100,28019950300,4.0
28007060100,28079040700,10.0
28007060100,28099010101,4.0
28007060100,28105950300,4.0
28007060100,28105950500,15.0
28007060100,28121020402,4.0
28007060100,28123020600,4.0
28007060200,28007060200,35.0
28007060200,28007060500,85.0
28007060200,28007060600,145.0
28007060200,28015950201,25.0
28007060200,28033070811,15.0
28007060200,28049001300,10.0
28007060200,28049001600,15.0
28007060200,28089030401,85.0
28007060200,28097950302,20.0
28007060200,28099010700,4.0
28007060200,28099940100,15.0
28007060200,28121020217,10.0
28007060200,28151000600,15.0
28007060200,47157020221,10.0
28007060200,47157021112,4.0
28007060300,28007060200,25.0
28007060300,28007060300,40.0
28007060300,28007060500,150.0
28007060300,28007060600,255.0
28007060300,28029950501,10.0
28007060300,28033070101,25.0
28007060300,28049000600,75.0
28007060300,28049001600,15.0
28007060300,28049010203,4.0
28007060300,28051950100,50.0
28007060300,28051950200,35.0
28007060300,28051950501,10.0
28007060300,28079040700,25.0
28007060300,28089030112,4.0
28007060300,28089030205,4.0
28007060300,28089030600,20.0
28007060300,28121020301,30.0
28007060300,28123020101,45.0
28007060300,28123020500,10.0
28007060400,22109001303,10.0
28007060400,28007060200,15.0
28007060400,28007060400,20.0
28007060400,28007060500,90.0
28007060400,28007060600,205.0
28007060400,28051950501,4.0
28007060400,28079040600,4.0
28007060400,28087000500,20.0
28007060400,28099940100,4.0
28007060400,28121020209,10.0
28007060400,28121020705,20.0
28007060400,28123020301,10.0
28007060400,28123020600,15.0
28007060500,28007060500,295.0
28007060500,28007060600,365.0
28007060500,28019950200,10.0
28007060500,28049001300,40.0
28007060500,28049001500,20.0
28007060500,28049011600,20.0
28007060500,28051950501,10.0
28007060500,28079040600,4.0
28007060500,28079040700,125.0
28007060500,28089030401,75.0
28007060500,28099010500,20.0
28007060500,28099940100,10.0
28007060500,28121020304,10.0
28007060500,28133950600,10.0
28007060600,28007060500,70.0
28007060600,28007060600,245.0
28007060600,28015950201,10.0
28007060600,28035010602,35.0
28007060600,28049010901,10.0
28007060600,28051950200,75.0
28007060600,28059042900,15.0
28007060600,28089030401,40.0
28007060600,28151000600,15.0
28007060600,28151001500,4.0
28009950101,05035030703,4.0
28009950101,05119003900,4.0
28009950101,13063980000,4.0
28009950101,28009950101,130.0
28009950101,28009950102,85.0
28009950101,28033070210,10.0
28009950101,28033070721,80.0
28009950101,28033070723,15.0
28009950101,28033070724,10.0
28009950101,28033070830,135.0
28009950101,28033071121,4.0
28009950101,28071950402,10.0
28009950101,28093950302,70.0
28009950101,28093950401,4.0
28009950101,28093950402,10.0
28009950101,28093950502,40.0
28009950101,28115950102,4.0
28009950101,28115950300,25.0
28009950101,28139950100,4.0
28009950101,28139950201,4.0
28009950101,28139950300,4.0
28009950101,28139950401,4.0
28009950101,28145950300,55.0
28009950101,28145950500,4.0
28009950101,28145950600,4.0
28009950101,47157003000,4.0
28009950101,47157005600,4.0
28009950101,47157009300,4.0
28009950101,47157009600,4.0
28009950101,47157011020,4.0
28009950101,47157020610,25.0
28009950101,47157021311,20.0
28009950101,47157021351,10.0
28009950101,47157021354,20.0
28009950101,47157021530,30.0
28009950101,47157021544,4.0
28009950101,47157021620,40.0
28009950101,47157021747,4.0
28009950101,47157021751,4.0
28009950101,47157022600,4.0
28009950101,47157980100,4.0
28009950101,47157980200,4.0
28009950102,05035030202,15.0
28009950102,13063980000,4.0
28009950102,28003950501,10.0
28009950102,28009950102,70.0
28009950102,28033070721,4.0
28009950102,28033070722,4.0
28009950102,28033070830,10.0
28009950102,28071950403,4.0
28009950102,28081950700,4.0
28009950102,28093950201,10.0
28009950102,28093950301,4.0
28009950102,28115950102,30.0
28009950102,28115950300,4.0
28009950102,28117950101,10.0
28009950102,28139950201,4.0
28009950102,28139950202,10.0
28009950102,28139950300,70.0
28009950102,28139950401,15.0
28009950102,28145950300,4.0
28009950102,47157001100,4.0
28009950102,47157003800,15.0
28009950102,47157009600,4.0
28009950102,47157011300,4.0
28009950102,47157020621,4.0
28009950102,47157021113,4.0
28009950102,47157021200,4.0
28009950102,47157021530,4.0
28009950102,47157021544,30.0
28009950102,47157021546,4.0
28009950102,47157021900,4.0
28009950102,47157022600,4.0
28009950102,47157980100,45.0
28009950200,28009950200,30.0
28009950200,28033070521,4.0
28009950200,28071950201,30.0
28009950200,28081950700,4.0
28009950200,28081950800,4.0
28009950200,28081950901,4.0
28009950200,28093950102,10.0
28009950200,28093950301,20.0
28009950200,28093950302,10.0
28009950200,28093950402,70.0
28009950200,28093950501,10.0
28009950200,28093950502,4.0
28009950200,28139950201,30.0
28009950200,28139950300,15.0
28009950200,28139950402,4.0
28009950200,28145950100,25.0
28009950200,28145950200,25.0
28009950200,28145950300,145.0
28009950200,28145950500,10.0
28009950200,28145950600,45.0
28009950200,47047060702,4.0
28009950200,47157003800,4.0
28009950200,47157005300,15.0
28009950200,47157022600,30.0
28011950100,28011950100,75.0
28011950100,28011950200,10.0
28011950100,28011950300,4.0
28011950100,28011950400,10.0
28011950100,28011950500,10.0
28011950100,28011950601,25.0
28011950100,28011950701,20.0
28011950100,28027950200,35.0
28011950100,28027950300,10.0
28011950100,28027950400,35.0
28011950100,28027950500,4.0
28011950100,28027950600,4.0
28011950100,28027950700,20.0
28011950100,28033070310,15.0
28011950100,28083950600,15.0
28011950100,28121020304,4.0
28011950100,28133950100,10.0
28011950100,28133950200,10.0
28011950100,28133950401,20.0
28011950100,28135950200,10.0
28011950100,28143950102,4.0
28011950100,28151001600,10.0
28011950200,28011950200,105.0
28011950200,28011950300,20.0
28011950200,28011950400,4.0
28011950200,28011950500,4.0
28011950200,28011950602,4.0
28011950200,28011950701,65.0
28011950200,28011950702,10.0
28011950200,28027950700,4.0
28011950200,28133950200,10.0
28011950200,28133950300,10.0
28011950200,28133950401,10.0
28011950300,28011950100,35.0
28011950300,28011950200,4.0
28011950300,28011950300,135.0
28011950300,28011950400,30.0
28011950300,28011950500,20.0
28011950300,28011950601,25.0
28011950300,28011950602,10.0
28011950300,28011950701,80.0
28011950300,28011950702,10.0
28011950300,28027950700,4.0
28011950300,28049010502,4.0
28011950300,28089030206,4.0
28011950300,28133950200,4.0
28011950300,28133950401,10.0
28011950300,28151000701,4.0
28011950300,28163950100,4.0
28011950300,28163950200,4.0
