Otract,Dtract,EST
30001000100,02020001500,4.0
30001000100,16033950100,4.0
30001000100,27003050501,4.0
30001000100,30001000100,270.0
30001000100,30001000200,15.0
30001000100,30001000300,65.0
30001000100,30023000300,4.0
30001000100,30023000400,4.0
30001000100,30057000101,4.0
30001000100,30057000300,10.0
30001000100,30093000600,4.0
30001000100,30093000700,4.0
30001000100,30093000800,4.0
30001000200,08059010308,4.0
30001000200,30001000100,25.0
30001000200,30001000200,475.0
30001000200,30001000300,770.0
30001000200,30031000101,4.0
30001000200,30031000701,10.0
30001000200,30031001700,4.0
30001000200,30057000101,10.0
30001000200,30057000102,4.0
30001000200,30057000200,45.0
30001000200,30093000101,4.0
30001000200,30093000102,35.0
30001000200,30093000600,10.0
30001000200,49035100100,25.0
30001000200,49035101700,4.0
30001000300,30001000100,75.0
30001000300,30001000200,220.0
30001000300,30001000300,0.0
30001000300,30031000400,25.0
30001000300,30031000701,10.0
30001000300,30031001002,4.0
30001000300,30031001200,4.0
30001000300,30049000800,15.0
30001000300,30093000101,15.0
30001000300,30093000200,35.0
30001000300,30093000300,50.0
30003000100,30003000100,705.0
30003000100,30003940400,4.0
30003000100,30003940600,55.0
30003000100,30003940700,35.0
30003000100,30087940400,35.0
30003000100,30111000402,15.0
30003000100,30111001501,4.0
30003000100,30111001502,70.0
30003000100,30111001704,4.0
30003000100,30111001804,30.0
30003000100,30111001805,15.0
30003000100,56033000100,10.0
30003940400,30003940400,100.0
30003940400,30087000300,10.0
30003940400,30087940400,110.0
30003940400,30111000800,15.0
30003940400,30111000901,10.0
30003940400,30111940001,4.0
30003940400,56033000300,4.0
30003940500,30003000100,10.0
30003940500,30003940500,75.0
30003940500,30003940600,4.0
30003940500,30003940700,4.0
30003940500,30009000100,10.0
30003940500,30087940400,15.0
30003940500,30111000200,4.0
30003940500,30111000300,10.0
30003940500,30111000402,15.0
30003940500,30111000901,4.0
30003940500,30111001404,15.0
30003940500,30111001704,15.0
30003940500,56033000600,4.0
30003940600,30003000100,95.0
30003940600,30003940600,105.0
30003940600,30067000300,4.0
30003940600,30111000901,15.0
30003940700,16069960600,4.0
30003940700,30003000100,20.0
30003940700,30003940600,4.0
30003940700,30003940700,230.0
30003940700,30111000200,4.0
30003940700,30111000402,4.0
30003940700,30111001804,4.0
30003940700,56033000100,15.0
30003940700,56033000400,4.0
30003940700,56033000600,4.0
30005000100,30005000100,300.0
30005000100,30005000200,45.0
30005000100,30041040200,4.0
30005000100,30041040300,10.0
30005000100,30041040400,4.0
30005000200,30005000100,30.0
30005000200,30005000200,445.0
30005000200,30005940200,4.0
30005000200,30013000200,10.0
30005000200,30013010100,20.0
30005000200,30041040300,55.0
30005000200,30041040400,20.0
30005940100,30005000100,10.0
30005940100,30005940100,15.0
30005940100,30041040300,4.0
30005940200,30005000100,30.0
30005940200,30005000200,4.0
30005940200,30005940100,30.0
30005940200,30005940200,35.0
30005940200,30041040300,4.0
30007000100,30007000100,490.0
30007000100,30007000200,25.0
30007000100,30013002302,4.0
30007000100,30031000202,10.0
30007000100,30031000502,4.0
30007000100,30031000703,10.0
30007000100,30049000100,40.0
30007000100,30049000400,35.0
30007000100,30049000800,15.0
30007000100,30049000900,4.0
30007000100,30049001101,75.0
30007000100,30049001102,30.0
30007000100,30049001201,15.0
30007000100,30059000100,4.0
30007000100,30063000206,4.0
30007000100,30067000400,4.0
30007000100,30093000200,4.0
30007000100,30093000800,4.0
30007000100,41051007300,10.0
30007000200,30007000100,245.0
30007000200,30007000200,450.0
30007000200,30031000101,40.0
30007000200,30031000202,35.0
30007000200,30031000300,85.0
30007000200,30031000400,20.0
30007000200,30031000504,15.0
30007000200,30031000600,10.0
30007000200,30031000701,40.0
30007000200,30031000703,10.0
30007000200,30031000900,25.0
30007000200,30031001002,10.0
30007000200,30031001102,30.0
30007000200,30043962300,10.0
30007000200,30049000300,25.0
30007000200,30049000400,50.0
30007000200,30049000504,40.0
30007000200,30049000702,25.0
30007000200,30049000800,30.0
30007000200,30049000900,65.0
30007000200,30049001000,35.0
30007000200,30049001101,210.0
30007000200,30049001102,20.0
30007000200,30049001201,10.0
30007000200,30063001001,10.0
30009000100,30009000100,340.0
30009000100,30009000200,10.0
30009000100,30009000300,45.0
30009000100,30009000400,25.0
30009000100,30009000500,4.0
30009000100,30057000102,4.0
30009000100,30095966400,20.0
30009000100,30095966500,20.0
30009000100,30095966600,10.0
30009000100,30111000200,25.0
30009000100,30111000402,110.0
30009000100,30111000600,4.0
30009000100,30111000704,10.0
30009000100,30111000800,4.0
30009000100,30111000901,40.0
30009000100,30111000902,15.0
30009000100,30111001100,25.0
30009000100,30111001402,4.0
30009000100,30111001403,40.0
