Otract,Dtract,EST
37001020100,13121009504,10.0
37001020100,37001020100,370.0
37001020100,37001020200,35.0
37001020100,37001020301,4.0
37001020100,37001020501,45.0
37001020100,37001020502,45.0
37001020100,37001020601,20.0
37001020100,37001020701,85.0
37001020100,37001020702,15.0
37001020100,37001020801,25.0
37001020100,37001020802,25.0
37001020100,37001020901,95.0
37001020100,37001021000,50.0
37001020100,37001021101,25.0
37001020100,37001021102,20.0
37001020100,37001021201,35.0
37001020100,37001021204,65.0
37001020100,37001021205,80.0
37001020100,37001021207,25.0
37001020100,37001021400,4.0
37001020100,37001021600,15.0
37001020100,37001021702,95.0
37001020100,37001021703,165.0
37001020100,37037020703,10.0
37001020100,37051002701,4.0
37001020100,37051003302,10.0
37001020100,37063980100,10.0
37001020100,37067000100,10.0
37001020100,37081010401,10.0
37001020100,37081010800,10.0
37001020100,37081011602,10.0
37001020100,37081012804,4.0
37001020100,37081016201,10.0
37001020100,37081016406,10.0
37001020100,37081016503,25.0
37001020100,37081017200,10.0
37001020100,37097061303,10.0
37001020100,37119005866,10.0
37001020100,37135010705,30.0
37001020100,37135011001,10.0
37001020100,37135011206,35.0
37001020100,37135011602,20.0
37001020100,37151030100,10.0
37001020100,37151031200,35.0
37001020100,37151031402,35.0
37001020100,37183052802,10.0
37001020100,37183054001,15.0
37001020100,37183054018,10.0
37001020200,37001020100,135.0
37001020200,37001020200,70.0
37001020200,37001020301,20.0
37001020200,37001020400,20.0
37001020200,37001020501,20.0
37001020200,37001020601,25.0
37001020200,37001020701,70.0
37001020200,37001020801,20.0
37001020200,37001020901,15.0
37001020200,37001021000,35.0
37001020200,37001021101,4.0
37001020200,37001021102,40.0
37001020200,37001021201,30.0
37001020200,37001021205,55.0
37001020200,37001021207,20.0
37001020200,37001021300,20.0
37001020200,37001021600,15.0
37001020200,37001021703,135.0
37001020200,37001021802,35.0
37001020200,37063001709,35.0
37001020200,37063001801,15.0
37001020200,37063002034,10.0
37001020200,37063980100,40.0
37001020200,37081010900,4.0
37001020200,37081011000,20.0
37001020200,37081014502,15.0
37001020200,37081015201,10.0
37001020200,37081015202,15.0
37001020200,37081016011,30.0
37001020200,37081016406,4.0
37001020200,37081017200,4.0
37001020200,37135011210,135.0
37001020200,37135011602,10.0
37001020200,37135011700,15.0
37001020200,37135011903,15.0
37001020200,37135012101,60.0
37001020200,37183053517,4.0
37001020200,37183054001,45.0
37001020301,37001020100,70.0
37001020301,37001020301,165.0
37001020301,37001020400,55.0
37001020301,37001020501,125.0
37001020301,37001020702,45.0
37001020301,37001020801,80.0
37001020301,37001021000,40.0
37001020301,37001021101,50.0
37001020301,37001021204,45.0
37001020301,37001021205,20.0
37001020301,37001021206,145.0
37001020301,37001021600,45.0
37001020301,37001021701,40.0
37001020301,37001021703,85.0
37001020301,37063001505,25.0
37001020301,37063001801,10.0
37001020301,37081012607,35.0
37001020301,37101041005,30.0
37001020301,37135011103,40.0
37001020301,37135011602,35.0
37001020301,47037010201,15.0
37001020302,37001020100,115.0
37001020302,37001020200,25.0
37001020302,37001020301,10.0
37001020302,37001020400,50.0
37001020302,37001020501,4.0
37001020302,37001020601,4.0
37001020302,37001020701,100.0
37001020302,37001020702,120.0
37001020302,37001020801,15.0
37001020302,37001020901,85.0
37001020302,37001021101,4.0
37001020302,37001021201,4.0
37001020302,37001021204,30.0
37001020302,37001021205,30.0
37001020302,37001021206,40.0
37001020302,37001021207,10.0
37001020302,37001021703,25.0
37001020302,37001021801,20.0
37001020302,37063001400,15.0
37001020302,37063001501,40.0
37001020302,37063002008,4.0
37001020302,37063002031,30.0
37001020302,37063002035,30.0
37001020302,37063002037,4.0
37001020302,37067002601,35.0
37001020302,37081012617,20.0
37001020302,37081015302,4.0
37001020302,37081016205,30.0
37001020302,37135010803,15.0
37001020302,37135011103,10.0
37001020302,37183052505,25.0
37001020400,37001020100,200.0
37001020400,37001020200,30.0
