Otract,Dtract,EST
38001965600,38001965600,610.0
38001965600,38011965200,15.0
38001965600,38011965300,4.0
38001965600,38017000602,4.0
38001965600,38041964800,10.0
38001965600,38089963400,4.0
38001965600,38089963900,10.0
38001965600,46105968300,35.0
38003967900,38003967900,185.0
38003967900,38003968000,30.0
38003967900,38003968200,215.0
38003967900,38003968300,170.0
38003967900,38017000300,4.0
38003967900,38017000602,4.0
38003967900,38017010106,4.0
38003967900,38017010107,4.0
38003967900,38017010111,10.0
38003967900,38017010201,4.0
38003967900,38017010205,4.0
38003967900,38017010206,4.0
38003967900,38017040100,4.0
38003967900,38017040300,4.0
38003967900,38017040800,4.0
38003967900,38073968900,45.0
38003967900,38073969100,4.0
38003967900,38081974000,4.0
38003967900,38081974200,4.0
38003967900,38093967000,4.0
38003967900,38093967200,4.0
38003967900,38093967300,4.0
38003967900,38093967500,4.0
38003968000,38003967900,15.0
38003968000,38003968000,425.0
38003968000,38003968200,165.0
38003968000,38003968300,145.0
38003968000,38015011002,4.0
38003968000,38017000502,4.0
38003968000,38017001004,4.0
38003968000,38017010107,4.0
38003968000,38017010111,4.0
38003968000,38017010303,4.0
38003968000,38017040700,4.0
38003968000,38039968600,30.0
38003968000,38045972100,40.0
38003968000,38045972200,30.0
38003968000,38073968900,4.0
38003968000,38073969100,4.0
38003968000,38077970800,4.0
38003968000,38077971400,4.0
38003968000,38091968700,4.0
38003968000,38093967000,45.0
38003968000,38093967200,4.0
38003968000,38093967300,35.0
38003968000,38093967402,4.0
38003968000,38093967500,65.0
38003968000,38093967800,30.0
38003968000,38101010100,10.0
38003968000,38101010400,50.0
38003968000,38101010902,4.0
38003968200,38003968000,95.0
38003968200,38003968200,595.0
38003968200,38003968300,470.0
38003968200,38017000300,15.0
38003968200,38017000501,10.0
38003968200,38017010201,95.0
38003968200,38017040100,15.0
38003968200,38081974000,15.0
38003968200,38093967000,25.0
38003968200,38093967800,10.0
38003968300,27005940000,40.0
38003968300,27037060725,15.0
38003968300,38003967900,20.0
38003968300,38003968000,55.0
38003968300,38003968200,720.0
38003968300,38003968300,685.0
38003968300,38017000300,30.0
38003968300,38017000901,10.0
38003968300,38017010109,10.0
38003968300,38017040100,15.0
38003968300,38017040507,4.0
38003968300,38017040700,10.0
38003968300,38081974200,10.0
38003968300,38093967000,10.0
38003968300,38093967200,10.0
38003968300,38093967401,10.0
38003968300,38093967402,10.0
38003968300,38093967500,30.0
38003968300,38093967800,20.0
38003968300,55073001103,10.0
38005940100,38005940100,140.0
38005940100,38005940200,50.0
38005940100,38005956700,35.0
38005940100,38027959200,4.0
38005940100,38069956100,4.0
38005940100,38071957600,10.0
38005940100,38071957800,20.0
38005940100,38095951500,4.0
38005940100,38099958100,4.0
38005940200,38005940100,45.0
38005940200,38005940200,115.0
