Otract,Dtract,EST
31001965400,31001965400,445.0
31001965400,31001965500,295.0
31001965400,31001965600,35.0
31001965400,31001965700,320.0
31001965400,31001965800,75.0
31001965400,31001965900,55.0
31001965400,31001966000,215.0
31001965400,31001966100,100.0
31001965400,31001966200,60.0
31001965400,31019969100,4.0
31001965400,31019969202,4.0
31001965400,31019969203,4.0
31001965400,31019969204,4.0
31001965400,31019969300,4.0
31001965400,31019969500,4.0
31001965400,31019969600,4.0
31001965400,31019969700,20.0
31001965400,31047968000,4.0
31001965400,31079000400,4.0
31001965400,31079000500,4.0
31001965400,31079000600,25.0
31001965400,31079000700,40.0
31001965400,31079000900,10.0
31001965400,31079001000,20.0
31001965400,31079001100,10.0
31001965400,31079001200,30.0
31001965400,31079001300,20.0
31001965400,31079001400,10.0
31001965400,31081969300,4.0
31001965400,31099966600,4.0
31001965400,31099966700,20.0
31001965400,31109003102,25.0
31001965400,31137967000,4.0
31001965400,31181965000,4.0
31001965500,31001965400,90.0
31001965500,31001965500,300.0
31001965500,31001965600,115.0
31001965500,31001965700,365.0
31001965500,31001965800,60.0
31001965500,31001965900,115.0
31001965500,31001966000,470.0
31001965500,31001966100,90.0
31001965500,31001966200,85.0
31001965500,31035962200,4.0
31001965500,31065963900,25.0
31001965500,31079000300,4.0
31001965500,31079000600,25.0
31001965500,31079000700,10.0
31001965500,31079000800,4.0
31001965500,31079000900,30.0
31001965500,31079001200,10.0
31001965500,31079001300,30.0
31001965500,31099966700,30.0
31001965500,31109002100,10.0
31001965500,31109003607,20.0
31001965500,31153010632,4.0
31001965500,31181965000,15.0
31001965500,48453001603,10.0
31001965500,48453001921,4.0
31001965600,06081600100,15.0
31001965600,31001965400,125.0
31001965600,31001965500,200.0
31001965600,31001965600,675.0
31001965600,31001965700,270.0
31001965600,31001965800,125.0
31001965600,31001965900,30.0
31001965600,31001966000,190.0
31001965600,31001966100,285.0
31001965600,31001966200,50.0
31001965600,31019969000,20.0
31001965600,31019969204,10.0
31001965600,31079000600,80.0
31001965600,31079000700,55.0
31001965600,31079000800,10.0
31001965600,31079001200,15.0
31001965600,31079001300,65.0
31001965600,31153010620,25.0
31001965600,31153010631,10.0
31001965600,31185969700,10.0
31001965700,31001965400,20.0
31001965700,31001965500,105.0
31001965700,31001965600,60.0
31001965700,31001965700,195.0
31001965700,31001965800,25.0
31001965700,31001965900,25.0
31001965700,31001966000,60.0
31001965700,31001966100,20.0
31001965700,31001966200,35.0
31001965700,31019969100,15.0
31001965700,31079000100,10.0
31001965700,31079000300,15.0
31001965700,31079000500,4.0
31001965700,31079000600,15.0
31001965700,31079000700,4.0
31001965700,31079000800,4.0
31001965700,31079001200,4.0
31001965700,31079001400,20.0
31001965800,20061000802,35.0
31001965800,31001965400,65.0
31001965800,31001965500,165.0
31001965800,31001965600,200.0
31001965800,31001965700,155.0
31001965800,31001965800,135.0
31001965800,31001965900,4.0
31001965800,31001966000,185.0
31001965800,31001966100,100.0
31001965800,31001966200,15.0
31001965800,31019969204,10.0
31001965800,31019969400,10.0
31001965800,31079000200,20.0
31001965800,31079000600,15.0
31001965800,31079001000,40.0
31001965800,31079001300,15.0
31001965800,31099966700,15.0
31001965900,20173000900,10.0
31001965900,31001965400,100.0
31001965900,31001965500,205.0
31001965900,31001965600,170.0
31001965900,31001965700,470.0
31001965900,31001965800,135.0
31001965900,31001965900,240.0
31001965900,31001966000,280.0
31001965900,31001966100,160.0
31001965900,31001966200,4.0
31001965900,31019969100,4.0
31001965900,31035962100,30.0
31001965900,31079000500,10.0
31001965900,31079000600,30.0
31001965900,31079000700,65.0
31001965900,31079000800,10.0
31001965900,31079001000,15.0
31001965900,31079001200,10.0
31001965900,31079001300,30.0
31001965900,31099966600,4.0
31001965900,31099966700,4.0
31001966000,31001965400,75.0
31001966000,31001965500,330.0
31001966000,31001965600,75.0
31001966000,31001965700,265.0
31001966000,31001965800,165.0
31001966000,31001965900,90.0
31001966000,31001966000,610.0
31001966000,31001966100,50.0
