Otract,Dtract,EST
33001965100,23031005200,10.0
33001965100,25017316400,4.0
33001965100,25017333601,10.0
33001965100,25025060602,4.0
33001965100,25025061201,4.0
33001965100,33001965100,285.0
33001965100,33001965200,45.0
33001965100,33001965300,90.0
33001965100,33001965598,85.0
33001965100,33001965801,35.0
33001965100,33001965802,4.0
33001965100,33001965900,60.0
33001965100,33001966000,30.0
33001965100,33001966100,35.0
33001965100,33001966200,25.0
33001965100,33001966401,75.0
33001965100,33001966501,4.0
33001965100,33003955302,4.0
33001965100,33003955601,10.0
33001965100,33003956102,4.0
33001965100,33003956301,4.0
33001965100,33003956302,10.0
33001965100,33009960102,4.0
33001965100,33009960402,10.0
33001965100,33009961001,25.0
33001965100,33009961002,75.0
33001965100,33009961101,35.0
33001965100,33009961102,30.0
33001965100,33009961201,55.0
33001965100,33009961300,20.0
33001965100,33011001000,10.0
33001965100,33011002500,4.0
33001965100,33011011102,4.0
33001965100,33011012302,4.0
33001965100,33011014102,4.0
33001965100,33013003202,4.0
33001965100,33013032200,4.0
33001965100,33013032500,35.0
33001965100,33013032900,25.0
33001965100,33013033000,4.0
33001965100,33013043001,4.0
33001965100,33013043002,10.0
33001965100,33013044100,15.0
33001965100,33019975300,4.0
33001965100,33019975700,4.0
33001965100,33019975901,4.0
33001965200,25009254402,25.0
33001965200,33001965100,25.0
33001965200,33001965200,410.0
33001965200,33001965300,105.0
33001965200,33001965598,15.0
33001965200,33001965600,10.0
33001965200,33001965900,25.0
33001965200,33001966000,25.0
33001965200,33001966200,30.0
33001965200,33001966401,10.0
33001965200,33001966403,10.0
33001965200,33003956301,15.0
33001965200,33003956302,20.0
33001965200,33005971403,15.0
33001965200,33009961001,15.0
33001965200,33009961101,50.0
33001965200,33009961102,10.0
33001965200,33009961201,10.0
33001965200,33009961701,30.0
33001965200,33011000203,55.0
33001965200,33013032300,10.0
33001965200,33013032500,40.0
33001965300,08067971100,4.0
33001965300,23001010100,30.0
33001965300,25017337300,10.0
33001965300,25017361300,25.0
