Otract,Dtract,EST
34001000100,34001000100,75.0
34001000100,34001000400,65.0
34001000100,34001001200,10.0
34001000100,34001001400,140.0
34001000100,34001001900,15.0
34001000100,34001002300,60.0
34001000100,34001002400,115.0
34001000100,34001002500,25.0
34001000100,34001011403,30.0
34001000100,34001011404,10.0
34001000100,34001011702,20.0
34001000100,34001012200,15.0
34001000100,34001012302,15.0
34001000100,34001012402,10.0
34001000100,34001013101,4.0
34001000100,34001013102,20.0
34001000100,34001983400,25.0
34001000100,34011040901,20.0
34001000100,34029739000,20.0
34001000100,42101036902,10.0
34001000200,25025981300,15.0
34001000200,34001000200,155.0
34001000200,34001000400,20.0
34001000200,34001000500,20.0
34001000200,34001001400,165.0
34001000200,34001001900,35.0
34001000200,34001002300,95.0
34001000200,34001002400,410.0
34001000200,34001002500,15.0
34001000200,34001011403,70.0
34001000200,34001011404,70.0
34001000200,34001011702,25.0
34001000200,34001011703,25.0
34001000200,34001011803,4.0
34001000200,34001012100,4.0
34001000200,34001012200,50.0
34001000200,34001012302,30.0
34001000200,34001012402,50.0
34001000200,34001012502,25.0
34001000200,34001012702,35.0
34001000200,34001013000,4.0
34001000200,34001013102,25.0
34001000200,34001013201,25.0
34001000200,34005704004,20.0
34001000200,34007603303,10.0
34001000200,34007607100,15.0
34001000200,34007607507,45.0
34001000200,34011010101,30.0
34001000200,34021001101,15.0
34001000200,34039033000,15.0
34001000200,36061010400,4.0
34001000200,42091203901,20.0
34001000200,42091204500,10.0
34001000200,42101000300,10.0
34001000200,42101000403,4.0
34001000200,42101000600,10.0
34001000300,34001000300,70.0
34001000300,34001000400,65.0
34001000300,34001000500,110.0
34001000300,34001001100,20.0
34001000300,34001001300,10.0
34001000300,34001001400,155.0
34001000300,34001001900,15.0
34001000300,34001002300,110.0
34001000300,34001002400,400.0
34001000300,34001002500,30.0
34001000300,34001010200,50.0
34001000300,34001010503,20.0
34001000300,34001010505,40.0
34001000300,34001011500,25.0
34001000300,34001011703,4.0
34001000300,34001011803,35.0
34001000300,34001011806,15.0
34001000300,34001012100,60.0
34001000300,34001012302,45.0
34001000300,34001012802,20.0
34001000300,34001013000,4.0
34001000300,34001013102,4.0
34001000300,34001013302,40.0
34001000300,34001983400,20.0
34001000300,34005700502,4.0
34001000300,34005704700,50.0
34001000300,34007610400,15.0
34001000300,34007610500,10.0
34001000300,42101017400,15.0
34001000400,24003740107,55.0
34001000400,34001000400,185.0
34001000400,34001000500,25.0
34001000400,34001001400,65.0
34001000400,34001002300,50.0
34001000400,34001002400,480.0
34001000400,34001011401,50.0
34001000400,34001011403,20.0
34001000400,34001011404,15.0
34001000400,34001011702,30.0
34001000400,34001011902,40.0
34001000400,34001012000,30.0
34001000400,34001012100,30.0
34001000400,34001012401,15.0
34001000400,34001012502,30.0
34001000400,34001012801,40.0
34001000400,34001013201,15.0
34001000400,34001013500,20.0
34001000400,34001983400,30.0
34001000400,34005700303,20.0
34001000400,34009020301,30.0
34001000400,34011040902,15.0
34001000400,36103122300,15.0
34001000400,42089300204,15.0
34001000500,34001000400,170.0
34001000500,34001000500,55.0
34001000500,34001001400,195.0
34001000500,34001001900,85.0
34001000500,34001002300,100.0
34001000500,34001002400,300.0
34001000500,34001002500,15.0
34001000500,34001010501,15.0
34001000500,34001010700,10.0
34001000500,34001011000,10.0
34001000500,34001011403,25.0
34001000500,34001011404,25.0
34001000500,34001011702,10.0
34001000500,34001011703,15.0
34001000500,34001011704,15.0
34001000500,34001012302,10.0
34001000500,34001012702,10.0
34001000500,34001012801,60.0
34001000500,34001013102,4.0
34001000500,34001013201,4.0
34001000500,34005704700,40.0
34001000500,34009021002,4.0
