Otract,Dtract,EST
35001000107,08014030500,10.0
35001000107,35001000107,180.0
35001000107,35001000108,15.0
35001000107,35001000109,20.0
35001000107,35001000110,4.0
35001000107,35001000116,10.0
35001000107,35001000117,10.0
35001000107,35001000118,4.0
35001000107,35001000119,25.0
35001000107,35001000122,10.0
35001000107,35001000124,15.0
35001000107,35001000203,4.0
35001000107,35001000207,10.0
35001000107,35001000300,4.0
35001000107,35001000504,10.0
35001000107,35001000715,4.0
35001000107,35001000716,4.0
35001000107,35001000906,40.0
35001000107,35001001202,40.0
35001000107,35001001800,115.0
35001000107,35001002100,30.0
35001000107,35001003202,30.0
35001000107,35001003400,80.0
35001000107,35001003712,4.0
35001000107,35001003719,10.0
35001000107,35001003731,10.0
35001000107,35001003736,50.0
35001000107,35001003739,10.0
35001000107,35001003743,10.0
35001000107,35001004300,10.0
35001000107,35001004716,4.0
35001000107,35001004729,10.0
35001000107,35001004733,4.0
35001000107,35001004760,25.0
35001000107,35001980000,40.0
35001000107,35001980500,20.0
35001000107,35043010732,4.0
35001000107,35043980000,10.0
35001000107,35049000400,10.0
35001000107,35049001102,10.0
35001000107,35049010312,30.0
35001000107,37183053723,20.0
35001000108,35001000108,235.0
35001000108,35001000109,20.0
35001000108,35001000111,20.0
35001000108,35001000121,20.0
35001000108,35001000122,10.0
35001000108,35001000123,4.0
35001000108,35001000127,10.0
35001000108,35001000128,15.0
35001000108,35001000129,30.0
35001000108,35001000207,40.0
35001000108,35001000208,55.0
35001000108,35001000401,35.0
35001000108,35001000501,15.0
35001000108,35001000601,10.0
35001000108,35001000713,10.0
35001000108,35001000906,35.0
35001000108,35001001202,15.0
35001000108,35001001800,85.0
35001000108,35001002100,15.0
35001000108,35001002900,4.0
35001000108,35001003202,10.0
35001000108,35001003400,4.0
35001000108,35001003707,30.0
35001000108,35001003712,25.0
35001000108,35001003718,10.0
35001000108,35001003722,10.0
35001000108,35001003723,4.0
35001000108,35001003724,4.0
35001000108,35001003736,35.0
35001000108,35001003742,4.0
35001000108,35001003746,30.0
35001000108,35001004402,4.0
35001000108,35001004753,10.0
35001000108,35001980000,55.0
35001000108,35043010601,10.0
35001000108,35049001202,15.0
35001000108,35061970404,35.0
35001000109,08035014131,4.0
35001000109,08059012048,4.0
35001000109,35001000108,60.0
35001000109,35001000109,240.0
35001000109,35001000110,10.0
35001000109,35001000114,4.0
35001000109,35001000115,4.0
35001000109,35001000116,4.0
35001000109,35001000117,4.0
35001000109,35001000120,4.0
35001000109,35001000121,25.0
35001000109,35001000123,4.0
35001000109,35001000124,15.0
35001000109,35001000128,4.0
35001000109,35001000203,4.0
35001000109,35001000204,20.0
35001000109,35001000207,10.0
35001000109,35001000208,25.0
35001000109,35001000402,4.0
35001000109,35001000503,4.0
35001000109,35001000601,4.0
35001000109,35001000605,20.0
35001000109,35001000712,4.0
35001000109,35001000713,4.0
35001000109,35001000714,4.0
35001000109,35001000715,4.0
35001000109,35001000718,10.0
35001000109,35001000906,15.0
35001000109,35001001101,4.0
35001000109,35001001201,4.0
35001000109,35001001202,25.0
35001000109,35001001701,10.0
35001000109,35001001800,20.0
35001000109,35001002000,4.0
35001000109,35001002100,20.0
35001000109,35001002900,4.0
35001000109,35001003201,4.0
35001000109,35001003202,4.0
35001000109,35001003400,30.0
35001000109,35001003600,4.0
35001000109,35001003707,4.0
35001000109,35001003719,30.0
35001000109,35001003724,4.0
35001000109,35001003726,20.0
35001000109,35001003736,30.0
35001000109,35001003743,10.0
35001000109,35001003745,10.0
35001000109,35001003746,4.0
35001000109,35001003805,4.0
35001000109,35001004001,25.0
35001000109,35001004300,40.0
35001000109,35001004716,10.0
35001000109,35001004723,4.0
35001000109,35001004760,4.0
35001000109,35001940601,4.0
35001000109,35001980000,90.0
35001000109,35043010719,4.0
35001000109,35043010729,10.0
35001000109,35043010732,4.0
35001000109,35043940700,25.0
35001000109,35049010601,4.0
35001000110,35001000108,4.0
35001000110,35001000109,20.0
35001000110,35001000110,150.0
35001000110,35001000111,45.0
35001000110,35001000117,10.0
35001000110,35001000121,10.0
35001000110,35001000122,55.0
35001000110,35001000123,4.0
35001000110,35001000124,30.0
35001000110,35001000207,20.0
35001000110,35001000208,25.0
35001000110,35001000300,30.0
35001000110,35001000504,10.0
35001000110,35001000601,30.0
35001000110,35001000704,4.0
35001000110,35001000714,35.0
35001000110,35001000717,110.0
35001000110,35001000718,10.0
35001000110,35001000907,10.0
35001000110,35001001202,25.0
35001000110,35001001702,20.0
35001000110,35001001800,110.0
35001000110,35001002000,35.0
35001000110,35001002100,100.0
35001000110,35001002700,10.0
35001000110,35001002900,15.0
35001000110,35001003002,25.0
35001000110,35001003202,4.0
35001000110,35001003400,60.0
35001000110,35001003501,25.0
35001000110,35001003707,10.0
35001000110,35001003718,60.0
35001000110,35001003719,55.0
35001000110,35001003722,20.0
35001000110,35001003723,10.0
35001000110,35001003724,10.0
35001000110,35001003726,4.0
35001000110,35001003728,10.0
35001000110,35001003733,30.0
35001000110,35001003736,140.0
35001000110,35001003742,10.0
35001000110,35001003743,10.0
35001000110,35001003745,4.0
35001000110,35001003804,10.0
35001000110,35001004001,35.0
35001000110,35001004722,10.0
35001000110,35001004729,10.0
35001000110,35001004753,10.0
35001000110,35001004760,15.0
35001000110,35001004800,15.0
35001000110,35001004900,35.0
35001000110,35001940601,10.0
35001000110,35001980000,70.0
35001000110,35028000400,25.0
35001000110,35049000400,20.0
35001000110,35049001002,15.0
35001000110,35061980200,4.0
35001000111,04013112516,10.0
35001000111,35001000108,10.0
35001000111,35001000111,320.0
35001000111,35001000114,4.0
35001000111,35001000116,10.0
35001000111,35001000121,10.0
35001000111,35001000122,40.0
35001000111,35001000124,4.0
35001000111,35001000126,10.0
35001000111,35001000128,15.0
35001000111,35001000204,35.0
35001000111,35001000207,20.0
35001000111,35001000208,10.0
35001000111,35001000501,10.0
35001000111,35001000503,15.0
35001000111,35001000504,10.0
35001000111,35001000605,25.0
35001000111,35001000704,4.0
35001000111,35001000714,30.0
35001000111,35001000715,15.0
35001000111,35001000716,20.0
35001000111,35001000718,25.0
35001000111,35001000906,20.0
35001000111,35001001101,4.0
35001000111,35001001202,4.0
35001000111,35001001800,115.0
35001000111,35001002100,35.0
35001000111,35001002700,4.0
35001000111,35001003201,10.0
35001000111,35001003501,20.0
35001000111,35001003707,10.0
35001000111,35001003717,15.0
35001000111,35001003718,10.0
35001000111,35001003723,4.0
35001000111,35001003733,10.0
35001000111,35001003736,125.0
35001000111,35001003738,10.0
35001000111,35001003743,25.0
35001000111,35001003745,10.0
35001000111,35001003746,30.0
35001000111,35001004402,4.0
35001000111,35001004502,15.0
35001000111,35001004716,10.0
35001000111,35001004729,4.0
35001000111,35001004742,10.0
35001000111,35001004760,15.0
35001000111,35001004800,20.0
35001000111,35001004900,15.0
35001000111,35001980000,215.0
35001000111,35043010714,15.0
35001000111,35049000201,10.0
35001000111,48423001406,10.0
35001000112,35001000107,4.0
35001000112,35001000109,4.0
35001000112,35001000111,10.0
35001000112,35001000112,115.0
35001000112,35001000113,4.0
35001000112,35001000114,20.0
35001000112,35001000116,4.0
35001000112,35001000117,4.0
35001000112,35001000123,20.0
35001000112,35001000124,30.0
35001000112,35001000126,10.0
35001000112,35001000127,4.0
35001000112,35001000128,15.0
35001000112,35001000203,4.0
35001000112,35001000204,4.0
35001000112,35001000207,20.0
35001000112,35001000208,4.0
35001000112,35001000402,20.0
35001000112,35001000501,4.0
35001000112,35001000503,15.0
35001000112,35001000601,35.0
35001000112,35001000704,10.0
35001000112,35001000714,4.0
35001000112,35001000716,4.0
35001000112,35001000718,75.0
35001000112,35001000906,10.0
35001000112,35001001202,10.0
35001000112,35001001702,4.0
35001000112,35001001800,125.0
35001000112,35001002000,20.0
35001000112,35001002100,40.0
35001000112,35001002301,10.0
35001000112,35001002700,10.0
35001000112,35001003002,4.0
35001000112,35001003400,25.0
35001000112,35001003501,4.0
35001000112,35001003718,10.0
35001000112,35001003722,10.0
35001000112,35001003723,10.0
35001000112,35001003724,4.0
35001000112,35001003728,4.0
35001000112,35001003733,4.0
35001000112,35001003736,15.0
35001000112,35001003740,4.0
35001000112,35001004001,4.0
35001000112,35001004502,4.0
35001000112,35001004900,15.0
35001000112,35001980000,105.0
35001000112,35001980300,4.0
35001000112,35005000201,4.0
35001000112,35005001001,4.0
35001000112,35049001102,15.0
35001000112,35049010308,10.0
35001000112,48113980100,4.0
35001000113,35001000113,325.0
35001000113,35001000114,10.0
35001000113,35001000118,10.0
35001000113,35001000121,15.0
35001000113,35001000124,50.0
35001000113,35001000207,10.0
35001000113,35001000208,30.0
35001000113,35001000401,15.0
35001000113,35001000402,20.0
35001000113,35001000503,15.0
35001000113,35001000504,10.0
35001000113,35001000601,10.0
35001000113,35001000704,15.0
35001000113,35001000714,4.0
35001000113,35001000716,20.0
35001000113,35001000906,10.0
35001000113,35001001101,10.0
35001000113,35001001102,10.0
35001000113,35001001202,10.0
35001000113,35001001702,55.0
35001000113,35001001800,45.0
35001000113,35001002000,30.0
35001000113,35001002100,40.0
35001000113,35001002200,15.0
35001000113,35001002700,20.0
35001000113,35001002900,10.0
35001000113,35001003201,15.0
35001000113,35001003202,30.0
35001000113,35001003400,35.0
35001000113,35001003502,15.0
35001000113,35001003707,10.0
35001000113,35001003719,15.0
35001000113,35001003728,60.0
35001000113,35001003736,190.0
35001000113,35001003740,4.0
35001000113,35001003746,60.0
35001000113,35001004001,25.0
35001000113,35001004736,15.0
35001000113,35001004739,10.0
35001000113,35001004761,20.0
35001000113,35001004764,15.0
35001000113,35001004900,15.0
35001000113,35001980000,110.0
35001000113,35043010729,15.0
35001000113,35043011101,4.0
35001000113,35057963202,10.0
35001000113,35061970401,4.0
35001000114,35001000108,40.0
35001000114,35001000109,20.0
35001000114,35001000114,140.0
35001000114,35001000116,4.0
35001000114,35001000119,10.0
35001000114,35001000120,10.0
35001000114,35001000122,20.0
35001000114,35001000124,25.0
35001000114,35001000128,4.0
35001000114,35001000203,45.0
35001000114,35001000205,4.0
35001000114,35001000300,10.0
35001000114,35001000402,10.0
35001000114,35001000503,55.0
35001000114,35001000504,4.0
35001000114,35001000601,50.0
35001000114,35001000713,4.0
35001000114,35001000718,10.0
35001000114,35001000720,25.0
35001000114,35001000906,10.0
35001000114,35001001201,4.0
35001000114,35001001202,10.0
35001000114,35001001300,4.0
35001000114,35001001800,70.0
35001000114,35001002100,25.0
35001000114,35001002700,10.0
35001000114,35001003201,35.0
35001000114,35001003202,50.0
35001000114,35001003723,10.0
35001000114,35001003724,20.0
35001000114,35001003733,20.0
35001000114,35001003736,125.0
35001000114,35001003743,25.0
35001000114,35001004001,4.0
35001000114,35001004723,10.0
35001000114,35001004729,10.0
35001000114,35001004742,10.0
35001000114,35001004900,30.0
35001000114,35001980000,125.0
35001000114,35043010721,10.0
35001000114,35043010731,4.0
35001000115,35001000110,60.0
35001000115,35001000114,20.0
35001000115,35001000115,150.0
35001000115,35001000116,15.0
35001000115,35001000117,10.0
35001000115,35001000121,40.0
35001000115,35001000123,10.0
35001000115,35001000124,40.0
35001000115,35001000126,25.0
35001000115,35001000207,20.0
35001000115,35001000300,15.0
35001000115,35001000605,135.0
35001000115,35001000704,20.0
35001000115,35001000718,10.0
35001000115,35001001202,55.0
35001000115,35001001300,4.0
35001000115,35001001400,15.0
35001000115,35001001500,15.0
35001000115,35001001701,90.0
35001000115,35001001800,20.0
35001000115,35001002900,15.0
35001000115,35001003202,155.0
35001000115,35001003400,85.0
35001000115,35001003501,45.0
35001000115,35001003707,10.0
35001000115,35001003715,35.0
35001000115,35001003718,15.0
35001000115,35001003719,20.0
35001000115,35001003722,10.0
35001000115,35001003725,10.0
35001000115,35001003728,30.0
35001000115,35001003729,20.0
35001000115,35001003733,15.0
35001000115,35001003736,65.0
35001000115,35001004733,10.0
35001000115,35001004759,10.0
35001000115,35001004760,10.0
35001000115,35001004800,10.0
35001000115,35001004900,10.0
35001000115,35001980000,50.0
35001000115,35043010705,10.0
35001000115,35043010732,45.0
35001000115,35049000600,30.0
35001000115,35049010318,15.0
35001000115,35061970200,25.0
35001000116,35001000110,15.0
35001000116,35001000113,25.0
35001000116,35001000115,15.0
35001000116,35001000116,200.0
35001000116,35001000117,10.0
35001000116,35001000121,4.0
35001000116,35001000122,15.0
35001000116,35001000123,35.0
35001000116,35001000124,10.0
35001000116,35001000204,10.0
35001000116,35001000205,20.0
35001000116,35001000207,40.0
35001000116,35001000208,30.0
35001000116,35001000300,20.0
35001000116,35001000503,10.0
35001000116,35001000504,30.0
35001000116,35001000714,4.0
35001000116,35001000905,4.0
35001000116,35001000906,10.0
35001000116,35001001202,15.0
35001000116,35001001800,35.0
35001000116,35001002000,40.0
35001000116,35001002100,55.0
35001000116,35001002700,10.0
35001000116,35001002900,115.0
35001000116,35001003001,10.0
35001000116,35001003400,10.0
35001000116,35001003502,10.0
35001000116,35001003717,30.0
35001000116,35001003722,30.0
35001000116,35001003724,10.0
35001000116,35001003726,25.0
35001000116,35001003731,4.0
35001000116,35001003733,4.0
35001000116,35001003736,70.0
35001000116,35001003740,10.0
35001000116,35001003743,55.0
35001000116,35001003746,10.0
35001000116,35001004720,10.0
35001000116,35001004729,10.0
35001000116,35001004760,10.0
35001000116,35001004900,20.0
35001000116,35001980000,130.0
35001000116,35043010702,4.0
35001000116,35043010729,10.0
35001000116,35043010734,20.0
35001000116,35043010900,20.0
35001000117,08014031201,4.0
35001000117,35001000108,20.0
35001000117,35001000110,4.0
35001000117,35001000114,10.0
35001000117,35001000117,125.0
35001000117,35001000118,10.0
35001000117,35001000119,4.0
35001000117,35001000120,10.0
35001000117,35001000121,55.0
35001000117,35001000122,10.0
35001000117,35001000124,40.0
35001000117,35001000128,10.0
35001000117,35001000207,35.0
35001000117,35001000208,10.0
35001000117,35001000300,20.0
35001000117,35001000401,15.0
35001000117,35001000503,10.0
35001000117,35001000504,4.0
35001000117,35001000601,4.0
35001000117,35001000704,10.0
35001000117,35001000714,4.0
35001000117,35001000715,4.0
35001000117,35001000906,4.0
35001000117,35001000907,30.0
35001000117,35001001102,4.0
35001000117,35001001202,4.0
35001000117,35001001500,4.0
35001000117,35001001701,4.0
35001000117,35001001800,35.0
35001000117,35001002000,4.0
35001000117,35001002100,30.0
35001000117,35001002700,15.0
35001000117,35001002900,15.0
35001000117,35001003201,4.0
35001000117,35001003202,15.0
35001000117,35001003400,10.0
35001000117,35001003707,4.0
35001000117,35001003712,4.0
35001000117,35001003718,15.0
35001000117,35001003719,10.0
35001000117,35001003722,4.0
35001000117,35001003723,10.0
35001000117,35001003725,20.0
35001000117,35001003728,10.0
35001000117,35001003733,15.0
35001000117,35001003736,30.0
35001000117,35001003746,95.0
35001000117,35001004603,15.0
35001000117,35001004716,4.0
35001000117,35001004724,4.0
35001000117,35001004800,20.0
35001000117,35001004900,4.0
35001000117,35001980000,20.0
35001000117,35005001200,4.0
35001000117,35043010727,4.0
35001000117,35043010732,4.0
35001000117,35049000500,4.0
35001000117,35061970200,10.0
35001000117,35061970800,4.0
35001000118,06081610302,10.0
35001000118,35001000108,30.0
35001000118,35001000109,10.0
35001000118,35001000116,15.0
35001000118,35001000118,120.0
35001000118,35001000121,4.0
35001000118,35001000122,10.0
35001000118,35001000123,15.0
35001000118,35001000203,10.0
35001000118,35001000207,65.0
35001000118,35001000208,20.0
35001000118,35001000300,10.0
35001000118,35001000501,50.0
35001000118,35001000503,55.0
35001000118,35001000504,30.0
35001000118,35001001202,10.0
35001000118,35001001800,40.0
35001000118,35001002000,10.0
35001000118,35001002100,120.0
35001000118,35001002200,4.0
35001000118,35001002900,10.0
35001000118,35001003400,50.0
35001000118,35001003501,10.0
35001000118,35001003707,20.0
35001000118,35001003717,4.0
35001000118,35001003718,10.0
35001000118,35001003723,50.0
35001000118,35001003725,50.0
35001000118,35001003733,4.0
35001000118,35001003736,60.0
35001000118,35001003743,4.0
35001000118,35001003745,10.0
35001000118,35001004716,10.0
35001000118,35001004722,35.0
35001000118,35001004729,35.0
35001000118,35001004747,4.0
35001000118,35001004900,15.0
35001000118,35001980000,140.0
35001000118,35001980300,10.0
35001000118,35049000400,20.0
35001000118,35061970404,15.0
35001000119,35001000114,4.0
35001000119,35001000119,140.0
35001000119,35001000121,20.0
35001000119,35001000122,25.0
35001000119,35001000124,25.0
35001000119,35001000204,20.0
35001000119,35001000207,15.0
35001000119,35001000208,4.0
35001000119,35001000504,15.0
35001000119,35001000601,4.0
35001000119,35001000603,4.0
35001000119,35001000714,4.0
35001000119,35001000716,4.0
35001000119,35001001202,4.0
35001000119,35001001500,4.0
35001000119,35001001701,4.0
35001000119,35001001702,15.0
35001000119,35001001800,50.0
35001000119,35001002000,15.0
35001000119,35001002100,15.0
35001000119,35001002900,4.0
35001000119,35001003100,4.0
35001000119,35001003202,4.0
35001000119,35001003400,140.0
35001000119,35001003501,4.0
35001000119,35001003502,10.0
35001000119,35001003715,4.0
35001000119,35001003719,10.0
35001000119,35001003722,4.0
35001000119,35001003723,10.0
35001000119,35001003724,15.0
35001000119,35001003728,4.0
35001000119,35001003733,4.0
35001000119,35001003736,70.0
35001000119,35001003742,4.0
35001000119,35001003743,20.0
35001000119,35001004001,4.0
35001000119,35001004502,4.0
35001000119,35001004722,20.0
35001000119,35001004749,4.0
35001000119,35001004764,4.0
35001000119,35001004900,15.0
35001000119,35001980000,85.0
35001000119,35045000402,10.0
