Otract,Dtract,EST
32001950100,04013112514,4
32001950100,32001950100,140
32001950100,32001950301,125
32001950100,32001950302,70
32001950100,32001950400,295
32001950100,32001950500,4
32001950100,32001950600,55
32001950100,32001950700,85
32001950100,32019960103,4
32001950100,32019960104,15
32001950100,32019960303,4
32001950100,32027960100,4
32001950100,32031001010,4
32001950100,32031001012,4
32001950301,06107001008,10
32001950301,32001950100,50
32001950301,32001950301,265
32001950301,32001950302,200
32001950301,32001950400,175
32001950301,32001950500,4
32001950301,32001950600,40
32001950301,32001950700,185
32001950301,32019960103,25
32001950301,32019960301,25
32001950301,32031002621,25
32001950301,32031003503,10
32001950301,32031940200,10
32001950301,53035090300,50
32001950302,32001950100,85
32001950302,32001950301,365
32001950302,32001950302,510
32001950302,32001950400,335
32001950302,32001950500,15
32001950302,32001950600,20
32001950302,32001950700,110
32001950302,32019960103,255
32001950302,32031001010,35
32001950302,32031001012,25
32001950302,32031980000,35
32001950400,32001950400,265
32001950500,32001950100,30
32001950500,32001950301,45
32001950500,32001950302,45
32001950500,32001950400,15
32001950500,32001950500,85
32001950500,32001950600,4
32001950500,32001950700,25
32001950500,32019960103,25
32001950500,32019960108,4
32001950500,32019960901,4
32001950500,32021970700,4
32001950500,32029970200,4
32001950500,32031000202,4
32001950500,32031002214,4
32001950500,32031002216,4
32001950500,32031003111,4
32001950600,06057001207,25
32001950600,06077000102,30
32001950600,32001950100,55
32001950600,32001950301,315
32001950600,32001950302,220
32001950600,32001950400,150
32001950600,32001950500,30
32001950600,32001950600,240
32001950600,32001950700,115
32001950600,32019960103,15
32001950600,32019960303,4
32001950600,32027960100,75
32001950600,32029970200,30
32001950600,32031001012,35
32001950600,32031002106,4
32001950600,32031002204,15
32001950600,32031002216,10
32001950600,32031002621,20
32001950600,32031003111,10
32001950600,32031003501,10
32001950700,06001438203,60
32001950700,32001950100,50
32001950700,32001950301,405
32001950700,32001950302,525
32001950700,32001950400,105
32001950700,32001950600,20
32001950700,32001950700,310
32001950700,32019960103,15
32001950700,32019960104,30
32001950700,32019960802,20
32001950700,32027960100,10
32001950700,32031980000,25
32003000101,06065030400,20
32003000101,06071010300,4
32003000101,29189221800,10
32003000101,32003000101,290
32003000101,32003000105,15
32003000101,32003000301,45
32003000101,32003000402,20
32003000101,32003000514,10
32003000101,32003000518,10
32003000101,32003000524,10
32003000101,32003000700,40
32003000101,32003001003,4
32003000101,32003001004,30
32003000101,32003001005,30
32003000101,32003001100,4
32003000101,32003001200,45
32003000101,32003001501,25
32003000101,32003001706,15
32003000101,32003001901,20
32003000101,32003002201,10
32003000101,32003002302,30
32003000101,32003002303,20
32003000101,32003002811,10
32003000101,32003002842,15
32003000101,32003002847,80
32003000101,32003002901,20
32003000101,32003002905,4
32003000101,32003002947,20
32003000101,32003002956,120
32003000101,32003002962,90
32003000101,32003002996,10
32003000101,32003002998,10
32003000101,32003003003,10
32003000101,32003003102,4
32003000101,32003003218,25
32003000101,32003003233,15
32003000101,32003003235,4
32003000101,32003003236,20
32003000101,32003003267,10
32003000101,32003003411,10
32003000101,32003003413,30
32003000101,32003003415,45
32003000101,32003003421,10
32003000101,32003003429,15
32003000101,32003003609,55
32003000101,32003003616,70
32003000101,32003003626,30
32003000101,32003003648,10
32003000101,32003003700,30
32003000101,32003003800,10
32003000101,32003004703,4
32003000101,32003005113,10
32003000101,32003005422,10
32003000101,32003005504,30
32003000101,32003005705,10
32003000101,32003005809,15
32003000101,32003005818,10
32003000101,32003005825,30
32003000101,32003005843,40
32003000101,32003005860,10
32003000101,32003005864,20
32003000101,32003005875,15
32003000101,32003006001,10
32003000101,32003006201,30
32003000101,32003006700,270
32003000101,32003006800,40
32003000101,32003007802,20
32003000101,32003007900,30
32003000103,32003000103,70
32003000103,32003000105,40
32003000103,32003000107,4
32003000103,32003000203,70
32003000103,32003000204,30
32003000103,32003000302,20
32003000103,32003000401,25
32003000103,32003000402,35
32003000103,32003000600,10
32003000103,32003000700,60
32003000103,32003001003,25
32003000103,32003001005,10
32003000103,32003001706,45
32003000103,32003001901,15
32003000103,32003002201,65
32003000103,32003002302,95
32003000103,32003002404,10
32003000103,32003002406,15
32003000103,32003002603,4
32003000103,32003002814,10
32003000103,32003002821,20
32003000103,32003002837,45
32003000103,32003002847,85
32003000103,32003002905,15
32003000103,32003002919,10
32003000103,32003002938,90
32003000103,32003002939,25
32003000103,32003002947,20
32003000103,32003002948,20
32003000103,32003002950,4
32003000103,32003002956,40
32003000103,32003002962,115
32003000103,32003002975,55
32003000103,32003003001,15
32003000103,32003003005,30
