Otract,Dtract,EST
36001000100,06073006200,35.0
36001000100,36001000100,55.0
36001000100,36001000202,10.0
36001000100,36001000302,15.0
36001000100,36001000401,75.0
36001000100,36001000403,4.0
36001000100,36001000501,15.0
36001000100,36001000502,4.0
36001000100,36001000600,30.0
36001000100,36001000700,45.0
36001000100,36001000800,35.0
36001000100,36001001100,20.0
36001000100,36001001500,4.0
36001000100,36001002100,105.0
36001000100,36001002500,10.0
36001000100,36001013507,4.0
36001000100,36001013511,4.0
36001000100,36001013602,10.0
36001000100,36001013604,4.0
36001000100,36001013703,45.0
36001000100,36001013707,4.0
36001000100,36001013709,20.0
36001000100,36001013804,40.0
36001000100,36001014001,30.0
36001000100,36001014002,25.0
36001000100,36001014609,20.0
36001000100,36039081001,4.0
36001000100,36083051500,10.0
36001000100,36083052501,4.0
36001000100,36091062508,10.0
36001000100,36093031902,15.0
36001000201,25003935200,25.0
36001000201,36001000201,185.0
36001000201,36001000202,80.0
36001000201,36001000301,55.0
36001000201,36001000401,15.0
36001000201,36001000501,100.0
36001000201,36001000700,35.0
36001000201,36001000800,50.0
36001000201,36001001100,260.0
36001000201,36001001700,25.0
36001000201,36001001804,60.0
36001000201,36001002000,25.0
36001000201,36001002100,20.0
36001000201,36001002600,20.0
36001000201,36001013703,30.0
36001000201,36001013804,25.0
36001000201,36001014001,90.0
36001000201,36001014304,40.0
36001000201,36001014608,50.0
36001000201,36039080600,35.0
36001000201,36057072500,30.0
36001000201,36083040701,65.0
36001000201,36083051702,25.0
36001000201,36083052305,40.0
36001000201,36083052406,40.0
36001000201,36093032200,4.0
36001000201,36119011000,20.0
36001000202,36001000201,15.0
36001000202,36001000302,65.0
36001000202,36001000403,75.0
36001000202,36001000404,4.0
36001000202,36001000502,140.0
36001000202,36001000700,25.0
36001000202,36001001100,185.0
36001000202,36001001700,55.0
36001000202,36001002100,50.0
36001000202,36001013503,4.0
36001000202,36001013703,45.0
36001000202,36001013902,80.0
36001000202,36001014609,35.0
36001000202,36083052306,4.0
36001000202,36083052402,25.0
36001000202,36091061404,15.0
36001000202,36093021001,4.0
36001000202,36093032504,25.0
36001000301,36001000301,20.0
36001000301,36001000401,60.0
36001000301,36001000403,20.0
36001000301,36001000800,15.0
36001000301,36001001100,250.0
36001000301,36001001400,90.0
36001000301,36001001804,20.0
36001000301,36001002000,105.0
36001000301,36001002100,245.0
36001000301,36001002600,35.0
36001000301,36001013510,95.0
36001000301,36001013703,15.0
36001000301,36001013707,40.0
36001000301,36001014001,50.0
36001000301,36001014608,55.0
36001000301,36083051901,40.0
36001000301,36083052406,30.0
36001000301,36091060704,25.0
36001000302,36001000100,20.0
36001000302,36001000302,200.0
36001000302,36001000401,45.0
36001000302,36001000403,15.0
36001000302,36001000404,80.0
36001000302,36001000501,20.0
36001000302,36001000502,50.0
36001000302,36001000700,100.0
36001000302,36001000800,15.0
36001000302,36001001100,160.0
36001000302,36001001700,25.0
36001000302,36001001804,65.0
36001000302,36001002100,75.0
36001000302,36001013507,100.0
36001000302,36001013602,10.0
36001000302,36001013703,10.0
36001000302,36001013709,35.0
36001000302,36001013804,180.0
36001000302,36001014001,155.0
36001000302,36001014002,10.0
36001000302,36001014100,40.0
36001000302,36001014201,10.0
36001000302,36001014608,45.0
36001000302,36001014611,20.0
36001000302,36001014615,20.0
36001000302,36021000100,10.0
36001000302,36075021300,50.0
36001000302,36083040600,20.0
36001000302,36083040701,20.0
36001000302,36083052402,25.0
36001000302,36083052405,30.0
36001000302,36091062509,30.0
36001000302,36113073000,20.0
36001000401,36001000100,50.0
36001000401,36001000201,25.0
36001000401,36001000302,20.0
36001000401,36001000401,215.0
36001000401,36001000403,50.0
36001000401,36001000404,20.0
36001000401,36001000501,40.0
36001000401,36001000800,25.0
36001000401,36001001100,180.0
36001000401,36001001400,4.0
36001000401,36001001700,4.0
36001000401,36001001804,35.0
36001000401,36001002100,40.0
36001000401,36001013703,10.0
36001000401,36001013708,45.0
36001000401,36001013901,4.0
36001000401,36001013902,4.0
36001000401,36001014001,125.0
36001000401,36001014608,4.0
36001000401,36001014609,65.0
36001000401,36001014614,15.0
36001000401,36001014615,25.0
36001000401,36001014617,4.0
36001000401,36083041200,4.0
36001000401,36083041400,10.0
36001000401,36083052203,35.0
36001000401,36083052406,20.0
36001000401,36083052502,4.0
36001000401,36091062508,10.0
36001000403,36001000100,25.0
36001000403,36001000301,35.0
36001000403,36001000302,65.0
36001000403,36001000403,290.0
36001000403,36001000404,135.0
36001000403,36001000501,95.0
36001000403,36001000502,10.0
36001000403,36001000800,15.0
36001000403,36001001100,370.0
36001000403,36001001700,50.0
36001000403,36001001804,35.0
36001000403,36001002100,165.0
36001000403,36001002200,15.0
36001000403,36001002500,20.0
36001000403,36001002600,20.0
36001000403,36001013400,25.0
36001000403,36001013507,15.0
36001000403,36001013602,30.0
36001000403,36001013603,20.0
36001000403,36001013703,20.0
36001000403,36001013707,20.0
36001000403,36001013708,20.0
36001000403,36001013709,40.0
36001000403,36001013804,20.0
36001000403,36001013901,20.0
36001000403,36001013902,4.0
36001000403,36001014001,35.0
36001000403,36001014100,25.0
36001000403,36001014201,35.0
36001000403,36001014608,25.0
36001000403,36001014615,20.0
36001000403,36001014617,20.0
36001000403,36021001100,20.0
36001000403,36083041000,20.0
36001000403,36083052203,205.0
36001000403,36091062508,20.0
36001000403,36093031901,25.0
36001000403,36093032403,25.0
36001000403,36093032502,20.0
36001000403,36093032602,15.0
36001000403,36093033004,85.0
36001000403,36093033500,15.0
36001000403,36113070802,10.0
36001000404,09003405402,4.0
36001000404,36001000401,25.0
36001000404,36001000403,4.0
36001000404,36001000404,670.0
36001000404,36001000501,4.0
36001000404,36001000502,85.0
36001000404,36001000800,85.0
36001000404,36001001100,20.0
36001000404,36001001400,15.0
36001000404,36001001500,15.0
36001000404,36001001700,4.0
36001000404,36001002100,10.0
36001000404,36001013511,30.0
36001000404,36001013512,4.0
36001000404,36001013602,4.0
36001000404,36001013604,105.0
36001000404,36001013703,4.0
36001000404,36001013707,50.0
36001000404,36001013708,4.0
36001000404,36001013901,25.0
36001000404,36001013902,10.0
36001000404,36001014001,20.0
36001000404,36001014202,10.0
36001000404,36001014608,175.0
36001000404,36001014615,4.0
36001000404,36001014617,4.0
36001000404,36021001100,35.0
36001000404,36047055400,10.0
36001000404,36059405700,10.0
36001000404,36059406400,10.0
36001000404,36059407301,4.0
36001000404,36059519200,20.0
36001000404,36071011200,30.0
36001000404,36071013900,15.0
36001000404,36083040600,20.0
36001000404,36083052204,4.0
36001000404,36083052301,10.0
36001000404,36083052406,4.0
36001000404,36083052503,10.0
36001000404,36087011302,4.0
36001000404,36091061905,25.0
36001000404,36091062508,15.0
36001000404,36095740200,10.0
36001000404,36113070702,10.0
36001000501,36001000100,25.0
36001000501,36001000301,10.0
36001000501,36001000401,10.0
36001000501,36001000403,10.0
36001000501,36001000404,235.0
36001000501,36001000501,155.0
36001000501,36001000502,40.0
36001000501,36001000600,10.0
36001000501,36001001100,105.0
36001000501,36001001700,185.0
36001000501,36001002000,20.0
36001000501,36001002100,75.0
36001000501,36001002300,15.0
36001000501,36001012700,15.0
36001000501,36001013100,4.0
36001000501,36001013507,4.0
36001000501,36001013511,25.0
36001000501,36001013604,4.0
36001000501,36001013703,75.0
36001000501,36001013707,4.0
36001000501,36001013709,30.0
36001000501,36001013901,45.0
36001000501,36001014001,50.0
36001000501,36001014100,10.0
36001000501,36001014201,30.0
36001000501,36001014609,15.0
36001000501,36001014615,45.0
36001000501,36001014803,4.0
36001000501,36083041300,25.0
36001000501,36083051500,4.0
36001000501,36083052305,75.0
36001000501,36083052405,115.0
36001000501,36093020200,45.0
36001000501,36093031902,15.0
36001000501,36093033500,10.0
36001000501,36111951400,4.0
36001000502,36001000302,25.0
36001000502,36001000401,25.0
36001000502,36001000403,10.0
36001000502,36001000404,160.0
36001000502,36001000501,20.0
36001000502,36001000502,470.0
36001000502,36001000800,40.0
36001000502,36001001100,85.0
36001000502,36001001400,25.0
36001000502,36001001500,20.0
36001000502,36001001600,25.0
36001000502,36001001700,30.0
36001000502,36001001804,10.0
36001000502,36001002000,4.0
36001000502,36001002100,80.0
36001000502,36001002500,4.0
36001000502,36001002600,4.0
36001000502,36001012800,4.0
36001000502,36001013300,4.0
36001000502,36001013505,20.0
36001000502,36001013507,10.0
36001000502,36001013511,20.0
36001000502,36001013602,30.0
36001000502,36001013604,30.0
36001000502,36001013703,90.0
36001000502,36001013707,40.0
36001000502,36001013708,15.0
36001000502,36001013901,30.0
36001000502,36001013902,10.0
36001000502,36001014001,40.0
36001000502,36001014100,35.0
36001000502,36001014202,15.0
36001000502,36001014502,4.0
36001000502,36001014608,70.0
36001000502,36001014613,4.0
36001000502,36021000700,4.0
36001000502,36021001100,15.0
36001000502,36027221100,10.0
36001000502,36051030201,4.0
36001000502,36059406400,10.0
36001000502,36059519200,15.0
36001000502,36071013900,15.0
36001000502,36083040600,15.0
36001000502,36083040701,10.0
36001000502,36083041300,20.0
36001000502,36083052301,4.0
36001000502,36083052405,4.0
36001000502,36083052406,15.0
36001000502,36087011302,4.0
36001000502,36091061202,15.0
36001000502,36091061905,10.0
36001000502,36091061907,4.0
36001000502,36091062200,4.0
36001000502,36091062508,4.0
36001000502,36093021001,4.0
36001000502,36093032200,10.0
36001000502,36093032402,15.0
36001000502,36093033500,4.0
36001000502,36099950500,10.0
36001000502,36099950900,20.0
36001000600,36001000302,45.0
36001000600,36001000401,75.0
36001000600,36001000403,10.0
36001000600,36001000404,95.0
36001000600,36001000502,25.0
36001000600,36001000600,335.0
36001000600,36001000800,10.0
36001000600,36001001100,25.0
36001000600,36001001400,35.0
36001000600,36001002100,60.0
36001000600,36001002500,15.0
36001000600,36001002600,10.0
36001000600,36001013300,10.0
36001000600,36001013503,10.0
36001000600,36001013505,45.0
36001000600,36001013703,185.0
36001000600,36001013708,35.0
36001000600,36001013709,35.0
36001000600,36001013804,35.0
36001000600,36001013901,4.0
36001000600,36001014001,80.0
36001000600,36001014608,140.0
36001000600,36001014617,10.0
36001000600,36039080301,15.0
36001000600,36039081002,10.0
36001000600,36083041400,10.0
36001000600,36091061905,20.0
36001000600,36093020300,20.0
36001000600,36093020800,15.0
36001000600,36093033500,15.0
36001000700,36001000100,20.0
36001000700,36001000202,55.0
36001000700,36001000302,170.0
36001000700,36001000401,20.0
36001000700,36001000501,10.0
36001000700,36001000700,80.0
36001000700,36001000800,4.0
36001000700,36001001100,120.0
36001000700,36001001700,15.0
36001000700,36001001804,20.0
36001000700,36001002100,215.0
36001000700,36001002600,10.0
36001000700,36001013400,15.0
36001000700,36001013507,10.0
36001000700,36001013602,15.0
36001000700,36001013604,10.0
36001000700,36001013703,25.0
36001000700,36001013706,20.0
36001000700,36001013901,10.0
36001000700,36001014001,10.0
36001000700,36001014201,15.0
36001000700,36001014608,25.0
36001000700,36001014615,20.0
36001000700,36001014616,10.0
36001000700,36005023800,30.0
36001000700,36083052402,65.0
36001000700,36083052406,130.0
36001000700,36083052501,15.0
36001000800,36001000302,35.0
36001000800,36001000700,25.0
36001000800,36001000800,30.0
36001000800,36001001100,70.0
36001000800,36001001802,50.0
36001000800,36001002100,85.0
36001000800,36001002600,10.0
