Otract,Dtract,EST
39001770100,18089010304,4.0
39001770100,39001770100,390.0
39001770100,39001770200,10.0
39001770100,39001770301,40.0
39001770100,39001770302,10.0
39001770100,39001770400,185.0
39001770100,39001770600,4.0
39001770100,39015951301,4.0
39001770100,39015951800,4.0
39001770100,39025040500,4.0
39001770100,39025040600,4.0
39001770100,39025040900,15.0
39001770100,39025041307,15.0
39001770100,39025041405,20.0
39001770100,39027964400,45.0
39001770100,39027964502,55.0
39001770100,39027964700,95.0
39001770100,39027965100,30.0
39001770100,39047926200,10.0
39001770100,39049006722,4.0
39001770100,39049008380,4.0
39001770100,39061001600,30.0
39001770100,39061006400,4.0
39001770100,39061020802,4.0
39001770100,39061021101,4.0
39001770100,39061021801,4.0
39001770100,39061023001,4.0
39001770100,39061023100,10.0
39001770100,39061023521,4.0
39001770100,39061024001,15.0
39001770100,39061025001,4.0
39001770100,39061026600,10.0
39001770100,39061027400,10.0
39001770100,39071954400,15.0
39001770100,39071954800,40.0
39001770100,39071954900,10.0
39001770100,39071955002,10.0
39001770100,39071955200,4.0
39001770100,39079957500,30.0
39001770100,39079957700,4.0
39001770100,39087050200,4.0
39001770100,39131952400,10.0
39001770100,39131952500,30.0
39001770100,39131952601,80.0
39001770100,39141956300,20.0
39001770200,21015070601,4.0
39001770200,39001770100,35.0
39001770200,39001770200,245.0
39001770200,39001770301,75.0
39001770200,39001770302,15.0
39001770200,39001770400,90.0
39001770200,39001770600,45.0
39001770200,39015951202,20.0
39001770200,39015951301,40.0
39001770200,39015951400,40.0
39001770200,39015951500,70.0
39001770200,39015951600,15.0
39001770200,39015951700,25.0
39001770200,39015951800,50.0
39001770200,39017011123,4.0
39001770200,39017011131,10.0
39001770200,39017011200,4.0
39001770200,39025040401,4.0
39001770200,39025040500,40.0
39001770200,39025040600,25.0
39001770200,39025040800,4.0
39001770200,39025040900,10.0
39001770200,39025041001,4.0
39001770200,39025041002,10.0
39001770200,39025041102,20.0
39001770200,39025041201,4.0
39001770200,39025041306,4.0
39001770200,39025041307,4.0
39001770200,39025041404,4.0
39001770200,39027964400,4.0
39001770200,39027964600,4.0
39001770200,39061022302,4.0
39001770200,39061023001,55.0
39001770200,39061023002,15.0
39001770200,39061023100,15.0
39001770200,39061023201,4.0
