Otract,Dtract,EST
40001376600,05005950400,4.0
40001376600,05007020201,4.0
40001376600,05007020206,20.0
40001376600,05007020301,4.0
40001376600,05007020304,15.0
40001376600,05007020405,10.0
40001376600,05007020501,4.0
40001376600,05007020503,10.0
40001376600,05007020504,4.0
40001376600,05007021003,40.0
40001376600,05007021004,4.0
40001376600,05007021101,50.0
40001376600,05007021102,15.0
40001376600,05007021201,25.0
40001376600,05007021202,25.0
40001376600,05007021305,10.0
40001376600,05007021312,4.0
40001376600,05007021313,15.0
40001376600,05007021315,4.0
40001376600,05007021406,4.0
40001376600,05007021408,4.0
40001376600,05143010107,4.0
40001376600,05143010501,4.0
40001376600,05143010512,4.0
40001376600,05143010705,15.0
40001376600,05143010706,4.0
40001376600,05143011003,10.0
40001376600,05143011105,4.0
40001376600,05143011302,4.0
40001376600,40001376600,45.0
40001376600,40001376700,10.0
40001376600,40001376900,4.0
40001376600,40021977702,4.0
40001376600,40021977902,4.0
40001376600,40021978000,15.0
40001376600,40021978301,4.0
40001376600,40041375702,4.0
40001376600,40041376000,4.0
40001376600,40041376100,4.0
40001376600,40041976200,4.0
40001376600,40143007619,4.0
40001376600,48141001204,4.0
40001376600,48141002500,4.0
40001376600,48141010203,4.0
40001376700,05005950400,20.0
40001376700,05007020201,20.0
40001376700,05007020405,4.0
40001376700,05007020501,20.0
40001376700,05007020504,4.0
40001376700,05007021101,50.0
40001376700,05007021102,15.0
40001376700,05007021202,4.0
40001376700,05007021304,20.0
40001376700,05007021312,10.0
40001376700,05007021315,4.0
40001376700,05131001201,20.0
40001376700,05143010107,10.0
40001376700,05143010111,4.0
40001376700,05143010306,25.0
40001376700,05143010404,30.0
40001376700,05143010405,25.0
40001376700,05143010511,20.0
40001376700,05143010513,60.0
40001376700,05143010514,15.0
40001376700,05143010601,10.0
40001376700,05143010705,4.0
40001376700,05143011104,10.0
40001376700,05143011105,4.0
40001376700,40001376700,155.0
40001376700,40001376900,40.0
40001376700,40021977801,4.0
40001376700,40021978000,45.0
40001376700,40041376000,20.0
40001376700,40041376100,20.0
40001376700,40041976200,15.0
40001376700,40079040102,4.0
40001376700,40079040601,4.0
40001376700,40101000600,15.0
40001376700,40101001301,4.0
40001376700,40131050408,10.0
40001376800,05005950400,4.0
40001376800,05007020704,4.0
40001376800,05007021101,15.0
40001376800,05007021102,15.0
40001376800,05007021312,4.0
40001376800,05143010115,4.0
40001376800,05143010513,4.0
40001376800,05143010514,4.0
40001376800,05143010705,4.0
40001376800,05143011002,4.0
40001376800,05143011006,4.0
40001376800,05143011301,4.0
40001376800,05143011302,4.0
40001376800,40001376700,45.0
40001376800,40001376800,130.0
40001376800,40001376900,225.0
40001376800,40001377000,4.0
40001376800,40021977801,4.0
40001376800,40021977902,15.0
40001376800,40021978000,50.0
40001376800,40021978100,30.0
40001376800,40021978201,4.0
40001376800,40021978202,35.0
40001376800,40021978301,20.0
40001376800,40021978302,50.0
40001376800,40035373100,4.0
40001376800,40041375806,10.0
40001376800,40101001301,4.0
40001376800,40135030101,4.0
40001376800,40135030301,4.0
40001376800,40143003200,4.0
40001376800,40143004101,4.0
40001376800,40143006708,4.0
40001376800,40143006906,4.0
40001376800,40143007416,4.0
40001376800,40143009008,4.0
40001376800,40143009019,4.0
40001376900,05007021101,10.0
40001376900,05007021312,15.0
40001376900,05007021313,4.0
40001376900,05143010404,15.0
40001376900,40001376700,40.0
40001376900,40001376900,290.0
40001376900,40001377000,4.0
40001376900,40021977902,4.0
40001376900,40021978100,20.0
40001376900,40021978301,10.0
40001376900,40041375702,10.0
40001376900,40147001300,10.0
40001376900,48439105518,4.0
40001377000,05007020504,4.0
40001377000,05007021003,4.0
40001377000,05007021101,55.0
40001377000,05007021202,4.0
40001377000,05007021304,4.0
40001377000,05131000200,4.0
40001377000,05131001202,10.0
40001377000,05143010305,4.0
40001377000,05143010405,4.0
40001377000,05143010513,10.0
40001377000,05143010601,10.0
40001377000,22017024304,15.0
40001377000,40001376700,20.0
40001377000,40001376800,15.0
40001377000,40001376900,260.0
40001377000,40001377000,10.0
40001377000,40021977901,10.0
40001377000,40021977902,4.0
40001377000,40021978000,15.0
40001377000,40021978100,4.0
40001377000,40021978202,4.0
40001377000,40021978301,30.0
40001377000,40021978302,15.0
40001377000,40041375701,4.0
40001377000,40101000100,4.0
40001377000,40101000200,10.0
40001377000,40101000700,10.0
40001377000,40101001301,4.0
40001377000,40109100500,4.0
40001377000,40135030106,4.0
40001377000,40143007415,4.0
40003955600,20007968200,10.0
40003955600,40003955600,130.0
40003955600,40003955700,45.0
40003955600,40003956000,45.0
40003955600,40047000101,4.0
40003955600,40047000200,4.0
40003955600,40047000601,4.0
40003955600,40047000701,4.0
40003955600,40047001100,4.0
40003955600,40047001401,25.0
40003955600,40047001402,4.0
40003955600,40073958300,4.0
40003955600,40093955100,4.0
40003955600,40109100500,4.0
40003955600,40109106100,4.0
40003955600,40151954300,4.0
40003955700,20007968200,4.0
40003955700,40003955600,160.0
40003955700,40003955700,115.0
40003955700,40003956000,15.0
40003955700,40047000101,4.0
40003955700,40047000601,4.0
40003955700,40047001500,4.0
40003955700,40053956500,4.0
40003955700,40103957000,10.0
40003955700,40151954201,25.0
40003955700,40151954202,10.0
40003955700,40151954300,4.0
40003955700,40151954400,10.0
40003955700,48029120302,10.0
40003956000,20173008100,4.0
40003956000,40003955600,4.0
40003956000,40003955700,10.0
40003956000,40003956000,130.0
40003956000,40017300702,4.0
40003956000,40047000101,4.0
40003956000,40047000102,4.0
40003956000,40047000200,4.0
40003956000,40047000601,4.0
40003956000,40047000702,10.0
40003956000,40047001100,10.0
40003956000,40047001200,4.0
40003956000,40047001301,30.0
40003956000,40047001302,4.0
40003956000,40047001500,4.0
40003956000,40047001602,30.0
40003956000,40047001603,4.0
40003956000,40047001604,20.0
40003956000,40093955300,4.0
40003956000,40151954201,10.0
40003956000,40151954202,10.0
40003956000,40151954300,4.0
40003956000,40151954400,4.0
40005587600,27027030201,4.0
40005587600,40005587600,35.0
40005587600,40005587700,75.0
40005587600,40005587800,4.0
40005587600,40005587900,4.0
40005587600,40013796002,4.0
40005587600,40013796102,4.0
40005587600,40013796300,4.0
40005587600,40013796400,4.0
40005587600,40013796500,4.0
40005587600,40017301001,4.0
40005587600,40023967100,4.0
40005587600,40069660201,4.0
40005587600,40079040500,4.0
40005587600,40119010800,4.0
40005587600,40121485700,4.0
40005587600,40121486100,4.0
40005587600,40121486400,4.0
40005587600,40121486500,4.0
40005587600,40121486600,4.0
40005587600,40121486700,4.0
40005587600,40127097701,4.0
40005587600,41019150001,4.0
40005587700,12041950201,4.0
40005587700,40005587600,25.0
40005587700,40005587700,350.0
40005587700,40005587900,15.0
40005587700,40013796002,15.0
40005587700,40013796101,4.0
40005587700,40013796400,30.0
40005587700,40023967100,10.0
40005587700,40029388100,40.0
40005587700,40069660198,4.0
40005587700,40069660201,10.0
40005587700,40121486000,4.0
40005587700,40121486100,4.0
40005587700,40121486400,4.0
40005587700,40127097701,10.0
40005587700,48181000302,4.0
40005587800,40005587600,4.0
40005587800,40005587700,160.0
40005587800,40005587800,260.0
40005587800,40005587900,4.0
40005587800,40013795700,10.0
40005587800,40013796002,25.0
40005587800,40013796101,35.0
40005587800,40013796102,25.0
40005587800,40013796200,15.0
40005587800,40013796300,35.0
40005587800,40013796400,10.0
40005587800,40013796500,4.0
40005587800,40013796600,4.0
40005587800,40019892100,4.0
40005587800,40023967100,4.0
40005587800,40029388100,4.0
40005587800,40047001301,4.0
40005587800,40069660198,75.0
40005587800,40069660201,4.0
40005587800,40095094700,4.0
40005587800,40095094804,4.0
40005587800,40099790801,4.0
40005587800,40109100201,4.0
40005587800,40109107407,4.0
40005587800,40121486100,4.0
40005587800,40121486800,4.0
40005587800,40123088802,4.0
40005587800,40123088900,15.0
40005587800,40127097701,4.0
40005587800,47157021141,4.0
40005587800,48113015303,4.0
40005587800,48113019800,4.0
40005587800,48133950500,4.0
40005587800,48181000304,4.0
40005587800,48181000400,4.0
40005587800,48181000903,10.0
40005587800,48181000904,4.0
40005587800,48181001400,4.0
40005587800,48181001700,15.0
40005587800,48181001801,4.0
40005587800,48181001803,4.0
40005587800,48277000800,4.0
40005587800,48329010125,4.0
40005587900,19153010500,4.0
40005587900,27027030110,4.0
40005587900,40005587700,230.0
40005587900,40005587800,30.0
40005587900,40005587900,170.0
40005587900,40013796002,4.0
40005587900,40013796101,15.0
40005587900,40013796102,35.0
40005587900,40013796200,4.0
40005587900,40013796300,4.0
40005587900,40013796400,4.0
40005587900,40023967100,15.0
40005587900,40027201204,4.0
40005587900,40029388100,15.0
40005587900,40029388200,4.0
40005587900,40063484900,4.0
40005587900,40069660201,4.0
40005587900,40109106608,4.0
40005587900,40109107002,4.0
40005587900,40109108521,4.0
40005587900,40121486400,4.0
40005587900,40121486500,10.0
40005587900,40121486600,4.0
40005587900,40123088801,10.0
40005587900,40123089300,4.0
40005587900,40127097701,35.0
40005587900,40143005200,4.0
40005587900,40143007308,4.0
40005587900,48085031627,4.0
40005587900,48181000700,10.0
40005587900,48181002000,4.0
40005587900,48329010125,4.0
40007951600,19153003200,4.0
40007951600,20081463100,4.0
40007951600,20175965600,4.0
40007951600,20175965700,100.0
40007951600,20175965800,20.0
40007951600,20175965900,20.0
40007951600,20175966000,25.0
40007951600,38017000601,4.0
40007951600,40007951600,135.0
40007951600,40007951800,30.0
40007951600,40017300702,4.0
40007951600,40139950600,10.0
40007951600,48357950300,4.0
40007951700,20175965600,4.0
40007951700,40007951700,45.0
40007951700,40007951800,20.0
40007951700,40119010503,4.0
40007951700,40139950700,10.0
40007951700,40151954300,10.0
40007951700,48195950300,4.0
40007951700,48357950100,4.0
40007951700,48357950300,20.0
40007951700,48357950400,10.0
40007951700,48375010600,4.0
40007951800,20175965700,4.0
40007951800,40007951600,4.0
40007951800,40007951800,175.0
40007951800,40139950902,4.0
40007951800,48357950300,4.0
40007951800,48357950400,4.0
40009966100,40009966100,825.0
40009966100,40009966200,460.0
40009966100,40009966500,20.0
40009966100,40009966800,110.0
40009966100,40017300202,35.0
40009966100,40017300701,20.0
40009966100,40039961000,40.0
40009966100,40129960000,15.0
40009966100,40149965100,15.0
40009966200,35001980000,30.0
40009966200,40009966100,525.0
40009966200,40009966200,740.0
40009966200,40009966800,95.0
40009966200,40017300702,15.0
40009966200,40039960401,10.0
40009966200,40039960600,15.0
40009966200,40055967200,30.0
40009966200,40109106606,10.0
40009966200,48355000800,85.0
40009966200,48483950300,25.0
40009966200,48485012600,25.0
40009966500,40009966100,25.0
40009966500,40009966200,30.0
40009966500,40009966500,150.0
40009966500,40009966800,30.0
40009966500,40057967800,4.0
40009966500,40065968500,15.0
40009966500,40109108537,4.0
40009966500,48135003003,4.0
