Otract,Dtract,EST
41001950100,41001950100,165.0
41001950100,41001950200,80.0
41001950100,41001950300,35.0
41001950100,41001950400,50.0
41001950100,41001950500,230.0
41001950100,41001950600,4.0
41001950100,41017001102,4.0
41001950100,41023960100,4.0
41001950100,41045970900,4.0
41001950100,41051000601,10.0
41001950100,41051002600,10.0
41001950100,41061970500,4.0
41001950100,41061970600,15.0
41001950100,41061970700,4.0
41001950100,41061970800,15.0
41001950200,16001000803,20.0
41001950200,41001950100,4.0
41001950200,41001950200,365.0
41001950200,41001950300,80.0
41001950200,41001950400,105.0
41001950200,41001950500,215.0
41001950200,41023960202,4.0
41001950200,41061970500,4.0
41001950200,41061970800,10.0
41001950200,53071920200,10.0
41001950300,02020002301,4.0
41001950300,16001000102,4.0
41001950300,16001010237,4.0
41001950300,20155001000,4.0
41001950300,41001950100,35.0
41001950300,41001950200,95.0
41001950300,41001950300,150.0
41001950300,41001950400,70.0
41001950300,41001950500,300.0
41001950300,41001950600,10.0
41001950300,41045970300,4.0
41001950300,41045970400,4.0
41001950300,41061970200,25.0
41001950300,53071920500,4.0
41001950400,16027021600,10.0
41001950400,41001950200,245.0
41001950400,41001950300,70.0
41001950400,41001950400,190.0
41001950400,41001950500,155.0
41001950400,41001950600,20.0
41001950400,41045970200,10.0
41001950400,41051005800,20.0
41001950400,41061970800,10.0
41001950500,41001950200,200.0
41001950500,41001950300,65.0
41001950500,41001950400,40.0
41001950500,41001950500,255.0
41001950500,41001950600,35.0
41001950500,41061970200,4.0
41001950500,41061970800,4.0
41001950500,41063960300,4.0
41001950600,41001950100,10.0
41001950600,41001950200,10.0
41001950600,41001950300,20.0
41001950600,41001950400,10.0
41001950600,41001950500,45.0
41001950600,41001950600,515.0
41001950600,49035102802,10.0
41003000101,06037602513,15.0
41003000101,41003000101,210.0
41003000101,41003000102,65.0
41003000101,41003000202,30.0
41003000101,41003000402,20.0
41003000101,41003000500,25.0
41003000101,41003000600,80.0
41003000101,41003001001,65.0
41003000101,41003001002,15.0
41003000101,41003001101,55.0
41003000101,41003001102,105.0
41003000101,41003010400,20.0
41003000101,41003010601,185.0
41003000101,41003010602,110.0
41003000101,41003010702,65.0
41003000101,41003010800,50.0
41003000101,41003010900,65.0
41003000101,41039003900,35.0
41003000101,41041950900,15.0
41003000101,41043020101,85.0
41003000101,41043020300,85.0
41003000101,41043020400,20.0
41003000101,41043020500,45.0
41003000101,41043020700,65.0
41003000101,41043020801,30.0
41003000101,41043020802,50.0
41003000101,41043030401,15.0
41003000101,41043030600,4.0
41003000101,41043030700,85.0
41003000101,41047000200,30.0
41003000101,41047001000,30.0
41003000101,41047010701,10.0
41003000101,41053020400,15.0
41003000101,41053020500,15.0
41003000102,41003000101,30.0
41003000102,41003000102,220.0
41003000102,41003000202,100.0
41003000102,41003000401,40.0
41003000102,41003000402,130.0
41003000102,41003000500,35.0
