Otract,Dtract,EST
42001030101,15003007400,4.0
42001030101,24021765100,4.0
42001030101,24021766800,4.0
42001030101,24021772200,4.0
42001030101,24027606905,20.0
42001030101,24043010300,4.0
42001030101,36081071600,4.0
42001030101,39049007048,10.0
42001030101,42001030101,100.0
42001030101,42001030200,40.0
42001030101,42001030300,4.0
42001030101,42001030500,4.0
42001030101,42001030600,40.0
42001030101,42001030801,35.0
42001030101,42001030802,25.0
42001030101,42001030901,65.0
42001030101,42001030902,4.0
42001030101,42001031102,4.0
42001030101,42001031201,4.0
42001030101,42001031203,4.0
42001030101,42001031401,10.0
42001030101,42001031402,20.0
42001030101,42001031501,4.0
42001030101,42001031502,20.0
42001030101,42041010203,4.0
42001030101,42041010400,25.0
42001030101,42041010500,4.0
42001030101,42041010600,4.0
42001030101,42041011101,20.0
42001030101,42041011102,4.0
42001030101,42041011304,15.0
42001030101,42041011305,4.0
42001030101,42041011500,50.0
42001030101,42041011607,10.0
42001030101,42041011700,4.0
42001030101,42041011803,25.0
42001030101,42041011806,25.0
42001030101,42041011902,15.0
42001030101,42041012400,30.0
42001030101,42041012501,25.0
42001030101,42041012502,4.0
42001030101,42041012600,10.0
42001030101,42041012702,4.0
42001030101,42043020100,15.0
42001030101,42043020300,10.0
42001030101,42043021100,20.0
42001030101,42043021800,4.0
42001030101,42043021901,4.0
42001030101,42043021903,4.0
42001030101,42043021904,4.0
42001030101,42043022200,4.0
42001030101,42043022701,10.0
42001030101,42043022702,4.0
42001030101,42043022901,10.0
42001030101,42043023601,20.0
42001030101,42043023602,4.0
42001030101,42043024502,4.0
42001030101,42043024602,4.0
42001030101,42043024801,4.0
42001030101,42071010602,4.0
42001030101,42071012001,4.0
42001030101,42133000100,20.0
42001030101,42133000800,10.0
42001030101,42133010210,4.0
42001030101,42133010220,4.0
42001030101,42133010300,4.0
42001030101,42133010510,4.0
42001030101,42133020100,4.0
42001030101,42133020221,4.0
42001030101,42133020321,15.0
42001030101,42133020410,4.0
42001030101,42133020421,15.0
42001030101,42133020422,40.0
42001030101,42133020522,4.0
42001030101,42133020601,4.0
42001030101,42133020802,4.0
42001030101,42133021010,10.0
42001030101,42133021020,4.0
42001030101,42133021100,10.0
42001030101,42133021410,4.0
42001030101,42133021500,4.0
42001030101,42133021720,4.0
42001030101,42133021802,15.0
42001030101,42133021901,15.0
42001030101,42133021902,4.0
42001030101,42133022200,40.0
42001030101,42133022300,10.0
42001030101,42133022401,10.0
42001030101,42133022500,4.0
42001030101,42133022601,4.0
42001030101,42133022701,4.0
42001030101,42133022801,10.0
42001030101,42133023301,4.0
42001030101,42133023903,4.0
