Otract,Dtract,EST
44001030100,25005610202,30.0
44001030100,25005630201,25.0
44001030100,25005631102,15.0
44001030100,25005632200,15.0
44001030100,25005640500,4.0
44001030100,25005641200,4.0
44001030100,25005641800,10.0
44001030100,25005642000,15.0
44001030100,25005645101,10.0
44001030100,25005652200,10.0
44001030100,25005653102,10.0
44001030100,25017352400,10.0
44001030100,25021404100,4.0
44001030100,25021410100,15.0
44001030100,25021441203,15.0
44001030100,25027731601,4.0
44001030100,25027732002,25.0
44001030100,36061001300,4.0
44001030100,36081071600,4.0
44001030100,44001030100,470.0
44001030100,44001030200,65.0
44001030100,44001030300,35.0
44001030100,44001030400,45.0
44001030100,44001030500,4.0
44001030100,44001030800,10.0
44001030100,44001030902,30.0
44001030100,44003020903,25.0
44001030100,44003021100,15.0
44001030100,44003022300,10.0
44001030100,44005040101,4.0
44001030100,44005041200,50.0
44001030100,44007000600,80.0
44001030100,44007000700,10.0
44001030100,44007000800,85.0
44001030100,44007002200,15.0
44001030100,44007002300,15.0
44001030100,44007002400,10.0
44001030100,44007003100,15.0
44001030100,44007003300,35.0
44001030100,44007003400,10.0
44001030100,44007003601,15.0
44001030100,44007003602,125.0
44001030100,44007010101,15.0
44001030100,44007010300,60.0
44001030100,44007010501,80.0
44001030100,44007010502,50.0
44001030100,44007010600,15.0
44001030100,44007010701,15.0
44001030100,44007010702,20.0
44001030100,44007011200,4.0
44001030100,44007011403,4.0
44001030100,44007011500,4.0
44001030100,44007011600,10.0
44001030100,44007012300,10.0
44001030100,44007012402,40.0
44001030100,44007012500,15.0
44001030100,44007012601,15.0
44001030100,44007013101,4.0
44001030100,44007014000,4.0
44001030100,44007014200,4.0
44001030100,44007014501,15.0
44001030100,44007015200,20.0
44001030100,44007015500,10.0
44001030100,44007015800,20.0
44001030100,44007016000,10.0
44001030100,44007016100,15.0
44001030100,44007017000,4.0
44001030100,44007018500,20.0
44001030100,44009050301,4.0
44001030100,44009050801,15.0
44001030100,44009051202,20.0
44001030200,08059010901,10.0
44001030200,25005615100,25.0
44001030200,25005632200,60.0
44001030200,25005640100,25.0
44001030200,25005640800,25.0
44001030200,25005644200,25.0
44001030200,25005645103,15.0
44001030200,25005652200,10.0
44001030200,25005653102,15.0
44001030200,25005655100,10.0
44001030200,25005985500,10.0
44001030200,25017368200,10.0
44001030200,25017368400,10.0
44001030200,25021400900,120.0
44001030200,25021418101,4.0
44001030200,25021440101,10.0
44001030200,25021457100,10.0
44001030200,25025010702,4.0
44001030200,25025081001,10.0
44001030200,44001030100,10.0
44001030200,44001030200,310.0
44001030200,44001030300,10.0
44001030200,44001030400,80.0
44001030200,44001030500,30.0
44001030200,44001030601,35.0
44001030200,44001030700,10.0
44001030200,44001030902,10.0
44001030200,44003020903,10.0
44001030200,44003021002,4.0
44001030200,44003021700,10.0
44001030200,44003022100,20.0
44001030200,44003022300,15.0
44001030200,44005040104,35.0
44001030200,44005040303,10.0
44001030200,44005040900,4.0
44001030200,44005041200,25.0
44001030200,44007000301,10.0
44001030200,44007000600,25.0
44001030200,44007000800,70.0
44001030200,44007001000,4.0
44001030200,44007001100,20.0
44001030200,44007001200,4.0
44001030200,44007001500,15.0
44001030200,44007002200,20.0
44001030200,44007002300,10.0
44001030200,44007002400,10.0
44001030200,44007002500,35.0
44001030200,44007003100,10.0
44001030200,44007003200,10.0
44001030200,44007003300,10.0
44001030200,44007003400,10.0
44001030200,44007003500,15.0
44001030200,44007003601,10.0
44001030200,44007003602,30.0
44001030200,44007003700,15.0
44001030200,44007010200,4.0
44001030200,44007010300,140.0
44001030200,44007010400,20.0
44001030200,44007010501,20.0
44001030200,44007010502,10.0
44001030200,44007011301,4.0
44001030200,44007011403,4.0
44001030200,44007012000,4.0
44001030200,44007012402,20.0
44001030200,44007012500,10.0
44001030200,44007012601,10.0
44001030200,44007013900,10.0
44001030200,44007015800,10.0
44001030200,44007015900,10.0
44001030200,44007016500,10.0
44001030200,44007016600,10.0
44001030200,44007017000,20.0
44001030200,44007018500,10.0
44001030200,44009050103,15.0
44001030300,09009151200,10.0
44001030300,25005615100,10.0
44001030300,25005631200,4.0
