Otract,Dtract,EST
45001950100,01073002701,10.0
45001950100,13051010811,10.0
45001950100,45001950100,75.0
45001950100,45001950200,4.0
45001950100,45001950401,65.0
45001950100,45001950500,4.0
45001950100,45007000200,50.0
45001950100,45007000300,10.0
45001950100,45007000900,4.0
45001950100,45007001000,20.0
45001950100,45007010103,4.0
45001950100,45007010105,4.0
45001950100,45007010106,15.0
45001950100,45007010300,115.0
45001950100,45007010403,25.0
45001950100,45007010406,10.0
45001950100,45007010501,15.0
45001950100,45007010601,30.0
45001950100,45007010602,15.0
45001950100,45007010800,4.0
45001950100,45007011100,70.0
45001950100,45007011201,15.0
45001950100,45007011204,25.0
45001950100,45007011302,4.0
45001950100,45007011401,4.0
45001950100,45007011501,4.0
45001950100,45007011502,65.0
45001950100,45007011800,10.0
45001950100,45007012002,25.0
45001950100,45007012300,55.0
45001950100,45045001101,4.0
45001950100,45045001302,4.0
45001950100,45045001808,4.0
45001950100,45045002106,15.0
45001950100,45045002805,20.0
45001950100,45045003401,20.0
45001950100,45047970102,65.0
45001950100,45047970201,4.0
45001950100,45047970202,4.0
45001950100,45047970301,65.0
45001950100,45047970303,25.0
45001950100,45047970304,30.0
45001950100,45047970401,20.0
45001950100,45047970601,4.0
45001950100,45047970602,4.0
45001950100,45047970701,10.0
45001950100,45047970801,4.0
45001950100,45047970802,4.0
45001950100,45047970900,4.0
45001950100,45059920302,4.0
45001950100,45083023302,4.0
45001950200,45001950100,50.0
45001950200,45001950200,250.0
45001950200,45001950401,15.0
45001950200,45001950402,15.0
45001950200,45001950500,100.0
45001950200,45007000200,65.0
45001950200,45007000300,25.0
45001950200,45007000600,4.0
45001950200,45007000701,4.0
45001950200,45007000702,4.0
45001950200,45007000800,4.0
45001950200,45007001000,60.0
45001950200,45007001100,15.0
45001950200,45007010105,4.0
45001950200,45007010501,50.0
45001950200,45007010601,10.0
45001950200,45007010602,4.0
45001950200,45007011100,25.0
45001950200,45007011204,30.0
45001950200,45007011302,15.0
45001950200,45007011401,4.0
45001950200,45007011502,20.0
45001950200,45007011702,15.0
45001950200,45007012001,4.0
45001950200,45007012002,140.0
45001950200,45045001700,4.0
45001950200,45045002304,4.0
45001950200,45045002507,4.0
45001950200,45045002812,15.0
45001950200,45045002813,4.0
45001950200,45045002901,15.0
45001950200,45045003602,4.0
45001950200,45047970101,30.0
45001950200,45047970102,50.0
45001950200,45047970201,60.0
45001950200,45047970202,4.0
45001950200,45047970301,35.0
45001950200,45047970303,90.0
45001950200,45047970304,30.0
45001950200,45047970401,30.0
45001950200,45047970402,4.0
45001950200,45047970602,25.0
45001950200,45047970701,15.0
45001950200,45047970702,4.0
45001950200,45047970801,25.0
45001950200,45059920104,4.0
45001950200,45059920400,4.0
45001950200,45077010301,10.0
45001950200,45083023202,15.0
45001950200,45083023405,4.0
45001950300,24033805201,4.0
45001950300,35001001202,30.0
45001950300,45001950200,35.0
45001950300,45001950300,115.0
45001950300,45001950401,10.0
45001950300,45001950500,85.0
45001950300,45007000200,105.0
45001950300,45007000300,10.0
45001950300,45007000500,20.0
45001950300,45007000600,4.0
45001950300,45007000702,10.0
45001950300,45007001000,25.0
45001950300,45007001100,10.0
45001950300,45007010105,10.0
45001950300,45007010300,20.0
45001950300,45007010602,55.0
45001950300,45007011100,10.0
45001950300,45007011204,30.0
45001950300,45007011401,10.0
45001950300,45007011702,45.0
45001950300,45007012001,4.0
45001950300,45007012002,55.0
45001950300,45007012200,15.0
45001950300,45007012300,35.0
45001950300,45045001808,30.0
45001950300,45045002103,20.0
45001950300,45045002812,10.0
45001950300,45047970201,35.0
45001950300,45047970401,20.0
45001950300,45047970500,10.0
45001950300,45047970602,240.0
45001950300,45059920504,10.0
45001950401,45001950200,4.0
45001950401,45001950300,15.0
45001950401,45001950401,170.0
45001950401,45001950402,35.0
45001950401,45001950500,155.0
45001950401,45003021204,4.0
45001950401,45007000200,40.0
45001950401,45045004400,130.0
45001950401,45047970201,20.0
45001950401,45047970301,25.0
45001950401,45047970303,80.0
45001950401,45047970401,30.0
45001950401,45047970602,70.0
45001950401,45047970801,20.0
45001950401,45077010804,80.0
45001950401,45079011701,4.0
45001950402,45001950100,40.0
45001950402,45001950200,55.0
45001950402,45001950401,25.0
45001950402,45001950402,85.0
45001950402,45001950500,40.0
45001950402,45007000200,10.0
45001950402,45007010404,15.0
45001950402,45047970301,10.0
45001950402,45047970303,20.0
45001950402,45047970401,95.0
45001950402,45047970402,15.0
45001950402,45047970602,40.0
45001950402,45059920104,45.0
45001950402,45077011202,10.0
45001950500,13105000400,15.0
45001950500,45001950200,30.0
45001950500,45001950300,55.0
45001950500,45001950401,275.0
45001950500,45001950500,215.0
45001950500,45007000200,15.0
45001950500,45007010406,20.0
45001950500,45007011301,4.0
45001950500,45007012002,30.0
45001950500,45007012200,25.0
45001950500,45045004200,15.0
45001950500,45047970102,105.0
45001950500,45047970202,20.0
45001950500,45047970303,100.0
45001950500,45047970304,10.0
45001950500,45047970401,255.0
45001950500,45047970402,20.0
45001950500,45047970500,20.0
45001950500,45047970602,245.0
45001950500,45071950502,10.0
45001950500,45077011004,100.0
45001950500,45079003100,15.0
45001950600,13105000300,4.0
45001950600,13105000400,10.0
45001950600,13105000502,4.0
45001950600,45001950200,20.0
45001950600,45001950300,75.0
45001950600,45001950401,80.0
45001950600,45001950402,4.0
45001950600,45001950500,85.0
45001950600,45001950600,55.0
45001950600,45007000300,4.0
45001950600,45007010501,10.0
45001950600,45007011100,4.0
45001950600,45007011201,20.0
45001950600,45007012300,15.0
45001950600,45045000100,4.0
45001950600,45045002105,4.0
45001950600,45045003401,50.0
45001950600,45047970102,20.0
45001950600,45047970202,4.0
45001950600,45047970301,20.0
45001950600,45047970303,30.0
45001950600,45047970401,25.0
45001950600,45047970500,4.0
45001950600,45047970602,50.0
45003020100,13245010206,25.0
45003020100,13245011000,35.0
45003020100,45003020100,120.0
45003020100,45003020200,50.0
45003020100,45003020301,30.0
45003020100,45003020303,115.0
45003020100,45003021201,30.0
45003020100,45003021205,20.0
45003020100,45003021300,30.0
45003020100,45003021401,35.0
45003020100,45003021402,4.0
45003020100,45003021601,70.0
45003020100,45003021604,20.0
45003020100,45003021800,20.0
45003020100,45003022004,30.0
45003020100,45003980100,40.0
45003020100,45037970300,4.0
45003020100,45037970400,15.0
45003020100,45047970303,4.0
45003020100,45063020509,60.0
45003020100,45063020605,35.0
45003020100,45063020706,20.0
45003020100,45063021029,35.0
45003020100,45063021040,45.0
45003020100,45063021045,45.0
45003020100,45063021050,4.0
45003020100,45063021306,20.0
45003020100,45063021307,45.0
45003020100,45063021402,75.0
45003020100,45079002800,35.0
45003020100,45079003100,30.0
45003020100,45079010600,20.0
45003020100,45079011702,10.0
45003020100,45079011801,20.0
45003020100,45081960201,30.0
45003020100,45081960400,55.0
45003020200,01081040700,10.0
45003020200,13073030106,25.0
45003020200,13073030311,45.0
45003020200,13073030403,15.0
45003020200,13245010105,4.0
45003020200,13245011000,10.0
45003020200,45003020100,10.0
45003020200,45003020200,500.0
45003020200,45003020301,220.0
45003020200,45003020303,4.0
45003020200,45003020304,20.0
45003020200,45003020500,110.0
45003020200,45003020701,25.0
45003020200,45003020901,4.0
45003020200,45003020904,35.0
45003020200,45003021201,25.0
45003020200,45003021202,30.0
45003020200,45003021204,50.0
45003020200,45003021300,315.0
45003020200,45003021401,60.0
45003020200,45003021402,4.0
45003020200,45003021601,45.0
45003020200,45003021604,65.0
45003020200,45003022001,20.0
45003020200,45003022003,70.0
45003020200,45003980100,35.0
45003020200,45017950100,30.0
45003020200,45037970300,30.0
45003020200,45037970400,70.0
45003020200,45045001900,20.0
45003020200,45045002503,50.0
45003020200,45047970602,40.0
45003020200,45063020100,115.0
45003020200,45063020602,25.0
45003020200,45063021028,20.0
45003020200,45063021402,85.0
45003020200,45079003100,55.0
45003020200,45079011421,4.0
45003020301,01125011200,25.0
45003020301,13033950500,10.0
45003020301,13073030201,10.0
45003020301,13073030203,25.0
45003020301,13245001000,4.0
45003020301,13245001200,4.0
45003020301,13245010205,10.0
45003020301,13245010206,10.0
45003020301,13245011000,20.0
45003020301,45003020200,10.0
45003020301,45003020301,265.0
45003020301,45003020401,20.0
45003020301,45003020402,20.0
45003020301,45003020500,4.0
45003020301,45003020603,10.0
45003020301,45003020702,10.0
45003020301,45003020901,10.0
45003020301,45003021001,4.0
45003020301,45003021102,10.0
45003020301,45003021201,35.0
45003020301,45003021202,10.0
45003020301,45003021204,45.0
45003020301,45003021205,10.0
45003020301,45003021300,70.0
45003020301,45003021401,4.0
45003020301,45003021601,50.0
45003020301,45003021603,55.0
45003020301,45003021604,50.0
45003020301,45003022004,4.0
45003020301,45003980100,10.0
45003020301,45037970204,25.0
45003020301,45037970501,20.0
45003020301,45079011701,10.0
45003020301,45091061007,30.0
45003020303,13245010104,45.0
45003020303,45003020200,90.0
45003020303,45003020303,4.0
45003020303,45003020500,10.0
45003020303,45003021102,80.0
45003020303,45003021300,130.0
45003020303,45003021401,20.0
45003020303,45003021402,60.0
45003020303,45003021604,35.0
45003020303,45081960400,10.0
45003020304,12086008904,15.0
45003020304,13073030311,20.0
45003020304,13245010101,4.0
45003020304,13245010206,15.0
45003020304,13245010513,30.0
45003020304,13245010706,35.0
45003020304,13245010802,20.0
45003020304,13245011000,110.0
45003020304,45003020100,15.0
45003020304,45003020200,105.0
45003020304,45003020301,80.0
45003020304,45003020304,80.0
45003020304,45003020401,10.0
45003020304,45003020402,30.0
45003020304,45003020701,15.0
45003020304,45003020702,50.0
45003020304,45003020802,80.0
45003020304,45003021001,30.0
45003020304,45003021202,70.0
45003020304,45003021204,15.0
45003020304,45003021205,15.0
45003020304,45003021300,470.0
45003020304,45003021401,15.0
45003020304,45003021402,50.0
45003020304,45003021500,20.0
45003020304,45003021601,55.0
45003020304,45003021603,15.0
45003020304,45003022003,60.0
45003020304,45003022004,10.0
45003020304,45037970400,15.0
45003020304,45037970501,180.0
45003020304,45063021041,45.0
45003020304,45065920200,15.0
45003020304,45075011000,25.0
45003020304,45079002100,30.0
45003020304,45079010403,25.0
45003020304,45079980100,20.0
45003020304,51019030204,45.0
45003020401,13073030201,10.0
45003020401,13073030307,30.0
45003020401,13073030311,20.0
45003020401,13073030603,30.0
45003020401,13245000700,20.0
45003020401,13245001000,20.0
45003020401,13245001200,20.0
45003020401,13245010104,75.0
45003020401,13245010205,95.0
45003020401,13245010206,55.0
45003020401,13245010207,25.0
45003020401,13245010507,15.0
45003020401,13245010508,10.0
45003020401,13245010602,10.0
45003020401,13245010706,30.0
45003020401,13245010801,20.0
45003020401,13245010802,210.0
45003020401,13245011000,110.0
45003020401,45003020200,30.0
45003020401,45003020301,155.0
45003020401,45003020304,40.0
45003020401,45003020401,435.0
45003020401,45003020402,15.0
45003020401,45003020500,20.0
45003020401,45003020702,10.0
45003020401,45003020802,100.0
45003020401,45003020901,105.0
45003020401,45003021001,15.0
45003020401,45003021204,10.0
45003020401,45003021300,295.0
45003020401,45003021402,70.0
45003020401,45003021500,10.0
45003020401,45003021601,35.0
45003020401,45003021603,20.0
45003020401,45003021604,20.0
45003020401,45003022001,25.0
45003020401,45003022003,10.0
45003020401,45003022100,25.0
45003020401,45003980100,15.0
45003020401,45037970501,85.0
45003020401,45037970502,25.0
45003020401,45063021307,20.0
45003020401,45079001600,10.0
45003020401,45079011607,15.0
45003020401,54081001300,95.0
45003020402,13073030603,20.0
45003020402,13245000600,15.0
45003020402,13245001200,30.0
45003020402,13245010104,15.0
45003020402,13245010108,55.0
45003020402,13245010206,10.0
45003020402,13245010507,15.0
45003020402,13245010515,45.0
45003020402,13245010802,35.0
45003020402,45003020100,25.0
45003020402,45003020200,15.0
45003020402,45003020401,25.0
45003020402,45003020402,45.0
45003020402,45003020802,10.0
45003020402,45003020901,35.0
45003020402,45003021101,30.0
45003020402,45003021204,40.0
45003020402,45003021300,85.0
45003020402,45003021402,50.0
45003020402,45079011501,25.0
45003020500,06059062610,15.0
45003020500,13073030106,15.0
45003020500,13073030108,35.0
45003020500,13073030203,25.0
45003020500,13073030307,80.0
45003020500,13073030603,15.0
45003020500,13245000600,15.0
45003020500,13245001000,50.0
45003020500,13245001100,4.0
45003020500,13245001200,45.0
45003020500,13245010101,110.0
45003020500,13245010104,105.0
45003020500,13245010107,15.0
45003020500,13245010201,15.0
45003020500,13245010203,40.0
45003020500,13245010205,40.0
45003020500,13245010206,35.0
45003020500,13245010400,15.0
45003020500,13245010507,20.0
45003020500,13245010508,45.0
45003020500,13245010511,35.0
45003020500,13245010601,35.0
45003020500,13245010602,50.0
45003020500,13245010706,95.0
45003020500,13245010802,360.0
45003020500,13245010903,40.0
45003020500,13245010904,20.0
45003020500,13245011000,250.0
45003020500,13245011100,10.0
45003020500,45003020200,80.0
45003020500,45003020301,50.0
45003020500,45003020401,50.0
45003020500,45003020402,15.0
45003020500,45003020500,610.0
45003020500,45003020604,35.0
45003020500,45003020701,40.0
45003020500,45003020702,135.0
45003020500,45003020801,55.0
45003020500,45003020802,120.0
45003020500,45003020901,170.0
45003020500,45003021001,150.0
45003020500,45003021003,15.0
45003020500,45003021004,20.0
45003020500,45003021201,15.0
45003020500,45003021204,25.0
45003020500,45003021205,20.0
45003020500,45003021300,200.0
45003020500,45003021401,10.0
45003020500,45003021402,75.0
45003020500,45003021604,95.0
45003020500,45003021700,30.0
45003020500,45003022004,15.0
45003020500,45003980100,360.0
45003020500,45037970203,10.0
45003020500,45037970204,45.0
45003020500,45037970300,20.0
45003020500,45037970501,15.0
45003020500,45037970502,40.0
45003020500,45063021040,40.0
45003020500,45079010501,20.0
45003020601,13033950500,35.0
45003020601,13073030106,35.0
45003020601,13073030107,4.0
45003020601,13073030201,10.0
45003020601,13073030203,10.0
45003020601,13073030311,25.0
45003020601,13073030403,4.0
45003020601,13073030505,10.0
45003020601,13245000600,50.0
45003020601,13245000700,20.0
45003020601,13245001000,4.0
45003020601,13245001200,60.0
45003020601,13245001603,10.0
45003020601,13245010104,30.0
45003020601,13245010107,10.0
45003020601,13245010201,10.0
45003020601,13245010203,15.0
45003020601,13245010205,80.0
45003020601,13245010206,20.0
45003020601,13245010300,20.0
45003020601,13245010400,30.0
45003020601,13245010506,4.0
45003020601,13245010510,15.0
45003020601,13245010602,70.0
45003020601,13245010706,4.0
45003020601,13245010801,10.0
45003020601,13245010802,25.0
45003020601,13245010904,4.0
45003020601,13245011000,80.0
45003020601,13245011100,10.0
45003020601,45003020200,4.0
45003020601,45003020301,45.0
45003020601,45003020303,15.0
45003020601,45003020401,10.0
45003020601,45003020500,130.0
45003020601,45003020601,90.0
45003020601,45003020603,35.0
45003020601,45003020604,4.0
45003020601,45003020701,4.0
45003020601,45003020702,160.0
45003020601,45003020802,30.0
45003020601,45003020901,70.0
45003020601,45003021001,50.0
45003020601,45003021003,10.0
45003020601,45003021004,30.0
45003020601,45003021204,60.0
45003020601,45003021205,10.0
45003020601,45003021300,225.0
45003020601,45003021401,25.0
45003020601,45003021402,15.0
45003020601,45003021500,10.0
45003020601,45003021601,25.0
45003020601,45003021604,25.0
45003020601,45003022003,10.0
45003020601,45003022004,4.0
45003020601,45003980100,45.0
45003020601,45037970204,4.0
45003020601,45037970501,4.0
45003020601,45063021019,15.0
45003020603,13245000600,100.0
45003020603,13245000700,20.0
45003020603,13245010203,15.0
45003020603,13245010205,55.0
45003020603,13245010206,10.0
45003020603,13245010208,25.0
45003020603,13245010506,10.0
45003020603,13245010511,35.0
45003020603,13245010515,75.0
45003020603,13245010602,20.0
45003020603,13245010802,105.0
45003020603,13245011000,95.0
45003020603,45003020301,10.0
45003020603,45003020303,20.0
45003020603,45003020401,20.0
45003020603,45003020603,150.0
45003020603,45003020702,75.0
45003020603,45003020801,30.0
45003020603,45003020802,35.0
45003020603,45003020901,40.0
