Otract,Dtract,EST
46003973600,27053125500,4.0
46003973600,46003973600,590.0
46003973600,46015973100,10.0
46003973600,46015973200,4.0
46003973600,46023940200,4.0
46003973600,46023970100,10.0
46003973600,46035962600,35.0
46003973600,46035962700,55.0
46003973600,46035962801,25.0
46003973600,46035962802,15.0
46003973600,46035962900,130.0
46003973600,46043969600,30.0
46003973600,46065977900,4.0
46003973600,46067968700,4.0
46003973600,46069976700,4.0
46003973600,46073974100,20.0
46003973600,46087964700,4.0
46003973600,46099000405,4.0
46003973600,46103011400,4.0
46003973600,46107000100,10.0
46003973600,46111962100,4.0
46005956600,46005956600,220.0
46005956600,46005956700,20.0
46005956600,46005956800,220.0
46005956600,46005956900,135.0
46005956600,46005957000,115.0
46005956600,46005957100,40.0
46005956600,46013951400,4.0
46005956600,46025955800,4.0
46005956600,46065977700,10.0
46005956600,46073974100,10.0
46005956600,46077958100,10.0
46005956600,46077958200,55.0
46005956600,46115000300,4.0
46005956700,46005956600,25.0
46005956700,46005956700,370.0
46005956700,46005956800,140.0
46005956700,46005956900,135.0
46005956700,46005957000,120.0
46005956700,46005957100,20.0
46005956700,46059975600,35.0
46005956700,46059975700,45.0
46005956700,46069976700,4.0
46005956700,46073974100,20.0
46005956700,46103010400,4.0
46005956700,46115000100,4.0
46005956700,46115000200,4.0
46005956700,46115000300,4.0
46005956800,46005956600,4.0
46005956800,46005956700,15.0
46005956800,46005956800,300.0
46005956800,46005956900,260.0
46005956800,46005957000,210.0
46005956800,46005957100,75.0
46005956800,46025955800,10.0
46005956800,46035962801,30.0
46005956800,46059975700,15.0
46005956800,46073974100,10.0
46005956900,46005956600,40.0
46005956900,46005956700,35.0
46005956900,46005956800,470.0
46005956900,46005956900,480.0
46005956900,46005957000,230.0
46005956900,46005957100,20.0
46005956900,46035962900,45.0
46005956900,46073974100,30.0
46005956900,46077958100,10.0
46005956900,46077958200,10.0
46005957000,46005956600,90.0
46005957000,46005956700,85.0
46005957000,46005956800,595.0
46005957000,46005956900,475.0
46005957000,46005957000,665.0
46005957000,46005957100,245.0
46005957000,46011958700,70.0
46005957000,46059975700,15.0
46005957000,46065977700,15.0
46005957000,46073974100,85.0
46005957000,46099000500,15.0
46005957000,46103011602,35.0
46005957100,19153010500,45.0
46005957100,46005956600,90.0
46005957100,46005956700,15.0
46005957100,46005956800,315.0
46005957100,46005956900,465.0
46005957100,46005957000,215.0
46005957100,46005957100,135.0
46005957100,46025955800,4.0
46005957100,46035962900,15.0
46005957100,46073974100,120.0
46005957100,46077958200,35.0
46005957100,46099000405,10.0
46005957100,46099001107,4.0
46007941000,31031955800,4.0
46007941000,46007941000,165.0
46007941200,46007941000,55.0
46007941200,46007941200,15.0
46007941200,46103011001,10.0
46009967600,31019969000,4.0
46009967600,31107976400,4.0
46009967600,46009967600,610.0
46009967600,46009967700,100.0
46009967600,46023940300,50.0
46009967600,46027965800,4.0
46009967600,46027965900,4.0
46009967600,46043969600,15.0
46009967600,46067968600,25.0
46009967600,46067968700,50.0
46009967600,46067968800,25.0
46009967600,46135966100,40.0
46009967600,46135966200,110.0
46009967600,46135966301,30.0
46009967600,46135966302,110.0
46009967600,46135966400,4.0
46009967700,27037060824,25.0
46009967700,31027977100,10.0
46009967700,31107976200,15.0
46009967700,31107976400,30.0
46009967700,46009967600,90.0
46009967700,46009967700,465.0
46009967700,46013951600,4.0
46009967700,46023940200,10.0
46009967700,46023940300,30.0
46009967700,46023970100,4.0
46009967700,46043969600,4.0
46009967700,46065977700,4.0
46009967700,46067968700,20.0
46009967700,46067968800,25.0
46009967700,46073974100,4.0
46009967700,46099000100,4.0
46009967700,46115000200,4.0
46009967700,46135966100,35.0
46009967700,46135966200,25.0
46009967700,46135966301,45.0
46009967700,46135966302,75.0
46011958600,27081201001,35.0
46011958600,27081201002,4.0
46011958600,27083360400,4.0
46011958600,27117460100,4.0
46011958600,27117460500,4.0
46011958600,27173970100,4.0
46011958600,27173970200,4.0
46011958600,46011958600,810.0
46011958600,46011958700,55.0
46011958600,46011958803,90.0
46011958600,46011958804,125.0
46011958600,46011958805,80.0
46011958600,46011958900,475.0
46011958600,46011959000,225.0
46011958600,46029954301,4.0
46011958600,46039953600,4.0
46011958600,46057955100,4.0
46011958600,46079960202,4.0
46011958600,46099000300,4.0
46011958600,46099000500,4.0
46011958600,46099000701,4.0
46011958600,46099000900,4.0
46011958600,46099001109,4.0
46011958600,46099001110,4.0
46011958600,46099010300,4.0
46011958600,46099010404,10.0
46011958600,46099010405,35.0
46011958600,46109940400,4.0
46011958600,55025001101,4.0
46011958700,02090001000,4.0
46011958700,13063980000,4.0
46011958700,27059130100,4.0
46011958700,46011958600,300.0
46011958700,46011958700,800.0
46011958700,46011958803,85.0
46011958700,46011958804,100.0
46011958700,46011958805,115.0
