Otract,Dtract,EST
47001020100,47001020100,315.0
47001020100,47001020202,140.0
47001020100,47001020400,55.0
47001020100,47001020500,25.0
47001020100,47001020902,20.0
47001020100,47001021100,15.0
47001020100,47001021202,15.0
47001020100,47001021301,10.0
47001020100,47001980100,140.0
47001020100,47009010301,15.0
47001020100,47013950602,4.0
47001020100,47093000100,4.0
47001020100,47093001700,10.0
47001020100,47093001900,20.0
47001020100,47093002600,20.0
47001020100,47093002900,25.0
47001020100,47093003801,10.0
47001020100,47093004200,25.0
47001020100,47093004300,4.0
47001020100,47093004404,20.0
47001020100,47093004610,4.0
47001020100,47093004611,25.0
47001020100,47093004800,10.0
47001020100,47093005203,15.0
47001020100,47093005401,10.0
47001020100,47093005706,20.0
47001020100,47093005803,60.0
47001020100,47093005807,60.0
47001020100,47093005813,20.0
47001020100,47093005908,105.0
47001020100,47093005910,15.0
47001020100,47093005911,25.0
47001020100,47093006103,10.0
47001020100,47093006104,10.0
47001020100,47093006502,20.0
47001020100,47093006901,10.0
47001020100,47129110300,15.0
47001020100,47145030203,45.0
47001020100,47145030402,25.0
47001020100,47157022600,10.0
47001020201,17031828402,10.0
47001020201,32003002837,10.0
47001020201,41067032414,25.0
47001020201,47001020100,100.0
47001020201,47001020201,355.0
47001020201,47001020202,135.0
47001020201,47001020300,10.0
47001020201,47001020400,135.0
47001020201,47001020500,15.0
47001020201,47001020600,15.0
47001020201,47001020901,4.0
47001020201,47001020902,15.0
47001020201,47001021100,10.0
47001020201,47001980100,495.0
47001020201,47009010200,10.0
47001020201,47009010301,20.0
47001020201,47009010302,40.0
47001020201,47009010400,15.0
47001020201,47009010500,15.0
47001020201,47035970502,4.0
47001020201,47065003000,25.0
47001020201,47065003400,20.0
47001020201,47093000100,45.0
47001020201,47093001600,25.0
47001020201,47093003700,10.0
47001020201,47093003801,15.0
47001020201,47093004200,25.0
47001020201,47093004403,20.0
47001020201,47093004606,4.0
47001020201,47093004611,25.0
47001020201,47093004615,15.0
47001020201,47093005000,10.0
47001020201,47093005501,30.0
47001020201,47093005704,10.0
47001020201,47093005706,30.0
47001020201,47093005803,15.0
47001020201,47093005807,45.0
47001020201,47093005907,10.0
47001020201,47093005908,10.0
47001020201,47093005911,10.0
47001020201,47093006206,30.0
47001020201,47093006207,15.0
47001020201,47093007000,30.0
47001020201,47093007100,60.0
47001020201,47105060301,4.0
47001020201,47129110300,20.0
47001020201,47155080202,10.0
47001020202,37119006403,4.0
47001020202,47001020100,90.0
47001020202,47001020201,4.0
47001020202,47001020202,170.0
47001020202,47001020400,90.0
47001020202,47001020500,40.0
47001020202,47001020901,20.0
47001020202,47001021301,20.0
47001020202,47001980100,305.0
47001020202,47009011201,30.0
47001020202,47031980100,4.0
47001020202,47089070300,15.0
47001020202,47093000100,40.0
47001020202,47093000800,4.0
47001020202,47093000901,4.0
47001020202,47093001500,45.0
47001020202,47093003700,4.0
47001020202,47093003802,60.0
47001020202,47093004403,10.0
47001020202,47093004501,25.0
47001020202,47093004607,20.0
47001020202,47093004610,15.0
47001020202,47093004611,10.0
47001020202,47093004800,70.0
47001020202,47093005807,10.0
47001020202,47093005907,4.0
47001020202,47093005908,65.0
47001020202,47093005910,10.0
47001020202,47093006001,120.0
47001020202,47093006104,4.0
47001020202,47093006205,35.0
47001020202,47093006901,4.0
47001020202,47105060301,40.0
47001020300,47001020100,135.0
47001020300,47001020202,170.0
47001020300,47001020300,85.0
47001020300,47001020400,150.0
47001020300,47001020500,20.0
47001020300,47001020901,4.0
47001020300,47001021002,4.0
47001020300,47001021201,20.0
47001020300,47001021202,60.0
47001020300,47001021301,10.0
47001020300,47001980100,215.0
47001020300,47009010100,4.0
47001020300,47009010500,15.0
47001020300,47065011206,4.0
47001020300,47093000100,4.0
47001020300,47093000902,15.0
47001020300,47093002200,15.0
47001020300,47093002300,10.0
47001020300,47093003502,15.0
47001020300,47093003801,20.0
47001020300,47093004300,4.0
47001020300,47093004403,30.0
47001020300,47093004404,25.0
47001020300,47093004607,15.0
47001020300,47093004611,15.0
47001020300,47093004615,4.0
47001020300,47093004800,40.0
47001020300,47093005401,30.0
47001020300,47093005706,30.0
47001020300,47093005803,35.0
47001020300,47093005807,10.0
47001020300,47093005910,20.0
47001020300,47093005911,30.0
47001020300,47093005912,10.0
47001020300,47093007000,20.0
47001020300,47129110400,15.0
47001020300,47143975200,4.0
47001020300,47145030206,10.0
47001020300,47145030600,10.0
47001020300,47145980100,45.0
47001020400,06081984300,15.0
47001020400,47001020100,180.0
47001020400,47001020201,35.0
47001020400,47001020202,170.0
47001020400,47001020400,220.0
47001020400,47001020500,30.0
47001020400,47001020902,45.0
47001020400,47001021202,45.0
47001020400,47001980100,75.0
47001020400,47009010301,15.0
47001020400,47009010400,15.0
47001020400,47013950400,20.0
47001020400,47063100700,30.0
47001020400,47093000100,15.0
47001020400,47093002200,15.0
47001020400,47093002700,15.0
47001020400,47093003502,45.0
47001020400,47093003801,4.0
47001020400,47093003802,35.0
47001020400,47093004100,20.0
47001020400,47093004611,110.0
47001020400,47093004615,15.0
47001020400,47093004800,20.0
47001020400,47093005301,20.0
47001020400,47093005704,30.0
47001020400,47093005709,15.0
47001020400,47093005803,75.0
47001020400,47093005813,20.0
47001020400,47093005908,100.0
47001020400,47093005910,25.0
47001020400,47093005911,15.0
47001020400,47093006002,20.0
47001020400,47093006502,15.0
47001020400,47093007000,15.0
47001020400,47105060301,15.0
47001020500,37119001802,10.0
47001020500,47001020100,310.0
47001020500,47001020201,15.0
47001020500,47001020202,50.0
47001020500,47001020400,90.0
47001020500,47001020500,330.0
47001020500,47001020600,20.0
47001020500,47001020800,40.0
47001020500,47001020902,50.0
47001020500,47001021002,4.0
47001020500,47001021202,110.0
47001020500,47001021304,15.0
47001020500,47001980100,60.0
47001020500,47009011201,30.0
47001020500,47029920501,4.0
47001020500,47029920600,10.0
