Otract,Dtract,EST
48001950100,04013108602,4.0
48001950100,12086009903,30.0
48001950100,40109106501,15.0
48001950100,48001950100,210.0
48001950100,48001950402,20.0
48001950100,48001950500,10.0
48001950100,48001950600,85.0
48001950100,48001950700,35.0
48001950100,48001950800,10.0
48001950100,48001950901,40.0
48001950100,48001951002,45.0
48001950100,48001951100,15.0
48001950100,48027021601,10.0
48001950100,48073950500,10.0
48001950100,48073950600,4.0
48001950100,48073950700,4.0
48001950100,48183001100,4.0
48001950100,48183010600,35.0
48001950100,48213950202,10.0
48001950100,48213950303,10.0
48001950100,48213951201,4.0
48001950100,48213951300,30.0
48001950100,48213951401,25.0
48001950100,48213951402,10.0
48001950100,48225950101,15.0
48001950100,48257050601,25.0
48001950100,48329010129,4.0
48001950100,48329010200,10.0
48001950100,48423000500,20.0
48001950100,48423000700,40.0
48001950100,48423000900,20.0
48001950100,48423001102,15.0
48001950100,48423001408,4.0
48001950100,48423001502,10.0
48001950100,48423001608,15.0
48001950100,48423001803,10.0
48001950100,48423001909,4.0
48001950100,48423001911,10.0
48001950100,48423001913,10.0
48001950100,48423001917,25.0
48001950100,48423002003,30.0
48001950100,48423002004,10.0
48001950100,48423002010,20.0
48001950100,48423002011,15.0
48001950100,48423002013,15.0
48001950100,48467950801,4.0
48001950401,48001950401,4.0
48001950401,48001950901,4.0
48001950401,48179950100,4.0
48001950401,48213950801,4.0
48001950500,48001950100,10.0
48001950500,48001950402,15.0
48001950500,48001950500,160.0
48001950500,48001950600,50.0
48001950500,48001950700,100.0
48001950500,48001950800,300.0
48001950500,48001950901,45.0
48001950500,48001951001,10.0
48001950500,48001951002,4.0
48001950500,48073950600,4.0
48001950500,48213950601,4.0
48001950500,48423000100,10.0
48001950500,48423002006,4.0
48001950500,48439105009,4.0
48001950500,48439105800,4.0
48001950500,48439110204,15.0
48001950600,48001950100,100.0
48001950600,48001950402,20.0
48001950600,48001950500,30.0
48001950600,48001950600,290.0
48001950600,48001950700,320.0
48001950600,48001950800,205.0
48001950600,48001950901,140.0
48001950600,48097000400,4.0
48001950600,48213950302,10.0
48001950600,48423001803,45.0
48001950600,48423001906,25.0
48001950600,48423001915,15.0
48001950700,48001950402,10.0
48001950700,48001950500,20.0
48001950700,48001950600,95.0
48001950700,48001950700,60.0
48001950700,48001950800,160.0
48001950700,48001950901,30.0
48001950700,48001951002,4.0
48001950700,48001951100,10.0
48001950700,48073950801,4.0
48001950700,48073950900,105.0
48001950700,48113014159,4.0
48001950700,48257050703,40.0
48001950700,48329010126,4.0
48001950700,48423001608,4.0
48001950700,48439114013,20.0
48001950800,48001950100,40.0
48001950800,48001950500,145.0
48001950800,48001950600,265.0
48001950800,48001950700,570.0
48001950800,48001950800,620.0
48001950800,48001950901,175.0
48001950800,48001951002,65.0
48001950800,48073950700,40.0
48001950800,48289950101,4.0
48001950800,48289950102,20.0
48001950800,48423001807,4.0
48001950800,48423002101,30.0
48001950901,48001950500,65.0
48001950901,48001950600,30.0
48001950901,48001950700,60.0
48001950901,48001950800,205.0
48001950901,48001950901,85.0
48001950901,48001950902,65.0
48001950901,48001951002,30.0
48001950901,48039660302,10.0
48001950901,48183001100,4.0
48001950901,48201100001,4.0
48001950901,48201323000,4.0
48001950901,48201510701,15.0
48001950901,48213950301,20.0
48001950901,48213951300,10.0
48001950901,48289950101,20.0
48001950901,48423000600,10.0
48001950901,48423001701,40.0
48001950901,48423001917,35.0
48001950901,48423002200,10.0
48001950901,48439113122,45.0
48001950902,40143007617,4.0
48001950902,48001950100,4.0
48001950902,48001950500,75.0
48001950902,48001950600,215.0
48001950902,48001950700,40.0
48001950902,48001950800,115.0
48001950902,48001950901,140.0
48001950902,48001950902,65.0
48001950902,48001951001,4.0
48001950902,48073950900,35.0
48001950902,48113002100,120.0
48001950902,48183000900,15.0
48001950902,48201431401,10.0
48001950902,48213950301,4.0
48001950902,48213950601,4.0
48001950902,48213951300,30.0
48001950902,48225950101,75.0
48001950902,48289950101,40.0
48001950902,48289950102,10.0
48001950902,48423000600,45.0
48001951001,48001950500,15.0
48001951001,48001950600,110.0
48001951001,48001950700,40.0
48001951001,48001950800,65.0
48001951001,48001950901,60.0
48001951001,48001950902,4.0
48001951001,48001951001,250.0
48001951001,48001951002,55.0
48001951001,48113019052,15.0
48001951001,48201553401,15.0
48001951001,48213950303,60.0
48001951001,48213951300,90.0
48001951001,48225950300,60.0
48001951001,48225950500,15.0
48001951001,48363000800,15.0
48001951001,48423001910,4.0
48001951002,22033003000,20.0
48001951002,48001950500,75.0
48001951002,48001950600,110.0
48001951002,48001950700,80.0
48001951002,48001950800,190.0
48001951002,48001950901,120.0
48001951002,48001951001,30.0
48001951002,48001951002,115.0
48001951002,48041000104,45.0
48001951002,48213951300,15.0
48001951002,48225950101,4.0
48001951002,48225950500,4.0
48001951002,48423000700,4.0
48001951002,48423001300,4.0
48001951002,48423002004,15.0
48001951002,48423002010,20.0
48001951002,48423002200,4.0
48001951100,48001950402,75.0
48001951100,48001950500,30.0
48001951100,48001950600,55.0
48001951100,48001950700,45.0
48001951100,48001950800,30.0
48001951100,48001950901,20.0
48001951100,48001951001,25.0
48001951100,48001951100,100.0
48001951100,48073950400,20.0
48001951100,48113013727,15.0
48001951100,48183001100,4.0
48001951100,48213950302,15.0
48001951100,48213950303,30.0
48001951100,48213950903,15.0
48001951100,48213951201,50.0
48001951100,48213951300,55.0
48001951100,48251130800,25.0
48001951100,48329010117,145.0
48001951100,48423000400,45.0
48001951100,48423000600,25.0
48001951100,48423000800,4.0
48001951100,48423001806,40.0
48001951100,48423001906,10.0
48001951100,48423001915,35.0
48003950100,35025000600,4.0
48003950100,35025000800,10.0
48003950100,48003950100,80.0
48003950100,48003950200,220.0
48003950100,48003950300,10.0
48003950100,48003950400,80.0
48003950100,48135001100,4.0
48003950100,48135001300,10.0
48003950100,48135002200,20.0
48003950100,48135002400,10.0
48003950100,48135003004,4.0
48003950100,48135003100,10.0
48003950100,48329000200,75.0
48003950100,48329001400,15.0
48003950100,48329010107,10.0
48003950100,48329010118,10.0
48003950100,48329010126,20.0
48003950100,48329010128,10.0
48003950100,48329010200,25.0
48003950100,48329980000,15.0
48003950200,35025000800,75.0
48003950200,48003950100,270.0
48003950200,48003950200,825.0
48003950200,48003950300,550.0
48003950200,48003950400,115.0
48003950200,48135000400,4.0
48003950200,48135000600,10.0
48003950200,48135000800,35.0
48003950200,48135001800,30.0
48003950200,48135002300,10.0
48003950200,48135002503,15.0
48003950200,48135002803,25.0
48003950200,48135003003,35.0
48003950200,48135003100,40.0
48003950200,48329000200,15.0
48003950200,48329001500,15.0
48003950200,48329010108,45.0
48003950200,48329010119,30.0
48003950200,48329010121,15.0
48003950200,48329010125,20.0
48003950200,48329010126,15.0
48003950200,48329010128,125.0
48003950200,48329010129,50.0
48003950300,48003950100,125.0
48003950300,48003950200,595.0
48003950300,48003950300,280.0
48003950300,48135000700,20.0
48003950300,48135001500,30.0
48003950300,48135001800,10.0
48003950300,48135002300,45.0
48003950300,48135002503,25.0
48003950300,48135002701,15.0
48003950300,48135003004,30.0
48003950300,48165950201,4.0
48003950300,48165950300,4.0
48003950300,48329001100,10.0
48003950300,48329001700,20.0
48003950300,48329010106,10.0
48003950300,48329010117,10.0
48003950300,48329010119,35.0
48003950300,48329010125,35.0
48003950300,48329010126,30.0
48003950300,48329010128,10.0
48003950300,48329010200,4.0
48003950400,48003950100,105.0
