Otract,Dtract,EST
49001100100,38017000601,10.0
49001100100,49001100100,515.0
49001100100,49001100200,20.0
49001100100,49021110502,70.0
49001100100,49049001202,15.0
49001100200,49001100100,40.0
49001100200,49001100200,235.0
49001100200,49021110202,4.0
49001100200,49021110502,4.0
49001100200,49021110601,4.0
49001100200,49021110702,4.0
49001100200,49021110703,4.0
49001100200,49035115108,4.0
49001100200,49035980000,10.0
49003960100,08031015400,10.0
49003960100,16031950300,10.0
49003960100,49003960100,380.0
49003960100,49003960200,50.0
49003960100,49003960301,70.0
49003960100,49003960302,70.0
49003960100,49003960400,120.0
49003960100,49003960500,45.0
49003960100,49003960601,15.0
49003960100,49003960701,45.0
49003960100,49003960702,4.0
49003960100,49003960801,4.0
49003960100,49003960802,4.0
49003960100,49005000401,15.0
49003960100,49005000403,25.0
49003960100,49005000502,4.0
49003960100,49005000602,4.0
49003960100,49005000702,20.0
49003960100,49005000800,4.0
49003960100,49011125307,4.0
49003960100,49011125809,15.0
49003960100,49011125907,4.0
49003960100,49011126002,25.0
49003960100,49011980000,20.0
49003960100,49035102900,4.0
49003960100,49035112609,4.0
49003960100,49035112918,4.0
49003960100,49035113312,4.0
49003960100,49035113906,4.0
49003960100,49035114100,15.0
49003960100,49035114500,4.0
49003960100,49057200302,15.0
49003960100,49057200400,40.0
49003960100,49057201100,10.0
49003960100,49057201900,50.0
49003960100,49057202000,4.0
49003960100,49057210304,4.0
49003960100,49057210405,4.0
49003960100,49057210518,4.0
49003960100,49057210600,4.0
49003960100,49057210704,4.0
49003960200,16041970200,4.0
49003960200,47065012100,4.0
49003960200,48201100001,4.0
49003960200,49003960100,35.0
49003960200,49003960200,430.0
49003960200,49003960301,235.0
49003960200,49003960302,140.0
49003960200,49003960400,120.0
49003960200,49003960500,80.0
49003960200,49003960601,45.0
49003960200,49003960602,15.0
49003960200,49003960701,125.0
49003960200,49003960702,25.0
49003960200,49003960801,10.0
49003960200,49003960802,20.0
49003960200,49005000101,10.0
49003960200,49005000202,4.0
49003960200,49005000302,55.0
49003960200,49005000401,15.0
49003960200,49005000403,4.0
49003960200,49005000502,80.0
49003960200,49005000602,65.0
49003960200,49005000702,45.0
49003960200,49005000800,25.0
49003960200,49005001002,70.0
49003960200,49005001101,20.0
49003960200,49005001102,10.0
49003960200,49005001300,15.0
49003960200,49011125600,10.0
49003960200,49011125701,10.0
49003960200,49011125801,10.0
49003960200,49011126002,4.0
49003960200,49011126600,4.0
49003960200,49011127002,4.0
49003960200,49011980000,40.0
49003960200,49035100100,10.0
49003960200,49035100306,10.0
49003960200,49035101402,4.0
49003960200,49035102501,4.0
49003960200,49035102802,4.0
49003960200,49035102900,10.0
49003960200,49035103600,4.0
49003960200,49035114000,4.0
49003960200,49035114500,15.0
49003960200,49049000709,4.0
49003960200,49057200202,10.0
49003960200,49057200203,4.0
49003960200,49057200204,15.0
49003960200,49057200302,4.0
49003960200,49057200500,4.0
49003960200,49057200800,4.0
49003960200,49057201100,10.0
49003960200,49057201500,15.0
49003960200,49057201900,85.0
49003960200,49057202000,15.0
49003960200,49057210306,4.0
49003960200,49057210404,30.0
49003960200,49057210405,20.0
49003960200,49057210408,4.0
49003960200,49057210511,4.0
49003960200,49057210518,35.0
49003960200,49057210600,4.0
49003960200,49057211201,4.0
49003960200,53005010705,4.0
49003960301,49003960100,35.0
49003960301,49003960200,100.0
49003960301,49003960301,415.0
49003960301,49003960302,150.0
49003960301,49003960400,115.0
49003960301,49003960500,120.0
49003960301,49003960602,4.0
49003960301,49003960701,55.0
49003960301,49003960702,40.0
49003960301,49003960802,30.0
49003960301,49005000202,15.0
49003960301,49005000302,10.0
49003960301,49005000502,30.0
49003960301,49005000602,4.0
49003960301,49005000800,25.0
49003960301,49005000900,25.0
49003960301,49005001101,20.0
49003960301,49005001300,10.0
49003960301,49011125104,4.0
49003960301,49011125409,4.0
49003960301,49011125410,4.0
49003960301,49011125701,4.0
49003960301,49011125804,65.0
49003960301,49011125807,4.0
49003960301,49011126101,20.0
49003960301,49011126204,4.0
49003960301,49011126500,30.0
49003960301,49011127100,4.0
49003960301,49011980000,20.0
49003960301,49035113307,4.0
49003960301,49057201900,4.0
49003960301,49057202000,15.0
49003960301,49057210306,25.0
49003960301,49057210408,105.0
49003960301,49057210518,15.0
49003960302,49003960200,205.0
49003960302,49003960301,300.0
49003960302,49003960302,395.0
49003960302,49003960400,65.0
49003960302,49003960500,15.0
49003960302,49003960601,50.0
49003960302,49003960701,90.0
49003960302,49003960802,50.0
49003960302,49005000302,55.0
49003960302,49005000502,10.0
49003960302,49005001202,15.0
49003960302,49005001402,20.0
49003960302,49011125103,20.0
49003960302,49011126406,15.0
49003960302,49011980000,100.0
49003960302,49035113312,15.0
49003960302,49057200100,15.0
49003960302,49057200302,15.0
49003960302,49057200500,45.0
49003960302,49057201100,20.0
49003960302,49057201500,20.0
49003960302,49057201800,30.0
49003960302,49057202000,20.0
49003960302,49057210408,25.0
49003960302,49057210518,60.0
49003960400,20173006600,4.0
49003960400,49003960100,10.0
49003960400,49003960200,60.0
