Otract,Dtract,EST
51001090101,24045010101,25.0
51001090101,24047951500,20.0
51001090101,24510060400,15.0
51001090101,42021000700,10.0
51001090101,51001090101,290.0
51001090101,51001090102,80.0
51001090101,51001090201,10.0
51001090101,51001090202,15.0
51001090101,51001090300,35.0
51001090101,51001090500,15.0
51001090101,51001980200,15.0
51001090102,24045010503,10.0
51001090102,24047951000,10.0
51001090102,51001090101,65.0
51001090102,51001090102,145.0
51001090102,51001090202,20.0
51001090102,51001090402,15.0
51001090102,51001090500,45.0
51001090201,24045010603,70.0
51001090201,24047950900,4.0
51001090201,24047951300,55.0
51001090201,24047951400,15.0
51001090201,24047951500,95.0
51001090201,51001090101,40.0
51001090201,51001090102,65.0
51001090201,51001090201,25.0
51001090201,51001090202,10.0
51001090201,51001090402,35.0
51001090201,51001090600,15.0
51001090201,51001090800,30.0
51001090201,51059482203,35.0
51001090202,24039930101,20.0
51001090202,24045000400,15.0
51001090202,24045010101,15.0
51001090202,24047951500,65.0
51001090202,51001090101,85.0
51001090202,51001090102,110.0
51001090202,51001090201,15.0
51001090202,51001090202,320.0
51001090202,51001090300,55.0
51001090202,51001090401,25.0
51001090202,51001090500,20.0
51001090202,51001090700,40.0
51001090300,12099003000,4.0
51001090300,24039930101,10.0
51001090300,24045010101,4.0
51001090300,24045010503,4.0
51001090300,24047951400,4.0
51001090300,24047951500,75.0
51001090300,51001090101,35.0
51001090300,51001090201,4.0
51001090300,51001090202,4.0
51001090300,51001090300,125.0
51001090300,51001090401,4.0
51001090300,51001090402,35.0
51001090300,51001090500,45.0
51001090300,51001090600,20.0
51001090300,51001090700,10.0
51001090300,51620090100,4.0
51001090401,24045010101,4.0
51001090401,24045010606,60.0
51001090401,36047005302,65.0
51001090401,51001090101,15.0
51001090401,51001090102,15.0
51001090401,51001090202,20.0
51001090401,51001090300,55.0
51001090401,51001090401,220.0
51001090401,51001090402,40.0
51001090401,51001090500,350.0
51001090401,51001090600,45.0
51001090401,51001090700,65.0
51001090401,51001090800,20.0
51001090401,51041100107,4.0
51001090401,51131930100,20.0
51001090401,51131930200,4.0
51001090402,24027605105,4.0
51001090402,24510250600,4.0
51001090402,51001090102,4.0
51001090402,51001090201,4.0
51001090402,51001090300,10.0
51001090402,51001090401,4.0
51001090402,51001090402,180.0
51001090402,51001090500,510.0
51001090402,51001090600,25.0
51001090402,51001090700,35.0
51001090402,51001090800,15.0
51001090402,51131930100,4.0
51001090500,24045000400,15.0
51001090500,24045010101,4.0
51001090500,24047950900,4.0
51001090500,24047951200,30.0
51001090500,24047951500,30.0
51001090500,51001090102,4.0
51001090500,51001090201,10.0
51001090500,51001090202,10.0
51001090500,51001090300,50.0
51001090500,51001090401,4.0
51001090500,51001090402,50.0
51001090500,51001090500,265.0
51001090500,51001090600,65.0
51001090500,51001090700,40.0
