Otract,Dtract,EST
50001960100,36005007600,4.0
50001960100,50001960100,435.0
50001960100,50001960200,20.0
50001960100,50001960300,55.0
50001960100,50001960400,15.0
50001960100,50001960500,175.0
50001960100,50001960600,4.0
50001960100,50001960700,45.0
50001960100,50001960800,105.0
50001960100,50001960900,4.0
50001960100,50001961000,25.0
50001960100,50007000100,4.0
50001960100,50007000300,10.0
50001960100,50007000600,20.0
50001960100,50007000800,10.0
50001960100,50007000900,10.0
50001960100,50007001000,45.0
50001960100,50007001100,10.0
50001960100,50007002104,15.0
50001960100,50007002201,30.0
50001960100,50007002202,4.0
50001960100,50007002301,10.0
50001960100,50007002304,4.0
50001960100,50007002400,4.0
50001960100,50007002501,4.0
50001960100,50007002502,4.0
50001960100,50007002601,15.0
50001960100,50007002602,45.0
50001960100,50007002701,10.0
50001960100,50007002702,20.0
50001960100,50007002800,4.0
50001960100,50007003000,25.0
50001960100,50007003101,130.0
50001960100,50007003301,4.0
50001960100,50007003304,85.0
50001960100,50007003401,15.0
50001960100,50007003402,75.0
50001960100,50007003501,4.0
50001960100,50007003502,85.0
50001960100,50007003600,40.0
50001960100,50007003900,100.0
50001960100,50007004002,130.0
50001960100,50007004200,4.0
50001960100,50007980000,15.0
50001960100,50015953600,10.0
50001960100,50021962200,4.0
50001960100,50021962700,4.0
50001960100,50023954300,25.0
50001960100,50023954500,10.0
50001960100,50023954600,4.0
50001960100,50023954800,4.0
50001960100,50023954900,4.0
50001960100,50023955600,10.0
50001960100,50023955800,10.0
50001960200,34013980200,30.0
50001960200,36031961201,4.0
50001960200,36061011300,4.0
50001960200,36103200901,4.0
50001960200,36113076000,15.0
50001960200,36119008602,4.0
50001960200,36119011101,4.0
50001960200,50001960200,285.0
50001960200,50001960300,100.0
50001960200,50001960400,20.0
50001960200,50001960500,10.0
50001960200,50001960600,4.0
50001960200,50001960700,30.0
50001960200,50001960800,35.0
50001960200,50001960900,10.0
50001960200,50001961000,4.0
50001960200,50007000200,4.0
50001960200,50007000300,4.0
50001960200,50007000800,4.0
50001960200,50007000900,10.0
50001960200,50007001000,60.0
50001960200,50007001100,15.0
50001960200,50007002201,30.0
50001960200,50007002304,10.0
50001960200,50007002602,10.0
50001960200,50007002702,4.0
50001960200,50007003101,45.0
50001960200,50007003304,20.0
50001960200,50007003401,65.0
50001960200,50007003402,25.0
50001960200,50007003502,10.0
50001960200,50007003600,30.0
50001960200,50007003900,45.0
50001960200,50007004002,60.0
50001960200,50007004100,4.0
50001960200,50021963600,50.0
50001960200,50023954500,4.0
50001960200,50023954800,4.0
50001960200,50023954900,4.0
50001960200,50025967600,4.0
50001960300,36031961202,20.0
50001960300,50001960200,65.0
50001960300,50001960300,485.0
50001960300,50001960400,40.0
50001960300,50001960600,4.0
50001960300,50001960700,50.0
50001960300,50001960800,80.0
50001960300,50001960900,20.0
50001960300,50001961000,4.0
50001960300,50007000800,10.0
50001960300,50007001000,40.0
50001960300,50007001100,10.0
50001960300,50007002201,50.0
50001960300,50007002303,15.0
50001960300,50007002701,10.0
50001960300,50007003101,20.0
50001960300,50007003301,4.0
50001960300,50007003304,40.0
50001960300,50007003401,75.0
50001960300,50007003402,20.0
50001960300,50007003501,25.0
50001960300,50007003600,10.0
50001960300,50007003900,65.0
50001960300,50007004002,50.0
50001960300,50011010700,4.0
50001960400,06037463000,4.0
50001960400,17031320102,4.0
50001960400,22033003806,4.0
50001960400,24003751200,4.0
50001960400,25017321302,4.0
50001960400,33015056000,4.0
50001960400,34025808600,4.0
50001960400,36031961202,4.0
50001960400,36031961300,4.0
50001960400,36061001502,4.0
50001960400,36115090000,10.0
50001960400,50001960100,15.0
50001960400,50001960200,60.0
50001960400,50001960300,205.0
50001960400,50001960400,605.0
50001960400,50001960500,95.0
50001960400,50001960600,4.0
50001960400,50001960700,120.0
50001960400,50001960800,400.0
50001960400,50001960900,30.0
50001960400,50007000800,4.0
50001960400,50007000900,4.0
50001960400,50007001000,20.0
50001960400,50007001100,4.0
50001960400,50007002101,4.0
50001960400,50007002104,15.0
50001960400,50007002201,25.0
50001960400,50007002301,4.0
50001960400,50007002601,15.0
50001960400,50007002602,20.0
50001960400,50007002701,4.0
50001960400,50007002702,15.0
50001960400,50007002800,4.0
50001960400,50007002900,4.0
50001960400,50007003000,10.0
50001960400,50007003101,55.0
50001960400,50007003102,4.0
50001960400,50007003301,4.0
50001960400,50007003304,40.0
50001960400,50007003401,15.0
50001960400,50007003402,50.0
50001960400,50007003501,10.0
50001960400,50007003502,15.0
50001960400,50007003503,4.0
50001960400,50007003600,10.0
50001960400,50007003900,60.0
50001960400,50007004002,40.0
50001960400,50007004100,4.0
50001960400,50007980000,4.0
50001960400,50021962200,4.0
50001960400,50021962700,4.0
50001960400,50021963300,4.0
50001960400,50021963600,4.0
50001960400,50021963700,4.0
50001960400,50021963800,4.0
50001960400,50023954300,4.0
50001960400,50023954400,4.0
50001960400,50023954600,4.0
50001960400,50023955100,4.0
50001960400,50023955700,4.0
50001960500,47157011800,15.0
50001960500,50001960100,30.0
50001960500,50001960200,50.0
50001960500,50001960300,115.0
50001960500,50001960400,15.0
50001960500,50001960500,675.0
50001960500,50001960600,30.0
50001960500,50001960700,25.0
50001960500,50001960800,140.0
50001960500,50001960900,15.0
50001960500,50001961000,30.0
50001960500,50007001000,25.0
50001960500,50007001100,15.0
50001960500,50007002201,85.0
50001960500,50007002301,20.0
50001960500,50007002303,20.0
50001960500,50007002502,35.0
50001960500,50007002602,25.0
50001960500,50007002701,10.0
50001960500,50007002702,25.0
50001960500,50007002800,10.0
50001960500,50007003101,65.0
50001960500,50007003401,15.0
50001960500,50007003402,20.0
50001960500,50007003502,45.0
50001960500,50007003600,40.0
50001960500,50007003900,25.0
50001960500,50007004200,10.0
50001960500,50021962200,15.0
50001960500,50023954400,15.0
50001960500,50023954600,4.0
50001960600,25025010500,4.0
50001960600,25025030302,4.0
50001960600,33011002600,4.0
50001960600,36061003300,4.0
50001960600,50001960100,10.0
50001960600,50001960200,15.0
50001960600,50001960300,15.0
50001960600,50001960400,25.0
50001960600,50001960500,100.0
50001960600,50001960600,410.0
50001960600,50001960700,55.0
50001960600,50001960800,140.0
50001960600,50001960900,4.0
50001960600,50001961000,4.0
50001960600,50007000300,4.0
50001960600,50007000600,4.0
50001960600,50007001000,15.0
50001960600,50007001100,4.0
50001960600,50007002201,15.0
50001960600,50007002501,4.0
50001960600,50007002602,4.0
50001960600,50007002701,4.0
50001960600,50007003000,4.0
50001960600,50007003101,15.0
50001960600,50007003301,4.0
50001960600,50007003402,4.0
50001960600,50007003502,4.0
50001960600,50007003600,4.0
50001960600,50007003900,10.0
50001960600,50007004002,4.0
50001960600,50007004100,4.0
50001960600,50007980000,15.0
50001960600,50011010700,4.0
50001960600,50017959400,4.0
50001960600,50021962100,65.0
50001960600,50021962200,10.0
50001960600,50021962700,4.0
50001960600,50021962800,4.0
50001960600,50021963200,4.0
50001960600,50021963300,4.0
50001960600,50021963400,4.0
50001960600,50021963600,4.0
50001960600,50023954400,4.0
50001960600,50023954500,4.0
50001960600,50023954600,4.0
50001960600,50023954800,10.0
50001960600,50023954900,4.0
50001960600,50023955000,10.0
50001960600,50023955400,4.0
50001960600,50023955502,4.0
50001960600,50023955600,30.0
50001960600,50023955700,35.0
50001960600,50023955800,4.0
50001960600,50027965100,10.0
50001960600,50027965400,4.0
50001960600,50027965502,4.0
50001960600,50027966100,4.0
50001960600,50027966800,45.0
50001960700,25009206800,10.0
50001960700,50001960300,40.0
50001960700,50001960400,30.0
50001960700,50001960500,60.0
50001960700,50001960700,470.0
50001960700,50001960800,410.0
50001960700,50001960900,20.0
50001960700,50007000300,10.0
50001960700,50007001000,10.0
50001960700,50007002201,85.0
50001960700,50007002602,20.0
50001960700,50007002702,25.0
50001960700,50007003000,20.0
50001960700,50007003101,30.0
50001960700,50007003304,20.0
50001960700,50007003502,10.0
50001960700,50007003900,30.0
50001960700,50021962200,15.0
50001960700,50021963100,4.0
50001960700,50021963300,15.0
50001960700,50027966800,10.0
50001960800,09001060100,10.0
50001960800,12115002003,15.0
50001960800,36031961201,20.0
50001960800,45041000201,4.0
50001960800,50001960100,4.0
50001960800,50001960200,20.0
50001960800,50001960300,10.0
50001960800,50001960400,10.0
50001960800,50001960500,35.0
50001960800,50001960700,60.0
50001960800,50001960800,0.0
50001960800,50001961000,20.0
50001960800,50007002104,15.0
50001960800,50007002201,25.0
50001960800,50021963200,10.0
50001960800,50021963600,10.0
50001960800,50023955600,4.0
50001960900,09009345100,4.0
50001960900,09009361402,10.0
50001960900,25011040200,4.0
50001960900,25017368400,4.0
50001960900,25025010103,4.0
50001960900,33011200400,4.0
50001960900,36019101600,4.0
50001960900,36029016500,4.0
50001960900,36031961201,4.0
50001960900,36059302101,4.0
50001960900,36103146607,10.0
50001960900,36103147401,4.0
50001960900,50001960100,10.0
50001960900,50001960200,20.0
50001960900,50001960300,40.0
50001960900,50001960400,75.0
50001960900,50001960500,25.0
50001960900,50001960700,130.0
50001960900,50001960800,530.0
50001960900,50001960900,685.0
50001960900,50001961000,10.0
50001960900,50007000200,4.0
50001960900,50007000800,4.0
50001960900,50007001000,4.0
50001960900,50007001100,4.0
50001960900,50007002201,4.0
50001960900,50007002303,4.0
50001960900,50007002602,4.0
50001960900,50007002701,10.0
50001960900,50007002702,4.0
50001960900,50007003101,25.0
50001960900,50007003102,4.0
50001960900,50007003304,20.0
50001960900,50007003401,15.0
50001960900,50007003501,4.0
50001960900,50007003600,4.0
50001960900,50007003900,15.0
50001960900,50007004002,60.0
50001960900,50007004200,4.0
50001960900,50015953400,4.0
50001960900,50015953500,4.0
50001960900,50015953600,4.0
50001960900,50019951600,4.0
50001960900,50019951800,4.0
50001960900,50021962200,60.0
50001960900,50021962300,15.0
50001960900,50021962500,10.0
50001960900,50021962700,10.0
50001960900,50021962800,4.0
50001960900,50021963000,10.0
50001960900,50021963200,4.0
50001960900,50021963300,25.0
50001960900,50021963600,4.0
50001960900,50021963700,4.0
50001960900,50023954300,4.0
50001960900,50023954500,4.0
50001960900,50023954600,4.0
50001960900,50023954800,4.0
50001960900,50023955400,10.0
50001960900,50023955502,4.0
50001960900,50025967600,4.0
50001961000,36031961201,4.0
50001961000,50001960100,15.0
50001961000,50001960200,4.0
50001961000,50001960300,30.0
50001961000,50001960400,20.0
50001961000,50001960500,15.0
50001961000,50001960700,105.0
50001961000,50001960800,275.0
50001961000,50001960900,20.0
50001961000,50001961000,125.0
50001961000,50007003101,15.0
50001961000,50007003502,10.0
50001961000,50007003600,4.0
50001961000,50007003900,10.0
50001961000,50007004002,20.0
50001961000,50017959400,15.0
50001961000,50021962200,30.0
50001961000,50021962700,40.0
50001961000,50021962800,4.0
50001961000,50021963000,4.0
50001961000,50021963100,4.0
50001961000,50021963300,15.0
50001961000,50021963600,10.0
50001961000,50021964200,4.0
50001961000,50027966700,4.0
50003970401,20091053201,15.0
50003970401,25003935300,4.0
50003970401,25009210302,25.0
50003970401,25025071101,4.0
50003970401,36047050300,4.0
50003970401,36047090800,10.0
50003970401,50003970401,385.0
50003970401,50003970402,85.0
50003970401,50003970800,20.0
50003970401,50003971000,4.0
50003970401,50003971200,10.0
50003970401,50003971400,30.0
50003970401,50003971600,30.0
50003970401,50007003900,4.0
50003970401,50021963300,40.0
50003970402,25011041302,20.0
50003970402,50003970401,165.0
50003970402,50003970402,450.0
50003970402,50003970601,4.0
50003970402,50003970800,105.0
50003970402,50003971000,15.0
50003970402,50003971100,90.0
50003970402,50003971200,20.0
50003970402,50025967500,20.0
50003970402,50025968000,55.0
50003970500,33005971403,4.0
50003970500,36001000100,10.0
50003970500,36005023702,10.0
50003970500,36059302502,25.0
50003970500,36081141700,40.0
50003970500,36103112104,15.0
50003970500,36103135002,20.0
50003970500,50003970401,35.0
50003970500,50003970402,45.0
50003970500,50003970500,145.0
50003970500,50003971000,4.0
50003970500,50003971100,4.0
50003970500,50003971200,4.0
50003970500,50003971400,15.0
50003970500,50021963300,4.0
50003970500,50021963400,4.0
50003970500,50025967300,15.0
50003970500,50025967500,10.0
50003970500,50025967900,4.0
50003970500,50025968500,10.0
50003970500,50027966501,20.0
50003970500,50027966502,15.0
50003970500,50027966600,10.0
50003970601,09009166002,4.0
50003970601,09009171201,4.0
50003970601,09009171202,4.0
50003970601,09009348124,4.0
50003970601,09013530600,4.0
50003970601,25003900100,10.0
50003970601,25003900200,10.0
50003970601,25003900500,4.0
50003970601,25003900800,4.0
50003970601,25003900900,4.0
50003970601,25003901100,4.0
50003970601,25003911100,4.0
50003970601,25003913100,95.0
50003970601,25003914100,4.0
50003970601,25003920101,40.0
50003970601,25003920102,25.0
50003970601,25003921300,10.0
50003970601,25003921400,45.0
50003970601,25003921500,25.0
50003970601,25003922100,4.0
50003970601,25003922200,15.0
50003970601,25003924100,4.0
50003970601,25003925101,4.0
50003970601,25003925102,4.0
50003970601,25003931100,4.0
50003970601,25003931300,4.0
50003970601,25003935100,4.0
50003970601,25003935200,10.0
50003970601,25003935300,75.0
50003970601,25011040100,10.0
50003970601,25011040200,25.0
50003970601,25011041502,10.0
50003970601,25013800500,10.0
50003970601,25013810100,4.0
50003970601,25013811000,4.0
50003970601,25013812500,4.0
50003970601,25013813101,4.0
50003970601,25015820205,4.0
50003970601,25015822607,4.0
50003970601,25025080401,4.0
50003970601,25027731700,4.0
50003970601,34029710102,4.0
50003970601,36091061701,4.0
50003970601,36117020900,4.0
50003970601,49035980000,4.0
50003970601,50003970401,4.0
50003970601,50003970402,4.0
50003970601,50003970500,4.0
50003970601,50003970601,105.0
50003970601,50003970800,4.0
50003970601,50003970900,4.0
50003970601,50003971000,15.0
50003970601,50003971100,35.0
50003970601,50003971200,20.0
50003970601,50003971400,4.0
50003970601,50003971600,4.0
50003970601,50025967200,4.0
50003970601,50025967300,4.0
50003970601,50025967900,4.0
50003970601,50025968000,25.0
50003970601,50025968100,4.0
50003970601,50025968300,4.0
50003970601,50025968500,10.0
50003970601,50025968600,4.0
50003970601,50025968700,4.0
50003970800,25003900800,60.0
50003970800,36083052405,20.0
50003970800,36113070701,20.0
50003970800,36115092000,30.0
50003970800,50003970401,80.0
50003970800,50003970800,170.0
50003970800,50003970900,4.0
50003970800,50003971000,180.0
50003970800,50003971100,165.0
50003970800,50003971200,235.0
50003970800,50003971300,15.0
50003970800,50003971600,80.0
50003970800,50007003101,15.0
50003970900,25003900100,4.0
50003970900,25003900200,20.0
50003970900,25003920102,15.0
