Otract,Dtract,EST
53001950100,53001950100,465.0
53001950100,53001950200,35.0
53001950100,53001950301,4.0
53001950100,53001950303,4.0
53001950100,53001950400,20.0
53001950100,53001950500,10.0
53001950100,53005011001,10.0
53001950100,53011041203,10.0
53001950100,53021020102,4.0
53001950100,53021020201,4.0
53001950100,53021020608,4.0
53001950100,53021020802,10.0
53001950100,53025010100,15.0
53001950100,53025010800,4.0
53001950100,53025010903,10.0
53001950100,53025011001,10.0
53001950100,53025011002,10.0
53001950100,53043960400,4.0
53001950100,53063000400,10.0
53001950100,53063003500,15.0
53001950100,53063011103,10.0
53001950100,53063011701,4.0
53001950100,53063011900,4.0
53001950100,53063013800,4.0
53001950100,53063014002,4.0
53001950100,53075000900,4.0
53001950200,38017040800,4.0
53001950200,41059950100,4.0
53001950200,53001950100,65.0
53001950200,53001950200,90.0
53001950200,53001950303,4.0
53001950200,53001950400,4.0
53001950200,53001950500,20.0
53001950200,53005010816,4.0
53001950200,53005011900,4.0
53001950200,53021020202,4.0
53001950200,53021020700,4.0
53001950200,53021020802,40.0
53001950200,53025010200,4.0
53001950200,53025011001,4.0
53001950200,53025011002,25.0
53001950200,53025011102,4.0
53001950200,53025011300,4.0
53001950200,53063000900,10.0
53001950200,53063014001,4.0
53001950200,53063014100,15.0
53001950200,53071920000,10.0
53001950200,53075001000,4.0
53001950301,53001950200,10.0
53001950301,53001950301,15.0
53001950301,53001950302,45.0
53001950301,53001950400,35.0
53001950301,53001950500,25.0
53001950301,53025011401,25.0
53001950302,53001950100,10.0
53001950302,53001950301,40.0
53001950302,53001950302,40.0
53001950302,53001950400,70.0
53001950302,53001950500,175.0
53001950302,53021020202,10.0
53001950302,53021020608,20.0
53001950302,53021020802,20.0
53001950302,53077001602,4.0
53001950303,53001950301,65.0
53001950303,53001950303,135.0
53001950303,53001950400,105.0
53001950303,53001950500,60.0
53001950303,53005010400,10.0
53001950303,53021020801,65.0
53001950303,53025010100,40.0
53001950303,53025010700,25.0
53001950303,53025011002,120.0
53001950400,53001950301,40.0
53001950400,53001950302,30.0
53001950400,53001950400,305.0
53001950400,53001950500,160.0
53001950400,53021020102,10.0
53001950400,53021020802,4.0
53001950400,53025010700,15.0
53001950400,53025011001,4.0
53001950400,53025011405,10.0
53001950500,53001950100,45.0
53001950500,53001950301,95.0
53001950500,53001950302,35.0
53001950500,53001950400,255.0
53001950500,53001950500,475.0
53001950500,53005010100,35.0
53001950500,53021020102,25.0
53001950500,53021020603,10.0
53001950500,53021020802,15.0
53001950500,53025010401,20.0
53001950500,53025010500,45.0
53001950500,53025010600,30.0
53001950500,53025011300,4.0
53001950500,53025011404,50.0
53001950500,53025011405,45.0
53003960100,16069960200,10.0
53003960100,16069960300,385.0
53003960100,16069960400,4.0
53003960100,16069960500,155.0
53003960100,16069960600,55.0
53003960100,16069960700,20.0
53003960100,16069960900,20.0
53003960100,47037014400,4.0
53003960100,53003960100,225.0
53003960100,53003960200,20.0
53003960100,53003960300,230.0
53003960100,53003960400,20.0
53003960100,53003960500,145.0
53003960100,53003960600,50.0
53003960100,53023970300,4.0
53003960100,53033023807,4.0
53003960100,53075000100,10.0
53003960100,53075000602,25.0
53003960200,16057005400,15.0
53003960200,16069960300,350.0
53003960200,16069960400,70.0
53003960200,16069960500,60.0
53003960200,16069960600,115.0
53003960200,16069960700,45.0
53003960200,16069960800,30.0
53003960200,16069960900,30.0
53003960200,53003960100,100.0
53003960200,53003960200,485.0
53003960200,53003960300,220.0
53003960200,53003960500,140.0
53003960200,53003960600,40.0
53003960200,53071920200,70.0
53003960200,53075000400,10.0
53003960200,53075001000,175.0
53003960300,16055000602,10.0
53003960300,16069940000,30.0
53003960300,16069960300,255.0
53003960300,16069960400,45.0
53003960300,16069960500,95.0
53003960300,16069960600,140.0
53003960300,16069960700,20.0
53003960300,16069960800,4.0
53003960300,16069960900,25.0
53003960300,53003960100,55.0
53003960300,53003960200,35.0
53003960300,53003960300,430.0
53003960300,53003960400,65.0
53003960300,53003960500,45.0
53003960300,53003960600,30.0
53003960400,16069940000,10.0
53003960400,16069960300,160.0
53003960400,16069960400,15.0
53003960400,16069960500,45.0
53003960400,16069960600,80.0
53003960400,16069960700,30.0
53003960400,53003960100,30.0
53003960400,53003960200,4.0
53003960400,53003960300,170.0
53003960400,53003960400,50.0
53003960400,53003960500,25.0
53003960400,53033023300,4.0
53003960400,53075000400,4.0
53003960500,16057005102,65.0
53003960500,16069940000,10.0
53003960500,16069960300,180.0
53003960500,16069960400,20.0
53003960500,16069960500,200.0
53003960500,16069960600,175.0
53003960500,16069960700,45.0
53003960500,16069960800,25.0
53003960500,53003960200,35.0
53003960500,53003960300,305.0
53003960500,53003960500,155.0
53003960500,53075000100,15.0
53003960500,53075000201,4.0
53003960500,53075001000,25.0
53003960600,16069960300,160.0
53003960600,16069960400,20.0
53003960600,16069960500,75.0
53003960600,16069960600,100.0
53003960600,16069960700,15.0
53003960600,16069960800,20.0
53003960600,16069960900,30.0
53003960600,16069961000,20.0
53003960600,53003960100,40.0
53003960600,53003960200,65.0
53003960600,53003960300,345.0
53003960600,53003960400,15.0
53003960600,53003960500,140.0
53003960600,53003960600,150.0
53003960600,53075000201,15.0
53003960600,53075000602,20.0
53003960600,53075001000,20.0
53005010100,02020002812,4.0
53005010100,53005010100,590.0
53005010100,53005010201,135.0
53005010100,53005010203,340.0
53005010100,53005010300,55.0
53005010100,53005010400,20.0
53005010100,53005010500,260.0
53005010100,53005010600,170.0
53005010100,53005010701,10.0
53005010100,53005010809,45.0
53005010100,53005010815,10.0
53005010100,53005010816,10.0
53005010100,53005010819,20.0
53005010100,53005010901,155.0
53005010100,53005011002,10.0
53005010100,53005011100,70.0
53005010100,53005011300,10.0
53005010100,53005011701,40.0
53005010100,53005012000,40.0
53005010100,53021020102,10.0
53005010100,53021020201,10.0
53005010100,53021020300,20.0
53005010100,53021020404,10.0
53005010100,53021020501,10.0
53005010100,53021020700,15.0
53005010100,53021980100,20.0
53005010100,53033029604,25.0
53005010201,13067030355,20.0
53005010201,41071030601,20.0
53005010201,53005010100,215.0
53005010201,53005010201,440.0
53005010201,53005010203,565.0
53005010201,53005010204,25.0
53005010201,53005010300,40.0
53005010201,53005010400,15.0
53005010201,53005010500,205.0
53005010201,53005010600,95.0
53005010201,53005010703,10.0
53005010201,53005010809,135.0
53005010201,53005010816,10.0
53005010201,53005010817,30.0
53005010201,53005010818,100.0
53005010201,53005010820,25.0
53005010201,53005010901,85.0
53005010201,53005011002,55.0
53005010201,53005011300,10.0
53005010201,53005011501,20.0
53005010201,53005011506,40.0
53005010201,53005011900,4.0
53005010201,53005012000,95.0
53005010201,53021020102,4.0
53005010201,53021020401,70.0
53005010201,53021020501,20.0
53005010201,53021020605,35.0
53005010201,53021980100,30.0
53005010203,53005010100,210.0
53005010203,53005010201,135.0
53005010203,53005010203,655.0
53005010203,53005010300,200.0
53005010203,53005010400,65.0
53005010203,53005010500,80.0
53005010203,53005010600,125.0
53005010203,53005010703,4.0
53005010203,53005010809,30.0
53005010203,53005010816,85.0
53005010203,53005010817,15.0
53005010203,53005010820,10.0
53005010203,53005010901,90.0
53005010203,53005011300,55.0
53005010203,53005011505,40.0
53005010203,53005011600,20.0
53005010203,53005012000,55.0
53005010203,53021020101,35.0
53005010203,53021020102,15.0
53005010203,53021020201,25.0
53005010203,53021020202,40.0
53005010203,53021020300,75.0
53005010203,53021020605,30.0
53005010203,53021020607,50.0
53005010203,53063003602,20.0
53005010204,53005010100,70.0
53005010204,53005010201,265.0
53005010204,53005010203,60.0
53005010204,53005010204,115.0
53005010204,53005010500,80.0
53005010204,53005010600,60.0
53005010204,53005010809,70.0
53005010204,53005010814,20.0
53005010204,53005010815,70.0
53005010204,53005010818,35.0
53005010204,53005010820,10.0
53005010204,53005010901,40.0
53005010204,53005010902,50.0
53005010204,53005011002,105.0
53005010204,53005011100,15.0
53005010204,53005011300,25.0
53005010204,53021020201,10.0
53005010204,53021020202,4.0
53005010204,53021020300,65.0
53005010204,53021020404,20.0
53005010204,53021020607,50.0
53005010204,53039950101,15.0
53005010300,08077000400,25.0
53005010300,24031702502,25.0
53005010300,53005010100,10.0
53005010300,53005010201,175.0
53005010300,53005010203,260.0
53005010300,53005010300,265.0
53005010300,53005010500,365.0
53005010300,53005010600,45.0
53005010300,53005010708,40.0
53005010300,53005010809,65.0
53005010300,53005010810,35.0
53005010300,53005010818,145.0
53005010300,53005010820,40.0
53005010300,53005010901,100.0
53005010300,53005010902,70.0
53005010300,53005011002,50.0
53005010300,53005011202,30.0
53005010300,53005011506,55.0
53005010300,53005011701,15.0
53005010300,53005012000,60.0
53005010300,53013960200,15.0
53005010300,53021020102,90.0
53005010300,53021020202,25.0
53005010300,53021020401,30.0
53005010300,53021020402,45.0
53005010300,53021020503,30.0
53005010300,53021020504,25.0
53005010300,53021020603,25.0
53005010300,53021020606,20.0
53005010300,53021020700,35.0
53005010300,53033030801,30.0
53005010300,53071920701,15.0
53005010300,53077940006,150.0
53005010400,53005010100,60.0
53005010400,53005010201,65.0
53005010400,53005010203,110.0
53005010400,53005010204,15.0
53005010400,53005010400,160.0
53005010400,53005010500,230.0
53005010400,53005010600,60.0
53005010400,53005010703,10.0
53005010400,53005010708,15.0
53005010400,53005010809,65.0
53005010400,53005010810,15.0
