Otract,Dtract,EST
55001950100,55001950100,360.0
55001950100,55001950203,4.0
55001950100,55001950400,40.0
55001950100,55001950502,4.0
55001950100,55005000800,10.0
55001950100,55021970300,10.0
55001950100,55021970500,4.0
55001950100,55025003100,10.0
55001950100,55025010702,10.0
55001950100,55035000100,4.0
55001950100,55053960100,4.0
55001950100,55065970300,4.0
55001950100,55073000100,10.0
55001950100,55073000400,10.0
55001950100,55073000700,4.0
55001950100,55073000900,4.0
55001950100,55073001204,15.0
55001950100,55073001300,10.0
55001950100,55081950500,4.0
55001950100,55097960400,40.0
55001950100,55097960701,20.0
55001950100,55097960702,35.0
55001950100,55097960800,4.0
55001950100,55097961000,10.0
55001950100,55097961101,4.0
55001950100,55097961102,10.0
55001950100,55097961200,10.0
55001950100,55097961300,4.0
55001950100,55133203307,10.0
55001950100,55137960300,10.0
55001950100,55137960800,4.0
55001950100,55141010200,15.0
55001950100,55141010400,4.0
55001950100,55141010600,45.0
55001950100,55141010800,4.0
55001950100,55141010900,20.0
55001950100,55141011000,20.0
55001950100,55141011100,35.0
55001950100,55141011200,4.0
55001950100,55141011300,50.0
55001950100,55141011400,100.0
55001950100,55141011600,10.0
55001950100,55141011700,80.0
55001950201,17007010200,4.0
55001950201,17007010400,10.0
55001950201,17037002200,4.0
55001950201,27109000100,4.0
55001950201,27109000500,4.0
55001950201,27109001202,4.0
55001950201,55001950100,10.0
55001950201,55001950201,35.0
55001950201,55001950203,4.0
55001950201,55001950204,20.0
55001950201,55001950400,195.0
55001950201,55001950501,10.0
55001950201,55021970100,4.0
55001950201,55021970300,4.0
55001950201,55021971100,4.0
55001950201,55025001502,4.0
55001950201,55025001704,4.0
55001950201,55053960500,4.0
55001950201,55057100301,10.0
55001950201,55057100302,4.0
55001950201,55057100500,4.0
55001950201,55065970500,4.0
55001950201,55077960500,4.0
55001950201,55081950100,4.0
55001950201,55081950200,4.0
55001950201,55105003001,4.0
55001950201,55111000101,4.0
55001950201,55111000102,10.0
55001950201,55111000103,4.0
55001950201,55111000303,4.0
55001950201,55111001002,4.0
55001950201,55133201300,4.0
55001950201,55133202902,4.0
55001950201,55139001600,4.0
55001950201,55141011000,4.0
55001950201,55141011300,10.0
55001950201,55141011400,4.0
55001950203,55001950100,10.0
55001950203,55001950201,4.0
55001950203,55001950203,45.0
55001950203,55001950204,4.0
55001950203,55001950400,55.0
55001950203,55001950502,4.0
55001950203,55001950700,4.0
55001950203,55021970401,20.0
55001950203,55025003100,10.0
55001950203,55025010702,10.0
55001950203,55025011405,4.0
55001950203,55025012501,10.0
55001950203,55057100500,10.0
55001950203,55073000100,4.0
55001950203,55077960500,4.0
55001950203,55097960400,4.0
55001950203,55097960701,4.0
55001950203,55097960702,4.0
55001950203,55111000103,4.0
55001950203,55111000303,4.0
55001950203,55135100500,4.0
55001950203,55141010400,4.0
55001950203,55141011100,20.0
55001950203,55141011300,4.0
55001950203,55141011400,15.0
55001950204,55001950100,20.0
55001950204,55001950201,10.0
55001950204,55001950203,4.0
55001950204,55001950204,105.0
55001950204,55001950400,100.0
55001950204,55001950501,4.0
55001950204,55001950502,4.0
55001950204,55001950700,4.0
55001950204,55021970300,4.0
55001950204,55021970401,4.0
55001950204,55021970402,4.0
55001950204,55025000301,4.0
55001950204,55025001405,4.0
55001950204,55027960100,10.0
55001950204,55027960800,10.0
55001950204,55035001700,4.0
55001950204,55053960100,40.0
55001950204,55057100100,10.0
55001950204,55057100301,4.0
55001950204,55057100302,4.0
55001950204,55057100400,10.0
55001950204,55057100600,4.0
55001950204,55073000100,4.0
55001950204,55073000400,10.0
55001950204,55077960100,4.0
55001950204,55077960300,4.0
55001950204,55077960500,4.0
55001950204,55081950100,4.0
55001950204,55081950600,10.0
55001950204,55097960702,4.0
55001950204,55097960800,4.0
55001950204,55097961200,4.0
55001950204,55129950100,4.0
55001950204,55131440103,4.0
55001950204,55133200700,4.0
55001950204,55133203000,4.0
55001950204,55137960300,10.0
55001950204,55137960400,20.0
55001950204,55137960700,4.0
55001950204,55137960800,4.0
55001950204,55141010800,4.0
55001950204,55141011100,4.0
55001950204,55141011300,4.0
55001950204,55141011400,15.0
55001950400,06059076204,20.0
55001950400,27037060717,4.0
55001950400,27049080500,4.0
55001950400,55001950100,15.0
55001950400,55001950201,55.0
55001950400,55001950203,4.0
55001950400,55001950204,4.0
55001950400,55001950400,705.0
55001950400,55001950501,4.0
55001950400,55001950502,15.0
55001950400,55001950700,4.0
55001950400,55009020502,4.0
