Otract,Dtract,EST
54001965500,39049009590,4
54001965500,54001965500,85
54001965500,54001965600,70
54001965500,54001965800,10
54001965500,54033030100,15
54001965500,54033031100,25
54001965500,54033032000,30
54001965500,54033032104,35
54001965500,54049021001,10
54001965500,54061011900,10
54001965500,54083966000,10
54001965500,54083966100,55
54001965500,54097966600,30
54001965500,54097966700,45
54001965600,42125773100,30
54001965600,54001965600,345
54001965600,54001965800,65
54001965600,54033030502,10
54001965600,54033032103,15
54001965600,54067950202,15
54001965600,54083966100,25
54001965600,54097966700,15
54001965700,51059490105,30
54001965700,54001965600,175
54001965700,54001965700,60
54001965700,54001965800,60
54001965700,54023969600,10
54001965700,54049020200,4
54001965700,54061011500,15
54001965700,54061011806,15
54001965700,54077964400,10
54001965700,54083966100,60
54001965700,54091964600,25
54001965700,54097966700,25
54001965800,54001965600,60
54001965800,54001965700,20
54001965800,54001965800,165
54001965800,54033032000,20
54001965800,54083966000,135
54001965800,54083966100,95
54001965800,54083966200,10
54001965800,54083966400,4
54001965800,54097966600,4
54001965800,54097966700,4
54001965800,54097966800,4
54003971101,06037311601,10
54003971101,11001007407,15
54003971101,24003750801,20
54003971101,24021750200,4
54003971101,24021750507,10
54003971101,24021750600,25
54003971101,24021751003,120
54003971101,24021772200,75
54003971101,24031701509,20
54003971101,24043000301,15
54003971101,24043000400,55
54003971101,24043000500,50
54003971101,24043000601,85
54003971101,24043000602,70
54003971101,24043000900,35
54003971101,24043010300,50
54003971101,24043010402,180
54003971101,24043010802,55
54003971101,24043010803,130
54003971101,24043010901,10
54003971101,24043011000,55
54003971101,24043011100,135
54003971101,24043011202,50
54003971101,24043011204,110
54003971101,24043011400,60
54003971101,24043011600,10
54003971101,24510250206,20
54003971101,39157021300,35
54003971101,42055010402,15
54003971101,42055010900,10
54003971101,42055011000,15
54003971101,51059422102,50
54003971101,51059490104,20
54003971101,51069050200,40
54003971101,51069050900,25
54003971101,51840000201,20
54003971101,51840000302,15
54003971101,54003971101,315
54003971101,54003971105,70
54003971101,54003971206,10
54003971101,54003971301,130
54003971101,54003971302,15
54003971101,54003971402,4
54003971101,54003971600,160
54003971101,54003971700,30
54003971101,54003971802,30
54003971101,54003971901,180
54003971101,54003972001,15
54003971101,54003972002,65
54003971101,54003972003,15
54003971101,54003972105,30
54003971101,54037972800,25
54003971101,54065970800,20
54003971103,11001005802,10
54003971103,24005402407,15
54003971103,24031700209,4
54003971103,24031706012,35
54003971103,24043000601,20
54003971103,24043000602,40
54003971103,24043000700,20
54003971103,24043000900,30
54003971103,24043001001,40
54003971103,24043001002,35
54003971103,24043010300,60
54003971103,24043010402,20
54003971103,24043010802,25
54003971103,24043010901,10
54003971103,24043011000,20
54003971103,42057960300,15
54003971103,51069050900,10
54003971103,54003971101,10
54003971103,54003971103,80
