Otract,Dtract,EST
56001962700,56001962700,185.0
56001962700,56001962800,250.0
56001962700,56001962900,30.0
56001962700,56001963000,80.0
56001962700,56001963102,35.0
56001962700,56001963400,220.0
56001962700,56001963500,15.0
56001962700,56001963600,230.0
56001962700,56001963700,225.0
56001962700,56001963900,10.0
56001962700,56007968100,20.0
56001962700,56013000100,10.0
56001962800,56001962700,45.0
56001962800,56001962800,185.0
56001962800,56001962900,20.0
56001962800,56001963000,150.0
56001962800,56001963102,45.0
56001962800,56001963400,120.0
56001962800,56001963500,80.0
56001962800,56001963600,190.0
56001962800,56001963700,165.0
56001962800,56001963900,15.0
56001962800,56021000702,35.0
56001962800,56021001402,10.0
56001962800,56021001902,15.0
56001962800,56021002002,10.0
56001962800,56021980801,4.0
56001962900,56001962700,15.0
56001962900,56001962800,50.0
56001962900,56001962900,100.0
56001962900,56001963000,50.0
56001962900,56001963102,35.0
56001962900,56001963400,60.0
56001962900,56001963500,30.0
56001962900,56001963600,90.0
56001962900,56001963700,60.0
56001962900,56001963900,25.0
56001962900,56007968100,4.0
56001962900,56021000602,15.0
56001962900,56021000702,10.0
56001962900,56021001902,4.0
56001962900,56021002002,10.0
56001963000,02020001500,25.0
56001963000,56001962700,80.0
56001963000,56001962800,65.0
56001963000,56001962900,50.0
56001963000,56001963000,225.0
56001963000,56001963102,35.0
56001963000,56001963400,230.0
56001963000,56001963500,30.0
56001963000,56001963600,355.0
56001963000,56001963700,120.0
56001963000,56001963900,25.0
56001963000,56021001200,10.0
56001963000,56021001402,10.0
56001963000,56021001902,20.0
56001963101,06013303207,20.0
56001963101,08069001111,10.0
56001963101,31055001800,15.0
56001963101,49035101402,20.0
56001963101,56001962700,70.0
56001963101,56001962800,75.0
56001963101,56001962900,30.0
56001963101,56001963000,95.0
56001963101,56001963101,55.0
56001963101,56001963102,40.0
56001963101,56001963400,195.0
56001963101,56001963500,50.0
56001963101,56001963600,385.0
56001963101,56001963700,265.0
56001963101,56001963900,15.0
56001963101,56007968100,10.0
56001963101,56021000403,10.0
56001963102,08035013907,10.0
56001963102,56001962700,100.0
56001963102,56001962800,25.0
56001963102,56001962900,15.0
56001963102,56001963000,100.0
56001963102,56001963102,220.0
56001963102,56001963400,200.0
56001963102,56001963500,130.0
56001963102,56001963600,670.0
56001963102,56001963700,395.0
56001963102,56001963900,40.0
56001963102,56021002001,10.0
56001963102,56031959100,4.0
56001963400,02020001900,10.0
56001963400,56001962700,85.0
56001963400,56001962800,25.0
56001963400,56001962900,4.0
56001963400,56001963000,85.0
56001963400,56001963102,4.0
56001963400,56001963400,370.0
56001963400,56001963500,170.0
56001963400,56001963600,600.0
56001963400,56001963700,185.0
56001963400,56001963900,35.0
56001963400,56007968000,15.0
56001963400,56021000403,10.0
56001963400,56021000702,20.0
56001963400,56021001902,20.0
56001963500,08005007112,4.0
56001963500,56001962700,4.0
56001963500,56001962900,4.0
56001963500,56001963000,10.0
56001963500,56001963102,10.0
56001963500,56001963400,40.0
56001963500,56001963500,195.0
56001963500,56001963600,115.0
56001963500,56001963700,20.0
56001963500,56001963900,4.0
56001963500,56021001402,10.0
56001963500,56021001902,20.0
56001963500,56021002002,4.0
56001963500,56021980801,4.0
56001963500,56029965500,4.0
56001963600,08059009847,25.0
56001963600,08077001702,25.0
56001963600,08123001600,15.0
56001963600,56001962700,20.0
56001963600,56001962800,25.0
56001963600,56001962900,10.0
56001963600,56001963000,115.0
56001963600,56001963102,70.0
56001963600,56001963400,585.0
56001963600,56001963500,75.0
56001963600,56001963600,985.0
56001963600,56001963700,170.0
56001963600,56001963900,50.0
56001963600,56021000702,15.0
56001963700,56001962700,75.0
56001963700,56001962800,15.0
56001963700,56001963000,175.0
56001963700,56001963102,125.0
56001963700,56001963400,225.0
56001963700,56001963500,30.0
56001963700,56001963600,865.0
56001963700,56001963700,840.0
56001963700,56001963900,110.0
56001963700,56021000200,30.0
56001963700,56021000403,20.0
56001963700,56021001401,35.0
56001963700,56021001402,25.0
56001963900,08059010100,10.0
56001963900,56001962700,15.0
56001963900,56001962800,15.0
56001963900,56001963000,35.0
56001963900,56001963102,4.0
56001963900,56001963400,10.0
56001963900,56001963500,10.0
56001963900,56001963600,110.0
56001963900,56001963700,20.0
56001963900,56001963900,265.0
56001963900,56007968100,10.0
56001963900,56021000200,10.0
56001963900,56021001000,4.0
56001963900,56021001902,4.0
56001963900,56021002002,4.0
56003962600,56003962600,445.0
56003962600,56003962700,160.0
56003962600,56003962800,50.0
56003962600,56017967900,10.0
56003962600,56029965302,10.0
56003962600,56043000200,10.0
56003962600,56043000301,55.0
56003962600,56043000302,20.0
56003962700,06065049800,4.0
56003962700,53067010801,4.0
56003962700,56003962600,110.0
56003962700,56003962700,595.0
56003962700,56003962800,20.0
56003962700,56013000301,10.0
56003962700,56021000403,4.0
56003962700,56021001100,4.0
56003962700,56021001200,4.0
56003962700,56029965200,4.0
56003962700,56029965401,20.0
56003962700,56029965402,10.0
56003962700,56029965500,85.0
56003962700,56043000200,4.0
56003962700,56043000302,25.0
56003962800,08041004402,30.0
56003962800,30009000500,4.0
56003962800,30111001403,20.0
56003962800,38089963400,4.0
56003962800,56003962600,55.0
56003962800,56003962700,55.0
56003962800,56003962800,845.0
56003962800,56005000200,4.0
56003962800,56005000702,10.0
56003962800,56029965100,10.0
56003962800,56029965200,90.0
56003962800,56029965301,4.0
56003962800,56029965302,4.0
56003962800,56029965500,55.0
56003962800,56043000302,10.0
56005000101,56005000101,190.0
56005000101,56005000200,80.0
56005000101,56005000600,15.0
56005000101,56005000702,25.0
56005000102,56005000101,210.0
56005000102,56005000102,365.0
56005000102,56005000200,315.0
56005000102,56005000300,350.0
56005000102,56005000400,245.0
56005000102,56005000500,20.0
56005000102,56005000600,370.0
56005000102,56005000701,75.0
56005000102,56005000702,160.0
56005000103,46099010501,20.0
56005000103,56005000103,305.0
56005000103,56005000200,25.0
56005000103,56005000600,40.0
56005000103,56005000702,75.0
56005000200,56005000101,65.0
56005000200,56005000102,85.0
56005000200,56005000103,165.0
56005000200,56005000200,860.0
56005000200,56005000300,320.0
56005000200,56005000400,425.0
56005000200,56005000500,60.0
56005000200,56005000600,410.0
56005000200,56005000701,125.0
56005000200,56005000702,150.0
56005000200,56019955202,25.0
56005000200,56025001801,20.0
56005000300,46103010905,15.0
56005000300,56005000101,35.0
56005000300,56005000102,75.0
56005000300,56005000200,115.0
56005000300,56005000300,570.0
56005000300,56005000400,250.0
56005000300,56005000500,35.0
56005000300,56005000600,335.0
56005000300,56005000702,130.0
56005000300,56025001700,20.0
56005000400,56005000101,4.0
56005000400,56005000102,25.0
56005000400,56005000103,70.0
56005000400,56005000200,80.0
56005000400,56005000300,170.0
56005000400,56005000400,260.0
56005000400,56005000500,80.0
56005000400,56005000600,175.0
56005000400,56005000701,35.0
56005000400,56005000702,50.0
56005000400,56009956600,20.0
56005000500,56005000101,115.0
56005000500,56005000102,55.0
56005000500,56005000200,435.0
56005000500,56005000300,510.0
56005000500,56005000400,335.0
56005000500,56005000500,470.0
56005000500,56005000600,335.0
56005000500,56005000702,65.0
56005000500,56011950200,15.0
56005000600,06017031200,4.0
56005000600,56005000101,15.0
56005000600,56005000200,225.0
56005000600,56005000300,380.0
56005000600,56005000400,360.0
56005000600,56005000600,390.0
56005000600,56005000701,75.0
56005000600,56005000702,50.0
56005000701,56005000101,15.0
56005000701,56005000102,10.0
56005000701,56005000200,50.0
56005000701,56005000300,4.0
56005000701,56005000400,105.0
56005000701,56005000500,25.0
56005000701,56005000600,200.0
56005000701,56005000701,400.0
56005000701,56005000702,25.0
56005000702,56005000101,30.0
56005000702,56005000102,170.0
56005000702,56005000103,15.0
56005000702,56005000200,185.0
56005000702,56005000300,135.0
56005000702,56005000400,215.0
56005000702,56005000500,55.0
56005000702,56005000600,280.0
56005000702,56005000701,25.0
56005000702,56005000702,305.0
56005000702,56011950200,35.0
56005000702,56021980801,15.0
56007967600,08077001502,15.0
56007967600,39153531101,4.0
56007967600,39173020902,4.0
56007967600,49035101900,4.0
56007967600,56007967600,255.0
56007967600,56007967700,35.0
56007967600,56007967800,20.0
56007967600,56021000702,4.0
56007967700,40109107601,4.0
56007967700,56007967600,120.0
56007967700,56007967700,560.0
56007967700,56007967800,255.0
56007967700,56007968000,25.0
56007967700,56021000702,4.0
56007967700,56025000300,35.0
56007967700,56037971200,4.0
56007967800,32007951300,25.0
56007967800,56007967600,90.0
56007967800,56007967700,510.0
56007967800,56007967800,395.0
56007967800,56041975201,10.0
56007968000,08069002401,4.0
56007968000,48347950900,10.0
56007968000,56007967700,45.0
56007968000,56007967800,65.0
56007968000,56007968000,675.0
56007968000,56021001000,4.0
56007968000,56037970903,15.0
56007968100,46099010101,60.0
56007968100,56001962800,4.0
56007968100,56001963400,10.0
56007968100,56001963700,4.0
56007968100,56007967600,4.0
56007968100,56007967700,40.0
56007968100,56007967800,20.0
56007968100,56007968000,4.0
56007968100,56007968100,210.0
56007968100,56009956400,4.0
56007968100,56021001100,10.0
56009956400,56007967800,10.0
56009956400,56009956400,0.0
56009956400,56009956500,280.0
56009956400,56009956600,170.0
56009956400,56009956700,20.0
56009956400,56025001100,35.0
56009956500,08123001500,10.0
56009956500,56009956400,685.0
56009956500,56009956500,230.0
56009956500,56009956600,45.0
56009956500,56009956700,10.0
56009956500,56025000200,40.0
56009956500,56025000300,4.0
56009956500,56025000400,4.0
56009956500,56025001200,15.0
56009956600,16083001100,10.0
56009956600,56009956400,165.0
56009956600,56009956500,30.0
56009956600,56009956600,460.0
56009956600,56009956700,80.0
56009956600,56021001000,30.0
56009956600,56025000200,75.0
56009956600,56025000300,30.0
56009956600,56025000400,30.0
56009956600,56025000501,4.0
56009956600,56025000502,4.0
56009956600,56025000800,4.0
56009956600,56025000901,4.0
56009956600,56025000902,10.0
56009956600,56025001000,15.0
56009956600,56025001200,15.0
56009956600,56025001401,15.0
56009956600,56025001602,15.0
56009956600,56025001700,25.0
56009956600,56025001801,15.0
56009956600,56025001802,35.0
56009956700,56009956400,70.0
56009956700,56009956500,20.0
56009956700,56009956600,60.0
56009956700,56009956700,195.0
56009956700,56021001100,20.0
56009956700,56025000200,120.0
56009956700,56025000300,20.0
56009956700,56025000400,35.0
56009956700,56025000700,15.0
56009956700,56025000901,80.0
56009956700,56025000902,20.0
56009956700,56025001100,25.0
56009956700,56025001200,10.0
56009956700,56025001602,15.0
56009956700,56025001802,50.0
56009956700,56037970902,4.0
56011950200,46019967600,4.0
56011950200,46019967702,10.0
56011950200,46081966200,10.0
56011950200,46081966301,30.0
56011950200,46081966602,4.0
56011950200,56005000101,4.0
56011950200,56005000200,10.0
56011950200,56005000300,45.0
56011950200,56005000400,45.0
56011950200,56005000600,70.0
